,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,935286.0,2837.0,482155,32.494,0.02936,2.718,20.0,15.999,20.004,1246006,2393621,4687977,10001930,18329534,916753,239368,1000000,586019,0.8725737
1,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,941103.0,2967.0,593399,32.508,0.03109,2.713,19.997,16.003,20.0,1244797,2393133,4686242,10000216,18324388,917486,239355,1000000,585682,0.87261724
2,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,945805.0,2897.0,140460,32.555,0.03267,2.717,19.982,16.001,19.998,1245377,2380804,4696708,9999143,18322032,916703,238296,1000000,587053,0.8735444
3,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,944619.0,2850.0,192656,32.536,0.0323,2.72,20.013,16.004,19.994,1247668,2385492,4694461,9997012,18324633,917498,238398,1000000,586658,0.8732004
4,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,952460.0,2956.0,568699,32.531,0.03522,2.718,19.992,15.997,19.993,1246919,2387036,4691069,9996314,18321338,917498,238804,1000000,586487,0.8730968
5,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,921309.0,2778.0,439372,32.505,0.02615,2.715,20.004,16.002,19.996,1245096,2387405,4694710,9998179,18325390,917281,238689,1000000,586760,0.87296534
6,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,948049.0,2831.0,591752,32.551,0.03364,2.719,20.01,16.008,20.002,1247064,2386164,4694731,10000816,18328775,917463,238492,1000000,586545,0.87326247
7,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,947382.0,2946.0,623711,32.511,0.03332,2.72,20.003,16.002,20.001,1247627,2381958,4696330,10000726,18326641,917269,238162,1000000,586966,0.8728192
8,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,942208.0,2836.0,408758,32.514,0.03135,2.714,20.002,15.993,20.001,1244998,2393184,4692362,10000422,18330966,917354,239289,1000000,586813,0.8729926
9,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,942645.0,2935.0,204577,32.525,0.03174,2.719,20.012,15.998,19.999,1246787,2386752,4688894,9999356,18321789,917128,238532,1000000,586173,0.8727959
10,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,950759.0,2932.0,435375,32.503,0.03479,2.715,19.983,15.999,19.999,1245008,2388200,4693012,9999573,18325793,917207,239026,1000000,586677,0.8725893
11,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,941743.0,2863.0,662362,32.534,0.03137,2.711,20.007,15.999,19.993,1243552,2390108,4687930,9996412,18318002,917266,238932,1000000,586012,0.873195
12,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,949725.0,2863.0,812568,32.558,0.03426,2.722,20.001,16.005,20.006,1248398,2381168,4692396,10003054,18325016,917390,238110,1000000,586348,0.8733183
13,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,930193.0,2856.0,481122,32.534,0.02807,2.713,19.995,16.011,20.006,1245105,2388532,4695349,10003243,18332229,917772,238912,1000000,586506,0.87318856
14,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,949499.0,2888.0,559004,32.537,0.03423,2.712,19.993,15.995,20.005,1243410,2376999,4693559,10002348,18316316,916919,237784,1000000,586870,0.87291425
15,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,954927.0,2908.0,654916,32.523,0.03664,2.714,19.994,16.001,20.008,1245018,2386668,4690713,10004179,18326578,917422,238740,1000000,586295,0.8730355
16,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,942978.0,2909.0,420772,32.541,0.03185,2.715,20.006,16.0,19.998,1245242,2383788,4691919,9999118,18320067,917337,238307,1000000,586489,0.8730749
17,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,949714.0,3000.0,412687,32.557,0.03419,2.717,19.997,16.002,20.001,1245685,2387467,4689320,10000472,18322944,916907,238784,1000000,586077,0.8731686
18,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,953014.0,2838.0,758063,32.546,0.03561,2.718,20.017,15.996,19.999,1246874,2386409,4700991,9999471,18333745,917571,238441,1000000,587754,0.87352544
19,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,931908.0,2830.0,87741,32.519,0.02852,2.715,20.001,15.995,20.004,1245094,2381553,4695315,10001877,18323839,917207,238143,1000000,587106,0.8729033
20,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,950238.0,2896.0,278221,32.532,0.03449,2.712,20.001,16.0,20.004,1243238,2389394,4691629,10001829,18326090,916808,238933,1000000,586463,0.87311095
21,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,948041.0,2837.0,898687,32.549,0.03347,2.72,19.985,16.002,20.003,1247463,2382879,4697332,10001419,18329093,917306,238471,1000000,587084,0.87334555
22,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,946264.0,2909.0,889419,32.518,0.03311,2.716,19.994,15.995,19.994,1246511,2387140,4687822,9996863,18318336,917824,238791,1000000,586154,0.8727807
23,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,947363.0,2825.0,268822,32.545,0.03317,2.714,19.994,16.004,20.002,1244868,2384695,4695961,10001031,18326555,917383,238537,1000000,586855,0.87335575
