,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,973011.0,1459.0,934200,24.947,0.03479,6.721,20.005,16.003,19.991,3356332,3571997,3596399,9995424,20520152,998808,357113,1000000,449455,0.77147514
1,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,968199.0,1458.0,904903,24.915,0.03218,6.707,20.004,15.994,20.0,3349616,3578661,3594401,9999911,20522589,998829,357786,1000000,449460,0.7712239
2,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,972049.0,1454.0,913325,24.927,0.03402,6.708,20.002,16.005,20.002,3349796,3570847,3595403,10001157,20517203,998744,357044,1000000,449298,0.7713405
3,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,961205.0,1470.0,858826,24.887,0.02924,6.71,20.013,16.003,20.001,3351115,3582448,3590143,10000285,20523991,998814,358021,1000000,448693,0.7707441
4,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,967508.0,1502.0,387057,24.928,0.03146,6.719,19.995,16.004,20.004,3355489,3576746,3592851,10001878,20526964,998797,357765,1000000,449003,0.7708647
5,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,961005.0,1494.0,929983,24.91,0.02893,6.724,20.015,15.994,20.004,3357773,3571484,3595104,10002230,20526591,998718,356888,1000000,449553,0.77127045
6,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,976875.0,1470.0,941761,24.917,0.0375,6.703,20.001,16.001,20.001,3347203,3578823,3591259,10000703,20517988,998788,357862,1000000,448866,0.7710671
7,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,973788.0,1491.0,539638,24.905,0.03546,6.719,19.997,16.002,19.993,3355477,3571846,3597295,9996516,20521134,998802,357230,1000000,449608,0.770819
8,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,966647.0,1491.0,429179,24.919,0.0312,6.712,19.998,16.0,19.999,3351699,3571899,3595906,9999469,20518973,998772,357227,1000000,449491,0.7711913
9,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,950709.0,1520.0,204524,24.885,0.02578,6.707,20.014,16.0,19.995,3349337,3584899,3587563,9997287,20519086,998786,358235,1000000,448456,0.77056575
