,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,949577.0,6619.0,33588,38.38,0.03477,2.127,20.01,15.994,19.996,881214,2131661,4460092,9997844,17470811,828699,213058,1000000,557711,0.9352748
1,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,945083.0,6535.0,218479,38.422,0.03297,2.134,20.005,16.01,19.994,884825,2125277,4466171,9996902,17473175,829311,212474,1000000,557917,0.93569404
2,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,947651.0,6563.0,598530,38.428,0.03398,2.13,20.004,15.995,20.006,882669,2128754,4459124,10002895,17473442,828667,212834,1000000,557566,0.93583465
3,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,957209.0,6703.0,185030,38.417,0.03818,2.132,19.996,16.009,20.0,883736,2123302,4467596,10000245,17474879,829171,212377,1000000,558152,0.93552274
4,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,934625.0,6477.0,322727,38.404,0.0297,2.131,19.988,15.998,20.004,883549,2128331,4461730,10001772,17475382,829254,212962,1000000,557795,0.93549037
5,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,946292.0,6607.0,756593,38.425,0.03357,2.131,20.019,16.0,19.994,883973,2127232,4464297,9996836,17472338,829620,212521,1000000,558020,0.93559355
6,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953742.0,6573.0,163254,38.387,0.03651,2.125,20.004,16.004,20.001,880453,2135056,4459444,10000348,17475301,828667,213463,1000000,557277,0.93523836
7,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,955303.0,6742.0,114570,38.393,0.03715,2.128,19.999,16.001,20.004,882176,2131307,4460856,10002159,17476498,829283,213142,1000000,557575,0.9351843
8,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,962070.0,6674.0,260982,38.422,0.04064,2.133,19.977,16.015,20.002,884110,2125787,4473142,10001073,17484112,829010,212824,1000000,558632,0.93552864
9,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,950975.0,6617.0,801523,38.402,0.03516,2.13,19.989,16.0,19.999,883496,2126856,4468668,9999725,17478745,829667,212803,1000000,558587,0.93556994
10,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,935895.0,6521.0,864683,38.432,0.03015,2.134,19.989,16.005,20.004,884755,2121364,4468459,10001866,17476444,829078,212248,1000000,558392,0.9359218
11,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,950103.0,6457.0,227979,38.436,0.03475,2.131,19.997,15.997,20.002,883482,2117963,4473322,10001000,17475767,829345,211825,1000000,559264,0.935879
12,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,946921.0,6518.0,855710,38.388,0.03371,2.136,19.996,16.011,19.99,885561,2129523,4468291,9994961,17478336,829087,212999,1000000,558165,0.935395
13,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,961202.0,6569.0,335095,38.438,0.04009,2.127,19.986,16.008,20.001,882002,2124344,4462097,10000276,17468719,829375,212582,1000000,557473,0.935736
14,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,945497.0,6453.0,441468,38.383,0.0332,2.13,20.01,15.993,20.003,882654,2134899,4459784,10001471,17478808,828687,213381,1000000,557713,0.93513983
15,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,947863.0,6528.0,628384,38.395,0.03408,2.132,20.004,15.996,19.998,883922,2130496,4459042,9998975,17472435,829128,213010,1000000,557525,0.9352489
16,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,956723.0,6566.0,636597,38.403,0.03799,2.131,19.99,15.994,19.997,882818,2127933,4457402,9998519,17466672,828657,212904,1000000,557371,0.9354105
17,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,949049.0,6498.0,768385,38.411,0.03437,2.133,20.011,16.002,20.002,883845,2133436,4467517,10001009,17485807,828770,213222,1000000,558353,0.9353091
18,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,956764.0,6624.0,459693,38.416,0.03784,2.13,20.01,16.002,20.001,883141,2131937,4464055,10000345,17479478,829150,213091,1000000,557951,0.9358688
