,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,915405.0,5709.0,140607,33.795,0.02835,2.422,19.998,16.007,19.993,1068178,2675921,3935850,9996697,17676646,881934,267618,1000000,491766,0.87688696
1,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,940418.0,5898.0,161055,33.825,0.03541,2.424,20.003,15.998,20.003,1068789,2671922,3942550,10001533,17684794,881960,267157,1000000,492865,0.87738913
2,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,933069.0,5744.0,84330,33.865,0.03272,2.423,19.991,16.007,20.0,1069403,2669051,3943171,10000142,17681767,882690,267022,1000000,492693,0.8780662
3,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,906222.0,5609.0,301489,33.836,0.02665,2.423,19.99,15.996,19.998,1070185,2671070,3942475,9998847,17682577,883212,267239,1000000,492927,0.8776836
4,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,938996.0,5903.0,126809,33.823,0.03446,2.432,20.001,16.013,19.994,1073107,2673899,3953273,9996861,17697140,882626,267378,1000000,493772,0.87745506
5,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,935086.0,5824.0,305911,33.789,0.0335,2.423,20.005,15.993,20.007,1068220,2677876,3941894,10003343,17691333,881569,267723,1000000,492938,0.87689686
6,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,922434.0,5842.0,627532,33.861,0.02989,2.428,20.006,16.002,19.999,1071528,2676102,3941184,9999332,17688146,882580,267524,1000000,492595,0.8778695
7,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,924001.0,5833.0,505681,33.812,0.03019,2.425,19.996,16.0,20.008,1069076,2675368,3941043,10004157,17689644,881703,267584,1000000,492638,0.877253
8,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,925553.0,5738.0,305167,33.853,0.03065,2.423,19.998,15.997,20.005,1068878,2675595,3941991,10002251,17688715,882405,267588,1000000,492835,0.8779297
9,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,939579.0,5831.0,587308,33.843,0.03477,2.43,19.996,15.999,20.011,1072633,2664019,3957694,10005459,17699805,882890,266457,1000000,494738,0.877875
10,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,926217.0,5709.0,910689,33.825,0.03091,2.426,19.997,15.992,20.006,1070255,2668179,3944767,10003167,17686368,882411,266855,1000000,493356,0.87747645
11,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,932581.0,5792.0,838148,33.892,0.03247,2.428,20.0,15.987,19.994,1071962,2672591,3939968,9997062,17681583,882939,267261,1000000,492905,0.87832844
