,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,917252.0,4139.0,930299,33.629,0.02619,2.36,19.989,16.001,19.999,1029926,2550631,4430272,9999696,18010525,872679,255202,1000000,553747,0.88988364
1,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,919568.0,4120.0,773831,33.674,0.02664,2.359,20.012,15.994,20.003,1029563,2549696,4436907,10001687,18017853,872759,254814,1000000,554811,0.8905622
2,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,893555.0,4007.0,125185,33.642,0.02273,2.362,20.002,16.002,20.001,1030139,2551705,4435460,10000747,18018051,872239,255139,1000000,554360,0.8899623
3,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,898334.0,4033.0,538768,33.637,0.02326,2.366,19.996,16.006,19.999,1032485,2550729,4434024,9999439,18016677,872876,255122,1000000,554032,0.8902202
4,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,929391.0,4304.0,309996,33.679,0.02874,2.365,19.991,16.004,19.993,1032011,2551498,4433238,9996478,18013225,872774,255266,1000000,554018,0.89035416
5,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,915933.0,4095.0,419523,33.641,0.02602,2.363,19.997,15.998,20.003,1030646,2551279,4433930,10001496,18017351,872247,255167,1000000,554319,0.89002407
6,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,928129.0,4177.0,873130,33.651,0.02855,2.362,20.008,15.996,19.998,1030119,2549453,4433538,9999110,18012220,872253,254847,1000000,554314,0.8902487
7,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,925974.0,4160.0,715077,33.674,0.02785,2.362,19.999,15.996,20.01,1030616,2554668,4432054,10005222,18022560,872509,255478,1000000,554150,0.89018214
8,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,940480.0,4352.0,120792,33.682,0.03185,2.358,19.999,16.0,19.996,1029370,2549804,4434026,9997913,18011113,873055,254992,1000000,554241,0.8906867
9,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,923480.0,4192.0,223053,33.636,0.02739,2.364,20.008,16.006,20.003,1031339,2550604,4435060,10001407,18018410,872479,254954,1000000,554160,0.890072
10,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,927449.0,4163.0,106180,33.648,0.02828,2.357,20.002,16.005,20.008,1028138,2552023,4434366,10003836,18018363,872316,255178,1000000,554121,0.88981515
11,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,905090.0,4002.0,572739,33.657,0.02414,2.364,20.0,15.996,19.998,1032031,2553236,4428141,9999141,18012549,873087,255326,1000000,553660,0.8902096
12,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,918030.0,4171.0,54274,33.658,0.02627,2.361,19.987,16.0,20.005,1029960,2546797,4436537,10002712,18016006,872629,254843,1000000,554566,0.8902096
13,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,905266.0,4189.0,136564,33.665,0.02409,2.363,20.002,15.991,19.994,1031244,2549438,4433691,9997234,18011607,872780,254913,1000000,554527,0.89013845
14,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,926914.0,4159.0,550115,33.675,0.02827,2.362,19.989,16.0,19.997,1031145,2545388,4436503,9998647,18011683,873178,254674,1000000,554552,0.8903302
15,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,918727.0,4091.0,377724,33.662,0.02657,2.359,20.013,15.999,19.998,1029395,2542254,4438521,9998795,18008965,872613,254055,1000000,554843,0.89033085
16,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,942442.0,4399.0,661973,33.651,0.03243,2.364,20.0,16.003,19.999,1030898,2548684,4436289,9999707,18015578,872340,254874,1000000,554437,0.8902774
17,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,913467.0,4099.0,720005,33.653,0.02552,2.359,20.008,15.999,20.0,1028200,2556650,4436383,9999785,18021018,871698,255563,1000000,554570,0.8901152
18,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,934608.0,4296.0,746220,33.636,0.03001,2.359,19.997,16.005,20.002,1029449,2551809,4441038,10001178,18023474,872749,255221,1000000,554951,0.88987994
19,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,919704.0,4164.0,191409,33.646,0.02673,2.361,19.996,16.013,20.002,1029870,2546197,4435730,10001153,18012950,872234,254671,1000000,554027,0.89006686
20,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,919779.0,4233.0,997564,33.658,0.02653,2.365,20.015,16.007,20.005,1032614,2554384,4431961,10002739,18021698,873084,255246,1000000,553745,0.8902446
21,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,908104.0,4095.0,298380,33.651,0.02466,2.356,19.991,16.0,19.996,1027774,2552827,4433018,9998106,18011725,872391,255402,1000000,554141,0.8900305
22,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,918531.0,4092.0,635277,33.662,0.02642,2.363,19.994,16.003,19.993,1030978,2544674,4441582,9996431,18013665,872486,254538,1000000,555111,0.89031875
23,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,919721.0,4034.0,71757,33.64,0.02675,2.36,20.004,16.0,20.01,1028757,2551079,4436647,10004774,18021257,871910,255053,1000000,554593,0.88984185
24,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,900416.0,4118.0,479077,33.667,0.02347,2.351,19.986,15.999,19.998,1025742,2549983,4437505,9999061,18012291,872453,255180,1000000,554728,0.89062923
25,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,910133.0,4010.0,650993,33.651,0.02497,2.36,20.003,16.001,20.0,1028979,2550906,4432835,9999766,18012486,872168,255049,1000000,554083,0.8899748
26,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,921025.0,4036.0,459873,33.647,0.02693,2.362,19.989,16.001,19.997,1030896,2548992,4436848,9998306,18015042,872785,255042,1000000,554570,0.88999075
27,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,928979.0,4143.0,868009,33.64,0.02874,2.36,20.006,16.014,20.01,1029944,2551524,4441090,10004881,18027439,872805,255070,1000000,554654,0.8901499
28,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,918648.0,4118.0,80388,33.648,0.02648,2.362,20.006,16.005,20.001,1030722,2549758,4436958,10000388,18017826,872703,254893,1000000,554443,0.89022064
