,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,808726.0,12074.0,658895,47.712,0.01613,1.81,20.003,16.005,19.993,665860,1402939,4248611,9996396,16313806,735923,140273,1000000,530920,1.0495332
1,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,814665.0,11999.0,919501,47.72,0.01646,1.806,20.016,15.999,20.006,665079,1402849,4248815,10002934,16319677,736328,140173,1000000,531133,1.0496777
2,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,804204.0,11810.0,340286,47.744,0.01602,1.811,20.001,16.01,20.001,666399,1406262,4246310,10000412,16319383,736100,140622,1000000,530466,1.050095
3,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,891432.0,13419.0,749802,47.766,0.02162,1.809,20.007,16.0,20.001,665094,1409198,4240650,10000441,16315383,735378,140868,1000000,530094,1.0502158
4,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,825145.0,12240.0,737528,47.719,0.01696,1.807,19.981,15.997,20.006,664956,1403740,4246828,10003169,16318693,735791,140510,1000000,530947,1.049536
5,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,782392.0,11333.0,91640,47.757,0.01504,1.807,20.003,16.002,19.995,664793,1406655,4243893,9997720,16313061,735793,140643,1000000,530414,1.0501952
6,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,854481.0,12789.0,631859,47.689,0.01869,1.807,19.976,16.01,19.995,664688,1407766,4243489,9997740,16313683,735597,140948,1000000,530111,1.0491109
7,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,776450.0,11413.0,789406,47.746,0.01495,1.808,19.992,16.002,19.995,664995,1395069,4255431,9997281,16312776,735556,139560,1000000,531870,1.0499338
8,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,835234.0,12241.0,400350,47.735,0.01743,1.807,19.994,15.99,20.006,664461,1404216,4244688,10002810,16316175,735552,140463,1000000,530916,1.0499755
9,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,717133.0,10519.0,630636,47.713,0.01311,1.809,19.983,15.992,20.001,665336,1403961,4243897,10000364,16313558,735594,140518,1000000,530758,1.0496904
10,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,876239.0,13377.0,387567,47.739,0.02024,1.808,20.009,16.001,20.008,665217,1408498,4248582,10003751,16326048,735896,140786,1000000,531041,1.0499353
11,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,788226.0,11773.0,755541,47.761,0.01526,1.81,19.988,16.001,19.996,666166,1415923,4234226,9998122,16314437,736269,141674,1000000,529238,1.0502194
12,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,869114.0,13277.0,316316,47.765,0.01973,1.808,20.011,16.001,19.997,664904,1406384,4244461,9998475,16314224,735654,140564,1000000,530539,1.050213
13,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,846803.0,12781.0,419401,47.716,0.01813,1.804,19.995,16.004,19.999,662916,1407472,4245382,9999284,16315054,734754,140784,1000000,530537,1.0495012
14,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,779708.0,11239.0,860914,47.73,0.01499,1.806,19.986,15.999,20.002,663152,1405556,4240727,10000965,16310400,734568,140656,1000000,530116,1.0497934
15,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,718371.0,10454.0,7792,47.735,0.01307,1.811,20.006,15.994,20.002,665764,1408168,4243552,10000884,16318368,735438,140774,1000000,530646,1.0499895
16,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,754957.0,10846.0,967467,47.746,0.01415,1.805,20.014,15.994,20.002,663956,1407164,4241701,10001115,16313936,735814,140620,1000000,530415,1.0499761
17,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,641465.0,9206.0,534752,47.705,0.01151,1.809,20.012,15.992,20.001,665966,1406861,4242569,10000606,16316002,736434,140604,1000000,530575,1.0495485
18,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,873280.0,13330.0,143892,47.713,0.02007,1.805,20.005,15.993,20.003,663500,1405945,4242838,10001606,16313889,735036,140562,1000000,530585,1.0497193
19,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,683350.0,9995.0,260054,47.714,0.01227,1.809,20.033,16.0,19.999,664591,1412632,4243646,9999546,16320415,734950,141034,1000000,530468,1.0496475
20,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,735732.0,10695.0,644704,47.764,0.01352,1.807,19.999,16.002,20.008,665064,1399065,4251179,10003773,16319081,735961,139914,1000000,531320,1.0502719
21,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,530753.0,7501.0,125395,47.762,0.00984,1.805,20.005,15.998,20.001,663741,1401472,4241477,10000327,16307017,735320,140115,1000000,530254,1.050251
22,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,671202.0,9584.0,625491,47.742,0.01204,1.811,20.007,15.989,20.0,666414,1406522,4239428,10000063,16312427,735867,140604,1000000,530308,1.049829
23,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,884240.0,13352.0,665200,47.699,0.02102,1.809,20.007,16.003,19.999,664492,1407065,4248308,9999638,16319503,734492,140655,1000000,530928,1.0492924
24,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,862014.0,13018.0,92429,47.772,0.01916,1.811,19.994,15.996,20.002,666169,1402119,4243280,10000915,16312483,735852,140257,1000000,530557,1.0501688
25,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,796698.0,11851.0,435574,47.714,0.01569,1.806,20.003,15.993,19.999,663935,1406088,4243893,9999510,16313426,735151,140591,1000000,530734,1.0497878
26,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,640501.0,9169.0,752502,47.725,0.01146,1.806,19.994,16.004,19.994,663213,1401858,4246934,9997233,16309238,734302,140229,1000000,530746,1.0497713
27,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,775521.0,11520.0,310205,47.738,0.01492,1.811,19.994,15.994,19.993,666090,1401560,4247479,9996327,16311456,735542,140196,1000000,531122,1.0497842
