,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,894034.0,3547.0,465815,32.337,0.02383,2.721,20.002,15.997,19.999,1249109,2541297,4312694,9999281,18102381,918015,254108,1000000,539189,0.85651374
1,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,922367.0,3599.0,887251,32.312,0.0288,2.721,19.993,16.003,20.0,1248238,2542780,4301142,10000219,18092379,917372,254373,1000000,537557,0.85613745
2,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,894681.0,3511.0,623685,32.292,0.02383,2.725,20.003,16.0,20.0,1250464,2541463,4305388,10000127,18097442,917857,254114,1000000,538167,0.85606724
3,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,887653.0,3510.0,509656,32.284,0.02298,2.72,20.002,16.0,20.003,1247759,2553610,4298237,10001695,18101301,917352,255339,1000000,537294,0.855761
4,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,912038.0,3537.0,435063,32.332,0.02662,2.723,20.0,16.0,20.003,1249870,2544327,4306363,10001349,18101909,917938,254433,1000000,538301,0.85631186
5,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,899268.0,3498.0,97075,32.346,0.02457,2.725,20.004,15.995,20.002,1251115,2545175,4299647,10001063,18097000,918194,254469,1000000,537612,0.8562622
6,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,890111.0,3589.0,861715,32.288,0.02334,2.722,20.014,15.996,19.998,1248663,2550337,4300277,9998896,18098173,917504,254853,1000000,537685,0.8556679
7,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,886272.0,3479.0,764530,32.289,0.02287,2.715,20.002,15.994,19.993,1246216,2545173,4299618,9996636,18087643,917926,254495,1000000,537658,0.85587096
8,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,890947.0,3476.0,617455,32.348,0.02337,2.725,19.982,16.004,19.999,1250239,2542517,4303772,9999336,18095864,917638,254483,1000000,537823,0.8565009
9,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,862316.0,3431.0,66867,32.321,0.02034,2.72,19.997,16.002,20.0,1247121,2548322,4298646,9999918,18094007,917029,254865,1000000,537266,0.8560657
10,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,845107.0,3219.0,266730,32.303,0.01891,2.727,19.997,15.997,19.996,1251136,2541503,4306016,9997964,18096619,917701,254189,1000000,538360,0.856083
11,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,904467.0,3569.0,848732,32.306,0.02552,2.714,19.998,15.996,19.997,1245175,2540548,4309265,9998407,18093395,917565,254083,1000000,538789,0.85604525
12,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,916343.0,3657.0,102364,32.308,0.02753,2.721,20.001,16.002,20.003,1248872,2549326,4304873,10001695,18104766,917846,254915,1000000,538046,0.8559485
13,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,898196.0,3509.0,959432,32.309,0.02444,2.72,20.024,16.007,20.004,1247995,2546119,4304811,10001785,18100710,917648,254305,1000000,537881,0.8561682
14,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,876300.0,3365.0,949749,32.312,0.0218,2.721,19.994,15.997,19.997,1248032,2550101,4299730,9998512,18096375,917257,255088,1000000,537558,0.8562608
15,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,915461.0,3602.0,299436,32.271,0.02749,2.72,20.017,16.005,19.999,1247357,2560939,4297886,9999607,18105789,917180,255877,1000000,537078,0.8552683
16,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,917823.0,3590.0,222164,32.302,0.0279,2.715,20.017,15.995,20.002,1246260,2550179,4303458,10000875,18100772,918040,254796,1000000,538090,0.8561095
17,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,919747.0,3531.0,343212,32.302,0.02817,2.717,19.995,16.001,20.0,1247630,2548164,4304736,9999759,18100289,918248,254877,1000000,538052,0.8561311
18,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,918480.0,3625.0,318334,32.306,0.02815,2.719,20.01,15.999,20.008,1247328,2545864,4301253,10003892,18098337,917483,254453,1000000,537675,0.8559657
19,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,926944.0,3483.0,761888,32.312,0.03001,2.717,19.993,16.0,19.995,1246687,2540772,4306076,9997369,18090904,917602,254168,1000000,538271,0.85604286
20,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,904061.0,3506.0,359863,32.32,0.02537,2.725,20.0,15.998,19.999,1250377,2547950,4302706,9999602,18100635,917706,254790,1000000,537913,0.85610485
21,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,911013.0,3483.0,89326,32.3,0.02659,2.718,19.997,16.007,20.0,1246419,2553390,4299102,10000194,18099105,917300,255382,1000000,537143,0.85587925
22,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,875212.0,3464.0,867034,32.257,0.02156,2.717,19.998,15.993,20.001,1247040,2560251,4296960,10000594,18104845,917967,256050,1000000,537342,0.8553381
23,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,902508.0,3530.0,15646,32.295,0.02521,2.718,20.013,16.005,19.997,1246620,2545131,4309345,9998270,18099366,917359,254353,1000000,538487,0.8561607
24,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,901833.0,3506.0,364530,32.284,0.02495,2.719,19.989,15.997,19.998,1247339,2549113,4301467,9998959,18096878,917572,255051,1000000,537786,0.85575575
25,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,882328.0,3408.0,357163,32.264,0.02242,2.715,20.012,15.995,20.002,1245521,2546952,4293849,10001013,18087335,917484,254542,1000000,536887,0.85533804
26,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,910705.0,3659.0,375309,32.348,0.02642,2.725,19.991,16.004,20.002,1251165,2532712,4313619,10000827,18098323,918259,253384,1000000,539071,0.8566879
27,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,928708.0,3613.0,926568,32.292,0.03044,2.717,19.997,15.997,19.996,1246372,2549302,4296643,9997895,18090212,917582,254972,1000000,537177,0.8557885
28,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,918405.0,3540.0,951070,32.324,0.02806,2.713,19.986,16.005,20.008,1244257,2541361,4305821,10004012,18095451,917324,254313,1000000,538066,0.85592
29,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,913773.0,3484.0,344840,32.308,0.02705,2.717,19.982,15.999,19.998,1246157,2545182,4301198,9999238,18091775,917448,254745,1000000,537671,0.8561039
