,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,838715.0,2015.0,971723,28.577,0.01778,3.358,19.997,16.009,19.996,1611518,2959155,4085096,9997954,18653723,959872,295962,1000000,510356,0.81479394
1,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,797620.0,1887.0,491006,28.588,0.01551,3.355,20.0,15.995,19.994,1609807,2956329,4085607,9996752,18648495,959781,295635,1000000,510846,0.81498307
2,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,893151.0,2030.0,595289,28.58,0.02295,3.351,19.991,15.996,20.0,1607843,2953234,4082391,10000144,18643612,959565,295451,1000000,510414,0.8148095
3,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,771120.0,1895.0,485467,28.559,0.01441,3.348,20.001,16.004,20.001,1606467,2958028,4083668,10000406,18648569,959671,295781,1000000,510344,0.8146437
4,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,827847.0,1917.0,189362,28.578,0.01714,3.353,19.996,15.995,20.002,1609075,2952247,4086154,10001205,18648681,959782,295282,1000000,510934,0.8148603
5,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,784421.0,1894.0,266096,28.575,0.01492,3.349,20.007,15.996,20.008,1607788,2961750,4080365,10004144,18654047,960022,296078,1000000,510172,0.8149029
6,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,808216.0,1935.0,701078,28.564,0.01607,3.353,19.991,15.992,19.992,1608734,2951605,4081927,9995952,18638218,959562,295288,1000000,510496,0.81453514
7,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,839420.0,2002.0,429333,28.526,0.01794,3.346,19.98,15.987,20.002,1606020,2958099,4080739,10000755,18645613,959955,296108,1000000,510500,0.8143876
8,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,768120.0,1928.0,292151,28.569,0.01432,3.347,20.022,16.008,19.993,1606506,2962312,4082230,9996405,18647453,959826,295904,1000000,510014,0.8145732
9,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,834872.0,2042.0,859472,28.591,0.01762,3.347,20.008,16.004,20.006,1606100,2963729,4083355,10002939,18656123,959770,296252,1000000,510289,0.8151599
10,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,668365.0,1635.0,346934,28.569,0.01149,3.35,19.993,15.996,20.005,1607740,2957948,4086653,10002284,18654625,959888,295900,1000000,510954,0.81501645
11,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,756951.0,1860.0,78405,28.557,0.01388,3.343,19.998,15.999,20.0,1604376,2961616,4079731,10000109,18645832,959874,296185,1000000,510004,0.8142589
12,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,761590.0,1812.0,489868,28.546,0.01411,3.352,19.993,15.994,20.003,1608879,2961424,4081264,10001486,18653053,959870,296251,1000000,510350,0.8146687
13,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,741637.0,1776.0,147506,28.564,0.01337,3.352,20.0,15.998,20.008,1608373,2956800,4082970,10003992,18652135,959681,295678,1000000,510428,0.81451726
14,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,752820.0,1767.0,21926,28.565,0.01371,3.346,20.0,15.995,20.008,1605290,2960392,4084507,10003818,18654007,959425,296036,1000000,510723,0.8148766
15,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,811490.0,1953.0,400768,28.588,0.01623,3.347,19.994,16.005,20.006,1606044,2960599,4083459,10002759,18652861,959593,296145,1000000,510265,0.8150705
16,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,705379.0,1722.0,126533,28.593,0.01231,3.346,20.008,15.987,19.991,1605962,2957426,4083210,9995634,18642232,959874,295624,1000000,510814,0.8150028
17,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,841958.0,2178.0,974215,28.592,0.01807,3.345,20.003,16.001,20.0,1604554,2961787,4083249,9999759,18649349,959513,296128,1000000,510362,0.8151091
