,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952915.0,10175.0,837435,43.356,0.03456,1.99,19.995,16.0,19.996,788990,1641228,4488472,9997950,16916640,792943,164163,1000000,561055,0.992981
1,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952675.0,10062.0,684489,43.385,0.03444,1.985,20.008,16.009,19.995,787259,1639239,4488497,9997260,16912255,793370,163855,1000000,560739,0.9931529
2,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,950676.0,10082.0,986595,43.349,0.03373,1.989,20.01,16.001,20.005,788148,1642321,4479896,10002539,16912904,792670,164152,1000000,559963,0.9928939
3,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,944869.0,10014.0,175012,43.396,0.03169,1.988,19.989,15.997,19.989,788367,1637645,4486256,9994696,16906964,793231,163851,1000000,560896,0.99335074
4,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,944080.0,10180.0,706399,43.362,0.03152,1.986,20.002,15.992,20.0,787992,1644108,4475029,10000060,16907189,793708,164394,1000000,559670,0.99288917
5,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,944840.0,10082.0,41397,43.412,0.03163,1.99,20.011,15.995,20.0,789637,1639852,4485705,9999945,16915139,793708,163899,1000000,560882,0.9936809
6,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,942700.0,10054.0,22125,43.416,0.03107,1.993,20.021,15.994,19.991,790801,1634704,4483649,9995382,16904536,793678,163295,1000000,560679,0.9935532
7,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,956294.0,10017.0,61940,43.393,0.0359,1.992,19.992,15.998,19.998,790595,1642212,4475366,9999237,16907410,793784,164285,1000000,559491,0.99323374
8,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,936069.0,10002.0,214406,43.412,0.02915,1.988,19.988,15.996,19.995,788828,1637389,4484669,9997327,16908213,793519,163836,1000000,560712,0.993813
9,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,954061.0,10171.0,840679,43.403,0.03532,1.984,19.989,15.993,20.001,786190,1638759,4485718,10000459,16911126,792700,163969,1000000,560971,0.99322635
10,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952953.0,10246.0,750343,43.38,0.03457,1.987,20.017,16.005,20.0,787806,1640859,4485213,9999810,16913688,793084,163943,1000000,560462,0.9930398
11,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,957264.0,10098.0,848463,43.433,0.03664,1.989,20.017,16.005,20.002,789544,1640701,4487068,10000770,16918083,793723,163931,1000000,560714,0.9936862
12,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,948065.0,9969.0,781396,43.462,0.03262,1.988,20.017,15.993,20.0,790017,1635317,4486495,9999803,16911632,794670,163396,1000000,561061,0.9940912
13,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,955598.0,10138.0,337835,43.404,0.03562,1.984,19.996,15.994,19.997,786664,1637005,4481719,9998690,16904078,792971,163730,1000000,560419,0.99346524
14,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,961160.0,10339.0,587782,43.429,0.03864,1.986,19.975,16.001,19.998,788417,1635224,4482852,9999125,16905618,793905,163726,1000000,560325,0.9936857
15,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,959815.0,10203.0,727812,43.423,0.03779,1.988,20.014,16.0,20.003,789126,1634656,4486472,10001468,16911722,793765,163350,1000000,560793,0.9938134
16,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952488.0,10248.0,757422,43.402,0.03456,1.99,20.017,16.006,19.999,789250,1644094,4479194,9999726,16912264,793361,164268,1000000,559694,0.9935039
17,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952213.0,10094.0,135193,43.402,0.03454,1.989,19.977,15.99,19.997,788782,1641906,4473970,9998425,16903083,793033,164381,1000000,559586,0.99338126
18,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,951961.0,10011.0,897576,43.401,0.03402,1.987,19.998,16.0,20.0,788408,1640378,4487010,10000068,16915864,793695,164054,1000000,560865,0.9934637
19,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952475.0,10156.0,456136,43.424,0.03439,1.986,19.999,16.005,19.996,787904,1642805,4479426,9998008,16908143,793633,164288,1000000,559743,0.9934705
20,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,936929.0,10000.0,299289,43.424,0.02943,1.987,19.999,16.001,19.99,788369,1637805,4483222,9994912,16904308,793711,163791,1000000,560369,0.99381036
21,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,968977.0,10374.0,358969,43.396,0.04376,1.986,20.012,15.996,20.0,788548,1641780,4486543,10000131,16917002,794045,164083,1000000,560968,0.99321496
22,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,961373.0,10470.0,897924,43.408,0.03853,1.988,19.973,16.007,20.001,788825,1635385,4485938,10000334,16910482,793469,163763,1000000,560503,0.99363196
23,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,958458.0,10106.0,577926,43.38,0.03693,1.988,19.993,15.995,19.994,788069,1640830,4485188,9997147,16911234,792822,164141,1000000,560833,0.99315536
24,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,956099.0,10205.0,998068,43.402,0.03589,1.987,19.988,16.001,19.995,788446,1638232,4480418,9997677,16904773,793506,163925,1000000,560014,0.99339664
25,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,941540.0,10085.0,484836,43.417,0.03076,1.988,20.01,16.003,19.998,789256,1636159,4482138,9999074,16906627,793891,163535,1000000,560158,0.9936296
26,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,942285.0,10083.0,706467,43.382,0.03092,1.988,19.991,15.997,20.008,789091,1648496,4477417,10004049,16919053,793829,164922,1000000,559769,0.9931412
27,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,957132.0,10164.0,138046,43.344,0.03655,1.985,19.977,16.005,19.997,787536,1646621,4482863,9998411,16915431,793330,164854,1000000,560170,0.992606
28,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,963863.0,10175.0,488493,43.392,0.04013,1.985,19.988,16.0,20.0,787075,1637473,4483938,9999897,16908383,793010,163847,1000000,560480,0.99309146
29,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,959646.0,10329.0,968794,43.416,0.0376,1.986,20.002,16.003,20.001,788162,1643250,4488394,10000680,16920486,793521,164310,1000000,560956,0.9937054
