,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,887168.0,2078.0,122185,27.434,0.02462,2.595,19.994,15.991,20.008,1173253,3257823,3899609,10004033,18334718,904229,325878,1000000,487721,0.8116262
1,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,920363.0,2122.0,4593,27.421,0.0305,2.597,20.013,15.999,20.001,1173736,3269592,3884333,10000268,18327929,903976,326741,1000000,485580,0.8112639
2,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,910252.0,2042.0,93644,27.408,0.02837,2.585,20.01,16.006,20.003,1168461,3260714,3900448,10001711,18331334,904089,325915,1000000,487384,0.8114111
3,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,897361.0,1997.0,353281,27.421,0.02599,2.599,19.994,16.0,20.008,1175121,3264537,3898651,10003909,18342218,904243,326549,1000000,487327,0.81152457
4,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,893964.0,1960.0,170898,27.393,0.02547,2.596,19.987,15.999,20.008,1173428,3264113,3896709,10003771,18338021,903908,326627,1000000,487125,0.81138057
5,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,906236.0,1998.0,897916,27.439,0.02745,2.592,20.002,15.994,20.009,1171101,3261082,3897616,10004274,18334073,903617,326082,1000000,487383,0.8116844
6,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,892218.0,2006.0,518134,27.435,0.02541,2.592,19.996,16.005,20.001,1171255,3259915,3896504,10000271,18327945,903773,326051,1000000,486920,0.8116711
7,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,902238.0,2008.0,523311,27.447,0.02685,2.593,19.998,15.995,20.008,1172191,3260587,3893572,10003840,18330190,904268,326093,1000000,486848,0.81201696
8,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,902617.0,2043.0,110911,27.423,0.02694,2.589,19.993,16.006,20.001,1170204,3264358,3893603,10000664,18328829,904059,326542,1000000,486511,0.81167537
9,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,898410.0,2004.0,534402,27.429,0.02624,2.593,19.995,16.005,20.001,1171756,3252958,3901030,10000632,18326376,903923,325382,1000000,487463,0.81166804
10,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,911572.0,2084.0,163112,27.4,0.02863,2.593,19.996,16.007,20.004,1172726,3266964,3894270,10002186,18336146,904384,326769,1000000,486562,0.8111371
11,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,899688.0,2013.0,989608,27.396,0.02654,2.589,19.985,16.001,20.007,1170328,3266564,3888062,10003414,18328368,904240,326907,1000000,485977,0.8110735
12,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,908838.0,1970.0,972462,27.399,0.02811,2.59,20.023,16.011,20.005,1170436,3267127,3895951,10002647,18336161,903823,326344,1000000,486674,0.81118196
13,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,921299.0,2093.0,106690,27.423,0.03076,2.59,19.997,16.002,19.998,1170995,3263883,3895507,9999053,18329438,904157,326442,1000000,486874,0.8114825
