,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,941499.0,1400.0,739734,24.105,0.03374,4.024,19.982,15.996,20.006,1972843,3768296,3348489,10003036,19092664,980422,377166,1000000,418663,0.7551276
1,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,945734.0,1401.0,708033,24.073,0.03532,4.029,20.01,15.983,20.001,1974481,3788363,3338264,10000654,19101762,980238,378643,1000000,417721,0.7546421
2,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,944154.0,1447.0,796286,24.098,0.03454,4.018,19.998,16.005,19.999,1969915,3770494,3346856,9999319,19086584,980663,377093,1000000,418217,0.7551216
3,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,942843.0,1394.0,265233,24.123,0.03406,4.02,19.988,15.991,19.994,1971225,3769284,3345925,9997097,19083531,980728,377148,1000000,418463,0.75553876
4,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,938929.0,1409.0,263541,24.107,0.03264,4.022,20.0,15.998,20.008,1972106,3773629,3347267,10003843,19096845,980671,377370,1000000,418469,0.755243
5,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,944433.0,1401.0,828976,24.104,0.03496,4.018,19.991,16.005,20.002,1969638,3764868,3346544,10000976,19082026,980401,376649,1000000,418178,0.75506914
6,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,945662.0,1419.0,68122,24.099,0.03501,4.023,20.003,15.998,20.004,1972842,3783730,3346764,10001810,19105146,980733,378307,1000000,418394,0.7553328
7,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,962774.0,1424.0,287632,24.126,0.04394,4.018,19.992,16.013,19.994,1969873,3767692,3351927,9997145,19086637,980557,376920,1000000,418638,0.75534844
8,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,949175.0,1383.0,116479,24.116,0.03639,4.022,19.996,15.997,19.999,1971982,3771402,3352346,9999441,19095171,980673,377218,1000000,419113,0.75554633
9,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,946956.0,1426.0,890450,24.065,0.03565,4.015,19.996,16.014,19.996,1968762,3785780,3337015,9997882,19089439,980649,378649,1000000,416757,0.7544215
10,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,939710.0,1400.0,400575,24.096,0.03307,4.032,20.014,15.996,20.002,1977404,3780998,3345199,10001107,19104708,980904,377843,1000000,418255,0.75504804
11,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,953109.0,1368.0,631201,24.124,0.03835,4.024,19.993,16.004,20.0,1972910,3775114,3344949,10000030,19093003,980590,377640,1000000,418003,0.75548446
12,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,950127.0,1383.0,560816,24.061,0.037,4.017,20.008,16.014,20.002,1969508,3791337,3341829,10001048,19103722,980586,378991,1000000,417358,0.7546842
13,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,953844.0,1292.0,940094,24.118,0.03865,4.027,19.99,15.996,20.001,1974617,3777259,3345819,10000575,19098270,980786,377919,1000000,418339,0.75522006
14,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,941126.0,1372.0,45682,24.064,0.0337,4.02,20.007,15.995,20.001,1971613,3783094,3335009,10000262,19089978,980842,378174,1000000,417013,0.7545216
15,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,937157.0,1366.0,516540,24.106,0.03221,4.027,20.014,16.008,19.999,1975076,3779399,3349388,9999696,19103559,980816,377670,1000000,418456,0.75539505
16,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,934774.0,1367.0,763360,24.107,0.03173,4.024,20.0,16.014,19.992,1972359,3770637,3352458,9996210,19091664,980413,377062,1000000,418699,0.755197
17,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,928254.0,1386.0,45401,24.095,0.02979,4.027,19.995,15.987,19.999,1974845,3777940,3342846,9999572,19095203,980786,377885,1000000,418207,0.75516325
18,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,932110.0,1390.0,700205,24.051,0.03073,4.021,19.99,16.003,20.007,1971120,3780966,3344943,10003256,19100285,980466,378294,1000000,418036,0.7544729
19,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,920088.0,1318.0,835655,24.085,0.02789,4.022,19.995,15.989,19.997,1972291,3782474,3341116,9998511,19094392,980786,378344,1000000,417915,0.755115
20,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,939056.0,1369.0,456536,24.114,0.03288,4.027,20.004,16.004,19.994,1974929,3770545,3350051,9997130,19092655,980753,376988,1000000,418649,0.7553686
21,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,961179.0,1432.0,839651,24.093,0.04284,4.019,20.0,15.994,20.0,1970755,3777414,3344233,9999952,19092354,980685,377749,1000000,418197,0.7550008
22,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,955453.0,1469.0,161093,24.099,0.03936,4.028,20.003,15.993,20.002,1974998,3780481,3342595,10001217,19099291,980598,377986,1000000,418016,0.7552508
23,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,933553.0,1377.0,339035,24.097,0.03136,4.013,20.004,15.995,19.998,1967610,3775613,3347417,9998925,19089565,980710,377494,1000000,418556,0.755353
24,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,944567.0,1393.0,551338,24.076,0.03486,4.016,20.002,16.001,19.995,1969168,3781979,3344177,9997423,19092747,980576,378167,1000000,418001,0.75480103
25,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,945270.0,1333.0,912122,24.107,0.03503,4.023,20.01,16.0,20.002,1972583,3779881,3344125,10000943,19097532,980593,377792,1000000,418014,0.7550649
26,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,945276.0,1431.0,49345,24.147,0.03493,4.026,19.992,15.995,20.009,1974092,3771846,3353192,10004579,19103709,980771,377337,1000000,419286,0.7557593
27,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,949923.0,1362.0,416979,24.129,0.03679,4.02,19.987,16.004,19.999,1971227,3770336,3350435,9999652,19091650,980827,377287,1000000,418708,0.75571865
28,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,944588.0,1398.0,504096,24.108,0.03479,4.024,20.006,16.005,20.002,1973149,3770309,3349229,10000899,19093586,980766,376909,1000000,418533,0.7551242
29,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,952979.0,1365.0,20300,24.067,0.03817,4.033,20.004,16.007,19.988,1977843,3780982,3344568,9994050,19097443,980950,378021,1000000,417884,0.7546968
