,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,927367.0,10492.0,74783,43.774,0.02836,1.8,20.003,16.002,19.988,659931,1564656,4538015,9994120,16756722,733376,156443,1000000,567167,0.9967103
1,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,937794.0,10638.0,957655,43.818,0.03105,1.805,20.014,15.998,19.999,661737,1565796,4533228,9999328,16760089,733257,156471,1000000,566715,0.9973401
2,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,913557.0,10216.0,500563,43.786,0.02575,1.802,20.011,16.01,19.992,660026,1566805,4536179,9995986,16758996,732519,156592,1000000,566681,0.99707466
3,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,933301.0,10716.0,341555,43.77,0.02982,1.8,20.025,16.006,19.999,659397,1565666,4545491,9999344,16769898,732559,156368,1000000,567963,0.99705446
4,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,909453.0,10052.0,865327,43.791,0.02509,1.801,19.978,16.002,20.012,660820,1561923,4541074,10006131,16769948,733711,156364,1000000,567562,0.9973735
5,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,919901.0,10327.0,957602,43.786,0.02665,1.802,20.0,15.997,19.994,660836,1563782,4541689,9997227,16763534,733312,156380,1000000,567800,0.9972779
6,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,921472.0,10334.0,741875,43.751,0.02726,1.798,20.001,15.998,20.003,659171,1570546,4532323,10001721,16763761,733212,157047,1000000,566596,0.99664956
7,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,910539.0,10171.0,119668,43.798,0.02538,1.801,20.001,15.999,19.996,661144,1562953,4536836,9998194,16759127,734237,156289,1000000,567130,0.99690956
8,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,933898.0,10436.0,701593,43.741,0.02997,1.801,19.995,15.996,20.004,659033,1567576,4539600,10002237,16768446,731764,156795,1000000,567598,0.9965815
9,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,877726.0,9686.0,814397,43.728,0.02127,1.798,19.997,16.006,19.997,658215,1575081,4534958,9998711,16766965,732322,157528,1000000,566654,0.9966203
10,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,915924.0,10265.0,638429,43.742,0.0262,1.804,19.981,15.998,19.995,661088,1564335,4538549,9997567,16761539,732802,156584,1000000,567407,0.99652886
11,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,914700.0,10296.0,438750,43.761,0.02594,1.801,19.994,15.999,20.001,659329,1565682,4541544,10000664,16767219,732315,156614,1000000,567712,0.99686444
12,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,910371.0,10118.0,819581,43.838,0.02514,1.804,19.998,15.997,19.998,661574,1568176,4528874,9998918,16757542,733406,156830,1000000,566229,0.9976272
13,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,934606.0,10525.0,317356,43.773,0.02997,1.802,19.994,16.003,20.005,660548,1568111,4537866,10002555,16769080,733243,156862,1000000,567142,0.997005
14,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,938860.0,10767.0,498986,43.779,0.03109,1.802,19.995,16.003,19.998,659732,1566367,4538394,9999181,16763674,732287,156672,1000000,567208,0.9971125
15,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,914375.0,10266.0,86936,43.762,0.02602,1.802,20.007,16.001,20.004,660159,1563038,4535645,10001957,16760799,732802,156253,1000000,566912,0.99669665
16,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,869840.0,9615.0,555952,43.757,0.02053,1.798,20.0,15.997,20.001,658573,1561446,4542979,10000574,16763572,732692,156141,1000000,567962,0.99661815
17,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,929573.0,10244.0,606979,43.808,0.02886,1.8,20.019,15.999,19.997,659192,1565012,4537599,9998254,16760057,732269,156350,1000000,567232,0.99738306
18,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,916334.0,10385.0,432265,43.784,0.02628,1.801,20.017,15.99,19.998,659866,1570691,4530254,9998865,16759676,732733,156933,1000000,566625,0.99687165
19,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,852073.0,9339.0,846341,43.765,0.01909,1.805,20.014,15.995,19.999,661240,1572963,4536037,9999323,16769563,732522,157185,1000000,567195,0.99704033
20,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,934913.0,10477.0,33428,43.757,0.03004,1.799,19.99,15.998,20.005,659584,1566552,4539026,10002632,16767794,733196,156734,1000000,567436,0.9969279
21,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,937966.0,10377.0,218668,43.798,0.03084,1.803,19.993,16.007,19.998,661644,1561158,4550095,9998917,16771814,733751,156174,1000000,568500,0.99716926
22,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,932277.0,10573.0,829194,43.749,0.02944,1.803,20.008,15.996,20.009,660281,1572633,4542201,10004337,16779452,732596,157200,1000000,567908,0.99646646
23,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,904542.0,10137.0,926675,43.757,0.02431,1.802,20.003,15.998,20.003,660203,1568637,4529002,10001518,16759360,732748,156839,1000000,566199,0.996907
24,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,919952.0,10429.0,406863,43.791,0.0269,1.8,20.014,16.005,19.994,659595,1566475,4537620,9997068,16760758,732907,156536,1000000,567027,0.9971469
25,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,924853.0,10380.0,508910,43.816,0.0277,1.805,19.992,16.003,19.995,661593,1561821,4532838,9997742,16753994,733003,156241,1000000,566510,0.99750197
26,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,915239.0,10389.0,509902,43.809,0.02593,1.807,19.984,16.0,20.002,662795,1563141,4532879,10000784,16759599,733737,156443,1000000,566601,0.9972453
27,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,923719.0,10430.0,239171,43.779,0.02753,1.801,19.982,16.012,20.004,659983,1561290,4546410,10001947,16769630,732916,156270,1000000,567864,0.9971109
28,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,914783.0,10262.0,385385,43.753,0.02595,1.798,20.007,15.99,20.004,658908,1574408,4532121,10001834,16767271,732815,157389,1000000,566863,0.9970431
29,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,927801.0,10576.0,431561,43.762,0.02851,1.798,20.004,15.997,19.999,658230,1570559,4535036,9999313,16763138,732265,157024,1000000,566984,0.99670756
