,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,963811.0,7579.0,895472,40.395,0.03968,1.871,20.011,16.003,19.998,708184,1744217,4899436,9999221,17351058,756919,174324,1000000,612330,0.9671112
1,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,952558.0,7401.0,406639,40.359,0.03396,1.868,20.005,16.007,20.005,706390,1752088,4892837,10002287,17353602,756271,175168,1000000,611338,0.96653426
2,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,941230.0,7175.0,725117,40.374,0.03034,1.865,19.981,16.006,19.993,705132,1746559,4901471,9996632,17349794,756317,174824,1000000,612469,0.9668771
3,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,943896.0,7298.0,535779,40.344,0.03103,1.865,20.023,15.99,20.006,705636,1749785,4896642,10003130,17355193,756621,174777,1000000,612462,0.96623266
4,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,954787.0,7221.0,584622,40.372,0.03489,1.873,20.02,15.996,19.999,708257,1743872,4902466,9999422,17354017,756418,174214,1000000,612947,0.96668404
5,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,938956.0,7271.0,921732,40.37,0.02983,1.868,19.978,15.999,20.0,706271,1745868,4894740,10000108,17346987,756379,174781,1000000,611886,0.9668142
6,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,934761.0,7036.0,284221,40.365,0.02871,1.872,19.998,15.996,19.996,708085,1751994,4893245,9998249,17351573,756659,175213,1000000,611795,0.9666735
7,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,930048.0,7182.0,296595,40.371,0.02754,1.867,19.988,16.001,19.988,706335,1745450,4901391,9993762,17346938,756711,174651,1000000,612624,0.9668724
8,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,921343.0,7005.0,937772,40.334,0.02588,1.867,19.983,15.997,19.998,706148,1748615,4900108,9998874,17353745,756506,175006,1000000,612636,0.9662145
9,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,944758.0,7259.0,821636,40.355,0.03151,1.868,19.994,15.998,19.995,706116,1748567,4894209,9997441,17346333,755924,174906,1000000,611851,0.96642715
10,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,955864.0,7336.0,872363,40.346,0.03546,1.868,20.011,15.998,19.991,706229,1746833,4900692,9995599,17349353,756194,174587,1000000,612682,0.9664604
11,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,951589.0,7381.0,488451,40.355,0.03375,1.865,20.009,16.008,19.999,705063,1752071,4896375,9999636,17353145,755950,175128,1000000,611749,0.9664865
12,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,963274.0,7456.0,7058,40.399,0.03919,1.866,19.996,16.002,20.0,706455,1747181,4896690,9999912,17350238,757116,174754,1000000,611995,0.96702904
