,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,956335.0,1377.0,530493,23.925,0.03992,4.027,19.997,16.003,19.993,1974218,3764291,3373345,9996471,19108325,980517,376478,1000000,421596,0.7551372
1,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,923911.0,1367.0,124821,23.944,0.02863,4.027,20.0,16.005,20.002,1974999,3763392,3373823,10001198,19113412,980939,376344,1000000,421593,0.7549646
2,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,932719.0,1334.0,241575,23.955,0.03092,4.026,19.994,16.009,19.995,1973733,3770460,3374596,9997376,19116165,980604,377160,1000000,421577,0.75545335
3,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,943726.0,1336.0,183611,23.931,0.03456,4.023,19.995,16.0,20.006,1972901,3764394,3370847,10002941,19111083,980826,376525,1000000,421353,0.7549939
4,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,934805.0,1328.0,5617,23.914,0.03154,4.03,20.012,16.003,19.996,1975928,3775578,3368001,9997882,19117389,980596,377326,1000000,420911,0.75516444
5,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,938155.0,1368.0,820063,23.938,0.03263,4.036,20.003,15.995,20.001,1979016,3764276,3369563,10000506,19113361,980789,376374,1000000,421314,0.7551044
6,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,937313.0,1371.0,409830,23.944,0.03235,4.031,20.012,15.999,19.997,1977326,3763077,3373207,9998320,19111930,981002,376088,1000000,421670,0.7551179
7,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,942769.0,1335.0,31594,23.962,0.0342,4.029,19.986,16.005,20.001,1976027,3759596,3378530,10000717,19114870,980817,376214,1000000,422192,0.7557454
8,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,953864.0,1259.0,431121,23.947,0.03857,4.028,20.005,16.011,20.002,1975204,3766902,3378818,10000882,19121806,980809,376589,1000000,422053,0.75542915
9,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,948955.0,1394.0,913418,23.954,0.0364,4.027,20.001,16.01,20.003,1974865,3761913,3376497,10001295,19114570,980824,376167,1000000,421805,0.75540847
10,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,952188.0,1349.0,706256,23.952,0.03781,4.031,19.995,15.998,20.004,1976945,3762700,3375323,10002201,19117169,980769,376362,1000000,421962,0.7553393
11,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,944789.0,1362.0,85680,23.945,0.03473,4.024,20.008,16.003,20.004,1973144,3765063,3375009,10002173,19115389,980650,376351,1000000,421792,0.75538963
12,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,927713.0,1322.0,471332,23.938,0.02966,4.029,19.993,15.991,19.999,1975819,3763066,3369207,9999682,19107774,980881,376445,1000000,421391,0.75549686
13,madagascar,1000000,1000,2020-01-01,2020-12-31,hybrid,940733.0,1364.0,740995,23.924,0.03341,4.027,19.991,15.998,20.001,1974422,3761101,3376497,10000443,19112463,980651,376285,1000000,422117,0.75533926
