,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,935504.0,1114.0,824235,22.454,0.03511,3.615,20.005,15.993,19.995,1752534,4019206,3130403,9997349,18899492,969707,401819,1000000,391467,0.735919
1,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,943532.0,1089.0,869639,22.435,0.03806,3.611,20.006,16.004,20.003,1751526,4016912,3135808,10001304,18905550,970046,401574,1000000,391876,0.7358649
2,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,936641.0,1067.0,506657,22.497,0.03557,3.615,19.996,16.002,20.002,1753488,4007601,3147420,10000957,18909466,970151,400834,1000000,393386,0.7368659
3,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,943066.0,1123.0,139578,22.47,0.03795,3.616,20.0,16.001,19.997,1753631,4010507,3138343,9998304,18900785,970011,401054,1000000,392269,0.73595136
4,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,917601.0,1059.0,701841,22.481,0.03011,3.619,20.001,15.993,19.995,1755841,4012175,3139037,9997458,18904511,970335,401192,1000000,392544,0.7363119
5,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,935649.0,1098.0,730621,22.484,0.03501,3.62,19.995,15.994,19.996,1756471,4010610,3146537,9997759,18911377,970477,401164,1000000,393456,0.7367458
6,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,933926.0,1127.0,983364,22.467,0.03441,3.624,19.998,16.006,19.995,1757769,4020937,3142538,9997666,18918910,969938,402128,1000000,392668,0.7363664
7,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,927867.0,1106.0,352577,22.451,0.03274,3.613,20.0,16.004,19.998,1752357,4020753,3140735,9999116,18912961,969903,402066,1000000,392492,0.73629314
8,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,940429.0,1110.0,799375,22.488,0.03664,3.615,20.001,16.008,19.997,1753439,4020816,3142832,9998390,18915477,970039,402056,1000000,392652,0.7364362
9,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,930763.0,1056.0,837948,22.48,0.03357,3.62,19.995,15.996,20.002,1755167,4012262,3141356,10001014,18909799,969820,401317,1000000,392759,0.7365694
10,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,932173.0,1172.0,257343,22.485,0.03407,3.61,20.004,16.007,19.999,1751156,4010141,3136318,9999548,18897163,970229,400931,1000000,391879,0.73625267
11,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,943497.0,1061.0,106838,22.457,0.03809,3.615,20.011,15.995,20.008,1753813,4013361,3137373,10004006,18908553,970247,401109,1000000,392288,0.73614687
12,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,923858.0,1124.0,688658,22.469,0.03169,3.615,19.995,16.002,20.005,1752924,4017916,3140031,10002419,18913290,969720,401883,1000000,392461,0.73636496
13,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,914961.0,1107.0,706734,22.47,0.02959,3.615,20.003,15.993,19.997,1753105,4018032,3135969,9998273,18905379,969813,401733,1000000,392171,0.73627025
14,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,947468.0,1093.0,376277,22.453,0.03937,3.618,20.007,15.99,20.004,1755228,4020044,3130734,10001864,18907870,970326,401856,1000000,391598,0.7358412
15,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,947725.0,1173.0,398341,22.46,0.03985,3.61,19.996,16.0,20.004,1751133,4012713,3139429,10001823,18905098,970138,401342,1000000,392439,0.73625875
16,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,940662.0,1081.0,764122,22.478,0.03674,3.612,19.991,16.006,20.002,1751142,4016755,3145500,10000898,18914295,969725,401847,1000000,393033,0.7367891
17,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,932260.0,1066.0,123291,22.454,0.03403,3.613,19.996,15.996,20.0,1752757,4014158,3137610,9999817,18904342,970295,401506,1000000,392293,0.7360539
18,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,929566.0,1067.0,903675,22.478,0.03326,3.616,20.0,16.001,20.01,1753737,4013878,3142928,10004959,18915502,970030,401389,1000000,392846,0.7365043
19,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,913806.0,1110.0,399977,22.498,0.02927,3.611,20.006,16.011,19.999,1751169,4017017,3146268,9999512,18913966,969836,401583,1000000,393005,0.7367538
20,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,934861.0,1165.0,575589,22.454,0.03483,3.61,20.006,16.007,19.984,1750996,4012300,3141313,9991825,18896434,970126,401118,1000000,392481,0.7362098
21,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,930397.0,1097.0,795812,22.456,0.03326,3.61,19.994,16.001,19.998,1750838,4026003,3135395,9998997,18911233,970015,402727,1000000,391902,0.7359123
22,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,902056.0,1070.0,938456,22.476,0.02701,3.619,19.999,16.001,20.002,1755576,4013960,3147924,10000899,18918359,970300,401418,1000000,393455,0.7365151
23,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,932353.0,1057.0,279182,22.445,0.03408,3.611,20.001,15.993,19.998,1751564,4022914,3137169,9999022,18910669,970180,402268,1000000,392326,0.73595923
24,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,945469.0,1133.0,208784,22.423,0.03902,3.615,19.993,15.994,20.0,1752773,4011329,3139167,9999774,18903043,969842,401279,1000000,392531,0.7358872
25,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,944481.0,1061.0,182873,22.466,0.03846,3.61,20.004,15.995,20.001,1750096,4014656,3143203,10000587,18908542,969470,401383,1000000,393022,0.73642135
26,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,932974.0,1062.0,185622,22.477,0.03433,3.612,19.997,15.988,20.003,1752482,4018031,3139584,10001618,18911715,970260,401859,1000000,392746,0.73644435
27,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,941927.0,1119.0,523730,22.487,0.03722,3.613,20.005,16.004,20.0,1752579,4016921,3141002,9999821,18910323,970194,401583,1000000,392520,0.7368463
28,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,935126.0,1166.0,470269,22.435,0.03491,3.611,20.004,16.008,19.998,1751572,4017669,3134970,9998995,18903206,970134,401693,1000000,391681,0.73592913
29,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,940497.0,1061.0,118733,22.468,0.03666,3.612,20.002,16.0,20.001,1751300,4021713,3140294,10000415,18913722,969843,402133,1000000,392525,0.73636824
