,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,968437.0,3147.0,566622,32.371,0.03676,3.652,19.985,16.003,20.004,1773744,2566643,4566750,10002035,18909172,971446,256852,1000000,570735,0.8793201
1,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,959272.0,2919.0,152605,32.365,0.03181,3.661,20.004,16.001,20.002,1778254,2572210,4568747,10000787,18919998,971500,257164,1000000,571054,0.8792788
2,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,964261.0,3015.0,631309,32.32,0.03427,3.658,19.996,16.002,19.996,1777024,2578478,4565040,9997797,18918339,971598,257903,1000000,570552,0.8788007
3,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,961010.0,3119.0,177254,32.377,0.03255,3.671,20.013,16.0,20.001,1782942,2574712,4566077,10000534,18924265,971253,257306,1000000,570762,0.8794338
4,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,945084.0,3071.0,234875,32.379,0.02677,3.666,19.991,15.999,19.995,1780373,2568369,4568238,9997523,18914503,971232,256950,1000000,571057,0.8794828
5,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,962981.0,3118.0,138890,32.34,0.03366,3.662,20.001,16.0,19.996,1778803,2572684,4566423,9997920,18915830,971607,257251,1000000,570796,0.87887543
6,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,947118.0,2932.0,999888,32.372,0.02738,3.658,20.008,15.989,20.0,1776496,2568747,4563698,10000184,18909125,971401,256772,1000000,570846,0.879164
7,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,962801.0,3181.0,993414,32.36,0.03357,3.67,19.992,16.007,20.0,1782372,2569675,4567014,9999839,18918900,971448,257069,1000000,570640,0.87919205
8,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,948542.0,3075.0,254889,32.368,0.0282,3.663,20.009,16.0,19.994,1779195,2571152,4567339,9997067,18914753,971445,256996,1000000,570925,0.8790489
9,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,947166.0,3063.0,350553,32.357,0.02756,3.662,19.992,15.999,20.003,1778616,2575476,4568692,10001499,18924283,971360,257651,1000000,571124,0.8791936
10,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,963521.0,3093.0,519961,32.367,0.034,3.661,19.996,16.004,20.001,1777974,2569640,4572278,10000629,18920521,971388,257018,1000000,571403,0.8791327
11,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,963101.0,3170.0,588991,32.353,0.03356,3.658,20.001,16.0,19.997,1776446,2573627,4564428,9998479,18912980,971288,257353,1000000,570540,0.87904114
12,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,965650.0,3070.0,879459,32.369,0.03493,3.668,20.011,15.998,20.001,1781621,2570592,4572325,10000473,18925011,971483,256916,1000000,571603,0.8797213
13,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,952530.0,2998.0,630910,32.353,0.02938,3.658,19.989,15.998,19.995,1776625,2573651,4567669,9997515,18915460,971360,257511,1000000,571013,0.8791233
14,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,962363.0,3097.0,213353,32.374,0.03324,3.662,19.992,16.012,20.001,1778880,2567238,4570197,10000674,18916989,971605,256831,1000000,570859,0.87919176
15,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,961321.0,3063.0,264828,32.346,0.03268,3.661,20.012,16.004,19.997,1778175,2571427,4572808,9998500,18920910,971440,256992,1000000,571458,0.8790888
16,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,972949.0,3122.0,696706,32.301,0.04006,3.663,19.999,16.004,19.999,1779172,2576782,4570127,9999331,18925412,971523,257695,1000000,571126,0.87850505
17,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,951618.0,3146.0,301065,32.378,0.02899,3.665,19.997,15.992,19.996,1779997,2568331,4571755,9998072,18918155,971322,256870,1000000,571748,0.8792791
