,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,921506.0,976.0,403020,21.387,0.02826,4.856,20.001,15.981,20.005,2407890,4127658,2887749,10002502,19425799,991790,412755,1000000,361399,0.71084225
1,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,944872.0,964.0,659500,21.345,0.03471,4.839,20.004,16.001,20.005,2400004,4123865,2886681,10002602,19413152,991846,412308,1000000,360804,0.7102747
2,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,883832.0,998.0,903896,21.359,0.02245,4.848,20.006,16.005,19.998,2404050,4128208,2886789,9998952,19417999,991840,412691,1000000,360734,0.71057606
3,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,928248.0,943.0,58198,21.335,0.02994,4.85,19.996,16.002,19.997,2405553,4124670,2886639,9998301,19415163,992027,412550,1000000,360778,0.71013457
4,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,894848.0,961.0,443956,21.403,0.02371,4.842,19.988,15.998,20.0,2401470,4104649,2899973,9999757,19405849,991874,410721,1000000,362553,0.7111919
5,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,924636.0,980.0,15510,21.36,0.029,4.85,19.988,15.997,20.003,2405193,4128729,2887449,10001700,19423071,991782,413117,1000000,360990,0.7106569
6,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,928591.0,951.0,647899,21.332,0.02991,4.847,20.0,15.998,19.994,2404060,4135619,2877829,9997054,19414562,991955,413565,1000000,359779,0.7099532
7,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,923536.0,1008.0,670915,21.377,0.02866,4.839,19.995,15.996,20.0,2399496,4126791,2886462,9999784,19412533,991809,412777,1000000,360896,0.7106513
8,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,891897.0,952.0,298953,21.376,0.02331,4.86,20.007,15.994,19.994,2410226,4122825,2891292,9996976,19421319,991801,412128,1000000,361545,0.7108051
9,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,918274.0,948.0,473122,21.368,0.02765,4.855,19.996,15.987,20.0,2407884,4130898,2887117,9999985,19425884,991909,413175,1000000,361183,0.71072924
10,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,933480.0,994.0,545290,21.357,0.03109,4.845,20.001,16.004,19.998,2402814,4129836,2887357,9998782,19418789,991877,412954,1000000,360838,0.7105564
11,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,918011.0,1002.0,732493,21.335,0.0276,4.846,20.016,16.002,19.998,2403188,4125709,2885877,9998775,19413549,991790,412246,1000000,360697,0.7101355
12,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,935676.0,1005.0,55839,21.339,0.0317,4.85,20.0,15.996,19.995,2405111,4122695,2887148,9997317,19412271,991880,412267,1000000,360981,0.71037537
13,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,923867.0,971.0,349277,21.378,0.02877,4.845,19.988,16.005,19.996,2402662,4115449,2888966,9998198,19405275,991832,411795,1000000,361001,0.71052074
14,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,917315.0,997.0,728452,21.352,0.02733,4.853,20.005,16.007,20.007,2406715,4129336,2890267,10003403,19429721,991947,412822,1000000,361121,0.7103612
15,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,936276.0,1069.0,21937,21.367,0.03192,4.842,20.005,15.987,19.997,2401398,4122534,2882733,9998289,19404954,991866,412153,1000000,360638,0.71054614
16,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,919142.0,1043.0,203023,21.339,0.02778,4.848,19.987,16.011,19.995,2404598,4128641,2885948,9997499,19416686,991921,413125,1000000,360506,0.71024674
17,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,884316.0,954.0,300345,21.383,0.02235,4.856,20.004,16.006,19.997,2407941,4122931,2890210,9998342,19419424,991808,412207,1000000,361137,0.71074724
18,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,907049.0,979.0,556108,21.366,0.02567,4.856,19.998,15.999,19.999,2408402,4118119,2889381,9999256,19415158,991850,411860,1000000,361203,0.71057534
19,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,932985.0,976.0,961,21.385,0.03088,4.852,19.988,15.997,19.996,2406421,4118538,2892322,9998077,19415358,991924,412091,1000000,361599,0.7106109
20,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,924605.0,1035.0,531132,21.347,0.02891,4.851,19.989,15.997,19.997,2405443,4119250,2883775,9998259,19406727,991829,412154,1000000,360547,0.710316
21,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,913903.0,995.0,159331,21.348,0.02683,4.849,19.989,15.997,20.002,2404540,4126191,2885780,10000770,19417281,991839,412838,1000000,360790,0.7104631
22,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,914997.0,1038.0,60986,21.355,0.02693,4.848,19.992,16.01,19.999,2404274,4120140,2889483,9999469,19413366,991898,412184,1000000,360953,0.71049607
23,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,920961.0,950.0,931662,21.349,0.02816,4.853,19.981,15.997,20.012,2407186,4116995,2888008,10005838,19418027,991974,412091,1000000,361060,0.7104276
24,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,917131.0,957.0,14383,21.338,0.02747,4.851,19.999,15.998,20.004,2405958,4121525,2890538,10001978,19419999,991846,412175,1000000,361356,0.7104065
25,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,901140.0,976.0,691368,21.365,0.02471,4.859,19.99,16.006,19.999,2409762,4121719,2892146,9999377,19423004,991951,412375,1000000,361389,0.71057594
26,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,928373.0,967.0,616078,21.383,0.02976,4.851,19.993,15.995,19.999,2405605,4120977,2891927,9999563,19418072,991725,412248,1000000,361597,0.7108102
27,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,909227.0,1014.0,470305,21.374,0.02589,4.848,20.001,15.996,19.996,2404227,4121214,2887363,9998139,19410943,991862,412098,1000000,361020,0.71071714
28,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,898070.0,1007.0,387892,21.346,0.02423,4.845,19.999,16.001,19.996,2402442,4120269,2888994,9998121,19409826,991798,412055,1000000,361100,0.71031725
29,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,918450.0,981.0,3497,21.341,0.02771,4.842,20.009,16.004,19.998,2400958,4128087,2886626,9999139,19414810,991668,412628,1000000,360732,0.71014565
