,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,947017.0,9407.0,245988,43.359,0.02998,2.194,19.974,15.999,19.999,924567,1570064,4548800,9999273,17042704,842853,157212,1000000,568641,1.0066884
1,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,953342.0,9497.0,359823,43.394,0.03178,2.194,19.991,16.002,19.999,924797,1563029,4554852,9999588,17042266,843152,156376,1000000,569299,1.0071868
2,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,940054.0,9274.0,557182,43.419,0.02775,2.195,19.995,16.002,19.998,925947,1572128,4542581,9998836,17039492,843538,157256,1000000,567760,1.0073183
3,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,937490.0,9217.0,270859,43.385,0.0275,2.194,19.999,16.002,19.997,924893,1569904,4544968,9998649,17038414,843104,156999,1000000,568047,1.0067741
4,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,936701.0,9298.0,201323,43.432,0.02705,2.202,20.002,15.992,20.0,928412,1563534,4544529,9999859,17036334,843075,156337,1000000,568334,1.007604
5,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,940386.0,9234.0,764685,43.357,0.02812,2.194,19.999,16.0,20.0,924453,1572564,4543614,10000067,17040698,842881,157261,1000000,567941,1.0065527
6,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,957776.0,9597.0,910413,43.432,0.03369,2.191,20.001,16.007,20.001,923842,1562510,4552542,10000259,17039153,843305,156246,1000000,568812,1.0076691
7,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,930215.0,9274.0,613484,43.392,0.02588,2.201,19.991,16.0,20.002,927732,1570864,4546599,10000922,17046117,843127,157154,1000000,568313,1.0069982
8,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,878382.0,8533.0,273844,43.414,0.01924,2.197,20.013,16.005,19.998,925586,1560960,4554268,9999063,17039877,842591,155996,1000000,569105,1.0073888
9,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,897333.0,8804.0,985356,43.374,0.02102,2.197,19.985,16.002,20.003,925801,1569865,4551419,10001620,17048705,842672,157105,1000000,568847,1.0066658
10,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,918700.0,9140.0,66249,43.449,0.02375,2.193,20.0,15.998,20.005,924401,1564515,4551531,10002694,17043141,842935,156452,1000000,569011,1.0078096
11,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,939498.0,9336.0,296716,43.445,0.02758,2.195,19.976,16.002,19.994,925242,1563766,4545748,9996804,17031560,842876,156561,1000000,568133,1.0079023
12,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,932966.0,9467.0,637448,43.401,0.0264,2.194,20.002,16.004,20.002,924661,1571340,4545477,10001037,17042515,842892,157116,1000000,568040,1.0070698
13,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,941472.0,9294.0,71102,43.415,0.02811,2.201,20.01,15.995,20.005,928495,1572567,4542937,10002253,17046252,843603,157176,1000000,568037,1.0072105
14,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,940000.0,9285.0,874430,43.388,0.02786,2.195,19.987,15.996,20.002,924580,1568701,4541413,10000825,17035519,842608,156973,1000000,567808,1.0070087
15,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,931687.0,9251.0,924709,43.347,0.02608,2.194,20.003,16.0,20.003,924424,1570584,4552173,10001699,17048880,842802,157034,1000000,569023,1.0065705
16,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,947299.0,9316.0,406680,43.397,0.02991,2.193,19.993,16.006,20.001,924069,1567184,4550398,10000509,17042160,842919,156772,1000000,568583,1.0070326
17,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,948241.0,9360.0,517751,43.427,0.03017,2.198,19.977,15.994,20.005,926141,1561306,4548277,10002706,17038430,842892,156310,1000000,568746,1.0075085
18,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,900247.0,8808.0,839531,43.41,0.02128,2.196,20.006,15.997,20.003,926274,1564218,4548458,10001405,17040355,843598,156376,1000000,568672,1.007345
19,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,946951.0,9480.0,689194,43.415,0.02972,2.202,20.001,16.0,19.995,928225,1565276,4543983,9997293,17034777,843193,156519,1000000,568006,1.0075369
20,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,922811.0,8969.0,35735,43.375,0.02453,2.194,20.008,15.99,20.003,924381,1571400,4541193,10001635,17038609,842581,157075,1000000,568003,1.0067166
21,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,928763.0,9299.0,16701,43.416,0.02543,2.197,19.993,16.003,19.992,925715,1569918,4548792,9996163,17040588,842767,157043,1000000,568502,1.0072596
22,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,906949.0,8950.0,785780,43.464,0.0221,2.199,19.997,16.001,19.998,926738,1561701,4549385,9998768,17036592,843062,156195,1000000,568621,1.0079538
23,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,930647.0,9113.0,36841,43.417,0.02587,2.199,19.998,16.005,20.001,928066,1563765,4549645,10000477,17041953,843898,156393,1000000,568540,1.0073893
24,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,932158.0,9270.0,20348,43.411,0.02622,2.194,19.996,15.995,19.995,924328,1570358,4544427,9997517,17036630,842772,157068,1000000,568233,1.0072073
25,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,921651.0,9090.0,525801,43.4,0.02421,2.2,19.979,16.004,19.993,926687,1567312,4551720,9996510,17042229,842619,156893,1000000,568832,1.0071993
26,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,950032.0,9486.0,731957,43.425,0.03057,2.196,20.027,16.002,19.998,925333,1568649,4553599,9998847,17046428,842726,156653,1000000,569125,1.0074749
27,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,914896.0,8908.0,483096,43.405,0.02319,2.197,19.975,16.007,20.0,925575,1566808,4549900,9999963,17042246,842744,156879,1000000,568475,1.0071708
28,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,932775.0,9252.0,71012,43.394,0.02614,2.196,20.002,15.999,20.009,925465,1569347,4548018,10004634,17047464,842937,156922,1000000,568554,1.0074683
29,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,956547.0,9455.0,326111,43.4,0.03308,2.2,19.987,15.99,19.999,926922,1566535,4546492,9999481,17039430,842686,156752,1000000,568655,1.0072596
