,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,886779.0,9876.0,354669,44.284,0.022,1.748,19.986,16.002,19.999,622633,1854398,4272613,9999593,16749237,712199,185566,1000000,534022,1.0008448
1,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,910878.0,10435.0,730210,44.291,0.02497,1.751,20.003,16.003,20.009,624664,1854740,4278306,10004343,16762053,713482,185446,1000000,534700,1.0007191
2,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,899483.0,10316.0,316867,44.339,0.02353,1.751,19.994,16.01,20.0,624803,1853360,4275989,10000057,16754209,713566,185389,1000000,534156,1.0014406
3,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,938346.0,10674.0,997735,44.236,0.03048,1.748,19.991,16.004,20.001,622688,1861816,4271040,10000452,16755996,712405,186268,1000000,533748,1.0002881
4,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,943675.0,11049.0,336002,44.314,0.03191,1.752,20.006,15.993,20.002,624890,1855620,4268598,10001195,16750303,713390,185503,1000000,533820,1.0010597
5,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,924495.0,10666.0,164564,44.25,0.02732,1.749,20.006,16.017,19.997,622670,1862465,4275562,9998638,16759335,711852,186195,1000000,533884,1.0002428
6,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,943668.0,10813.0,946068,44.271,0.03199,1.752,20.005,15.995,20.0,624558,1857202,4268458,9999863,16750081,713124,185673,1000000,533714,1.000441
7,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,917484.0,10491.0,862908,44.262,0.02605,1.748,20.003,16.005,20.004,622776,1858165,4277248,10002209,16760398,712607,185790,1000000,534500,1.000721
8,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,920738.0,10603.0,961100,44.275,0.02664,1.753,19.994,15.999,20.007,625098,1856952,4272464,10003265,16757779,713255,185754,1000000,534080,1.0005468
9,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,905675.0,10335.0,244659,44.285,0.02429,1.752,20.0,15.997,19.988,624392,1864543,4267090,9994091,16750116,712723,186457,1000000,533482,1.0008538
10,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,924447.0,10440.0,628060,44.266,0.02737,1.745,20.006,15.998,20.006,621958,1861759,4265673,10003139,16752529,712729,186122,1000000,533278,1.0004994
11,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,921896.0,10606.0,33263,44.291,0.02681,1.751,20.01,15.988,19.996,624232,1858276,4272498,9997962,16752968,712996,185731,1000000,534464,1.0007392
12,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,936576.0,10661.0,902502,44.313,0.02981,1.75,19.997,15.991,20.004,623634,1856605,4278798,10001915,16760952,712852,185688,1000000,535151,1.0010208
13,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,893907.0,10026.0,20518,44.253,0.02279,1.749,19.984,16.0,19.999,622791,1856829,4277869,9999356,16756845,712293,185831,1000000,534749,1.0003597
14,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,916884.0,10439.0,723667,44.311,0.02601,1.754,20.0,15.997,20.0,626574,1858521,4267054,9999801,16751950,714400,185856,1000000,533482,1.0008947
15,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,933113.0,10584.0,849047,44.222,0.0292,1.749,19.996,16.007,19.999,623488,1861690,4269877,9999267,16754322,713001,186203,1000000,533503,0.9998494
16,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,928775.0,10570.0,78712,44.259,0.02813,1.75,19.988,16.0,20.002,623713,1864899,4271115,10000778,16760505,713015,186606,1000000,533897,1.0004954
17,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,935842.0,10614.0,103762,44.233,0.02983,1.75,19.989,16.0,19.999,622598,1863866,4269237,9999557,16755258,711614,186485,1000000,533646,0.9999123
18,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,942939.0,10685.0,32834,44.246,0.03168,1.748,19.989,15.993,20.002,622719,1862198,4274135,10000794,16759846,712611,186323,1000000,534516,1.0004649
19,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,930480.0,10843.0,881696,44.321,0.02857,1.747,19.988,15.989,20.003,622493,1850838,4272941,10001600,16747872,712509,185196,1000000,534473,1.0011595
20,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,923095.0,10463.0,617547,44.274,0.02698,1.752,19.987,16.019,19.999,624766,1864809,4270024,9999598,16759197,713371,186602,1000000,533112,1.0005385
21,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,930018.0,10719.0,224912,44.266,0.02846,1.755,19.987,15.997,19.994,625478,1863265,4262956,9997043,16748742,712827,186450,1000000,532981,1.0006016
22,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,924462.0,10537.0,558489,44.27,0.02732,1.75,19.989,16.008,19.992,623314,1852365,4283716,9996201,16755596,712278,185334,1000000,535200,1.0005009
23,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,911711.0,10299.0,841607,44.243,0.02521,1.748,19.997,16.006,20.0,622394,1865191,4271328,9999902,16758815,712202,186548,1000000,533724,1.0003755
