,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,962355.0,5157.0,213600,38.354,0.03257,2.7,19.991,16.004,19.996,1236034,2105511,4774213,9997797,18113555,915692,210650,1000000,596620,0.9469256
1,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,966261.0,5315.0,306962,38.374,0.03441,2.703,20.001,15.992,19.997,1238443,2101960,4774328,9998665,18113396,916329,210189,1000000,597082,0.94738144
2,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,967695.0,5264.0,510700,38.384,0.03505,2.71,20.003,16.005,19.995,1241155,2099504,4782462,9997534,18120655,915913,209917,1000000,597610,0.9473877
3,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,962502.0,5229.0,618769,38.338,0.03258,2.7,20.012,16.007,19.996,1236739,2108460,4776278,9998116,18119593,916206,210716,1000000,596775,0.9470829
4,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,970923.0,5277.0,925152,38.392,0.03738,2.702,19.992,15.996,19.992,1237063,2102665,4774213,9995821,18109762,915498,210346,1000000,596935,0.94788057
5,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,972174.0,5261.0,900737,38.34,0.03828,2.699,20.001,15.998,20.005,1235603,2113347,4764567,10002482,18115999,915513,211327,1000000,595646,0.9469032
6,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,969955.0,5234.0,720797,38.365,0.03666,2.699,19.994,15.995,19.999,1236391,2096073,4778889,9999351,18110704,916134,209667,1000000,597558,0.9475019
7,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971689.0,5133.0,95402,38.376,0.03792,2.706,19.978,15.992,20.001,1239692,2103048,4772129,10000571,18115440,916118,210536,1000000,596805,0.9476735
8,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,969487.0,5318.0,194599,38.369,0.03641,2.708,19.994,15.998,19.998,1240341,2104737,4774282,9998871,18118231,916004,210540,1000000,596874,0.9472176
9,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,969689.0,5173.0,185517,38.353,0.0365,2.707,20.011,15.998,19.995,1239781,2111592,4773586,9997630,18122589,915977,211047,1000000,596759,0.9474089
10,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971073.0,5109.0,591284,38.37,0.03758,2.705,20.005,15.999,19.996,1239170,2101768,4774745,9997797,18113480,916119,210126,1000000,596881,0.9473783
11,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971694.0,5260.0,80636,38.37,0.03789,2.7,19.986,15.984,20.004,1236693,2097702,4773065,10001968,18109428,916051,209921,1000000,597212,0.9473276
12,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,955528.0,5117.0,319606,38.377,0.02992,2.704,20.008,16.002,19.996,1238321,2108583,4760642,9997849,18105395,915791,210775,1000000,595024,0.947018
13,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,966179.0,5170.0,800799,38.341,0.03457,2.702,19.998,15.997,20.001,1237913,2109191,4769928,10000739,18117771,916235,210943,1000000,596343,0.94704795
14,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,965765.0,5223.0,546153,38.363,0.0342,2.713,19.982,15.992,19.993,1242722,2103167,4769974,9996356,18112219,916147,210502,1000000,596537,0.9470458
15,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,962931.0,5227.0,521381,38.371,0.03277,2.703,19.993,15.997,20.004,1238088,2101443,4776069,10002243,18117843,916054,210218,1000000,597135,0.94740963
16,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,967894.0,5143.0,72457,38.37,0.03538,2.709,20.006,16.004,20.001,1240219,2106186,4775999,10000633,18123037,915784,210551,1000000,596862,0.9472212
17,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,959839.0,5075.0,517469,38.347,0.03129,2.697,20.004,16.005,20.001,1233874,2105697,4783672,10000463,18123706,915104,210527,1000000,597761,0.94731736
18,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,965119.0,5109.0,392861,38.339,0.03381,2.694,20.016,16.002,20.013,1234061,2111770,4775978,10006570,18128379,916202,211005,1000000,596935,0.94721913
