,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,938552.0,2023.0,861897,25.209,0.03553,3.255,19.999,15.987,19.994,1554865,3728255,3404929,9996882,18684931,955323,372847,1000000,425953,0.7697383
1,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,943844.0,2077.0,528458,25.206,0.03741,3.251,20.009,16.002,20.001,1552927,3737108,3401001,10000503,18691539,955276,373548,1000000,425062,0.7696369
2,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,932878.0,1925.0,770640,25.229,0.03361,3.247,20.004,16.0,20.001,1550412,3733250,3409536,10000416,18693614,955005,373258,1000000,426179,0.769811
3,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,942705.0,2065.0,470747,25.213,0.03691,3.247,20.002,16.001,19.997,1550629,3735012,3405744,9998728,18690113,955088,373458,1000000,425687,0.7697481
4,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,942321.0,1996.0,319422,25.22,0.03676,3.25,19.992,16.002,19.998,1551493,3731909,3408368,9999173,18690943,954866,373334,1000000,425994,0.7700824
5,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,928969.0,1933.0,215080,25.171,0.03266,3.245,19.995,16.0,19.998,1549339,3739471,3394602,9999128,18682540,955016,374046,1000000,424338,0.76884633
6,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,944884.0,2016.0,387022,25.241,0.0378,3.251,20.007,16.011,20.004,1552602,3735309,3409658,10002157,18699726,955174,373392,1000000,425916,0.77025044
7,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,944213.0,2059.0,615644,25.223,0.03769,3.248,20.005,15.995,19.997,1551200,3728059,3401272,9998618,18679149,955255,372719,1000000,425294,0.7698591
8,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,928912.0,1929.0,592986,25.234,0.03237,3.253,19.995,16.005,19.998,1553382,3726025,3410000,9998985,18688392,955164,372701,1000000,426106,0.76997644
9,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,940467.0,1925.0,592460,25.222,0.03605,3.251,19.996,16.009,20.008,1552299,3729732,3409508,10004130,18695669,955004,373039,1000000,425941,0.7699023
10,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,947989.0,2047.0,828786,25.247,0.03904,3.247,19.992,15.999,19.998,1550725,3732066,3407382,9998877,18689050,955139,373357,1000000,425943,0.77005434
11,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,919439.0,1953.0,597829,25.208,0.03,3.246,20.0,15.999,19.994,1550639,3740803,3404938,9996931,18693311,955325,374086,1000000,425631,0.76969075
12,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,922974.0,1982.0,45142,25.239,0.03068,3.253,19.998,15.995,20.007,1553224,3732239,3405873,10003602,18694938,955079,373269,1000000,425871,0.7702179
13,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,940925.0,1998.0,155243,25.229,0.03653,3.249,19.996,16.004,19.992,1551606,3725189,3411674,9996043,18684512,955013,372597,1000000,426363,0.77001715
14,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,930530.0,2052.0,751245,25.202,0.03306,3.245,20.008,16.013,20.004,1549055,3741246,3401267,10001993,18693561,954844,373969,1000000,424819,0.7693886
15,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,926198.0,1939.0,868967,25.211,0.03162,3.252,19.999,16.008,20.001,1552870,3738910,3403214,10000362,18695356,954924,373910,1000000,425199,0.7696962
16,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,931164.0,2051.0,307521,25.21,0.03342,3.245,19.991,16.002,19.994,1549174,3730039,3407122,9997035,18683370,954681,373172,1000000,425828,0.7695841
17,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,943460.0,2079.0,841172,25.191,0.03726,3.25,20.015,16.002,19.989,1551651,3747274,3391538,9994528,18684991,954851,374440,1000000,423884,0.76928574
18,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,916550.0,1959.0,419197,25.211,0.02933,3.251,20.006,16.0,19.998,1552649,3739688,3403063,9999035,18694435,955095,373864,1000000,425386,0.76978797
19,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,928898.0,2001.0,691234,25.201,0.0323,3.244,20.006,15.994,19.997,1548838,3741502,3399392,9998649,18688381,954865,374034,1000000,425075,0.76983845
20,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,939113.0,2037.0,2805,25.26,0.03565,3.247,20.001,16.001,20.0,1550407,3730528,3409340,9999967,18690242,954852,373025,1000000,426135,0.7703264
