,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,946155.0,6935.0,232207,39.616,0.02968,2.485,19.98,15.999,19.988,1105939,1988676,4563771,9994053,17652439,890030,199063,1000000,570497,0.9564207
1,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958689.0,6982.0,499207,39.661,0.03422,2.482,19.999,16.009,20.001,1104966,1989734,4566762,10000381,17661843,890323,198981,1000000,570524,0.95688456
2,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,942671.0,6904.0,579933,39.672,0.02848,2.486,19.994,16.002,20.009,1108064,1981915,4573099,10004565,17667643,891290,198253,1000000,571567,0.95694673
3,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,955758.0,7117.0,928525,39.636,0.03296,2.488,20.006,16.0,19.993,1108112,1987787,4560829,9996511,17653239,890943,198720,1000000,570119,0.95650303
4,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,961780.0,7057.0,613068,39.648,0.03547,2.485,19.991,16.003,19.998,1106901,1988684,4562026,9998925,17656536,890869,198954,1000000,570129,0.9568091
5,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,964273.0,7124.0,787521,39.57,0.03691,2.485,20.021,16.011,20.006,1106437,1996072,4564663,10002832,17670004,890448,199394,1000000,570205,0.9560268
6,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958106.0,7039.0,349152,39.565,0.03398,2.484,19.992,16.003,19.989,1106627,1991987,4568196,9994405,17661215,891006,199279,1000000,570927,0.955651
7,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,953893.0,7038.0,309670,39.667,0.03199,2.485,19.995,15.999,20.007,1106149,1986667,4562912,10003694,17659422,890340,198718,1000000,570382,0.9570832
8,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,961258.0,6962.0,440726,39.635,0.03507,2.485,20.022,16.01,20.004,1107120,1998633,4566025,10001898,17673676,890901,199644,1000000,570394,0.9566376
9,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958259.0,7024.0,144445,39.649,0.03374,2.484,20.01,15.995,20.005,1105575,1991571,4566676,10002402,17666224,890021,199055,1000000,571001,0.9569121
10,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,948862.0,6868.0,520361,39.647,0.03018,2.485,19.982,15.996,20.001,1106626,1989822,4566567,10000731,17663746,890578,199163,1000000,570960,0.95690477
11,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,957715.0,6943.0,270760,39.668,0.0335,2.484,20.015,15.999,20.001,1106031,1987254,4563742,10000368,17657395,890632,198574,1000000,570511,0.95700717
12,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,941313.0,6853.0,445920,39.656,0.02809,2.483,19.976,15.998,19.991,1105542,1985420,4562595,9995521,17649078,890335,198777,1000000,570406,0.95694625
13,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,960006.0,6980.0,689393,39.682,0.03458,2.486,19.989,16.0,19.998,1107819,1985648,4567398,9999130,17659995,891090,198673,1000000,570928,0.95722884
14,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,952755.0,6992.0,70251,39.627,0.03146,2.49,19.998,15.997,19.994,1108412,1993901,4563613,9997160,17663086,890261,199410,1000000,570555,0.95645
15,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,962395.0,7037.0,989064,39.643,0.036,2.481,20.001,16.006,19.993,1105142,1989907,4567244,9996729,17659022,890831,198984,1000000,570675,0.9568159
16,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,927539.0,6806.0,234856,39.625,0.02502,2.48,19.98,15.989,20.006,1104202,1996953,4553839,10003010,17658004,890506,199893,1000000,569614,0.9563354
17,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958837.0,6963.0,850792,39.615,0.03411,2.48,20.008,16.0,19.998,1104714,1986025,4570572,9999197,17660508,890929,198519,1000000,571339,0.9561586
18,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,955005.0,6825.0,669626,39.628,0.03239,2.485,19.983,16.011,20.004,1106942,1988942,4574834,10002107,17672825,891034,199060,1000000,571479,0.9566692
19,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,967260.0,6965.0,481766,39.67,0.03865,2.483,20.0,15.997,20.001,1106161,1985564,4568579,10000424,17660728,890973,198554,1000000,571170,0.9570577
20,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,957107.0,6982.0,516358,39.642,0.03347,2.483,20.019,15.997,20.004,1105763,1997919,4563421,10001967,17669070,890579,199601,1000000,570544,0.9565003
21,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,963908.0,7283.0,56872,39.606,0.03687,2.482,20.009,16.005,20.0,1105184,1997646,4560951,10000146,17663927,890422,199670,1000000,569944,0.956178
22,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,960056.0,6942.0,2113,39.639,0.03467,2.485,19.995,16.0,19.996,1107001,1990095,4566531,9997804,17661431,891053,199058,1000000,570833,0.9565668
23,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,960983.0,6947.0,43907,39.605,0.0351,2.483,20.028,15.998,20.002,1105927,1991047,4567570,10000988,17665532,890673,198824,1000000,571032,0.9564125
24,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,954715.0,7037.0,1438,39.658,0.03241,2.487,20.0,16.005,19.999,1108253,1992202,4563185,9999748,17663388,891261,199221,1000000,570234,0.9568446
25,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,959423.0,7024.0,578972,39.642,0.03443,2.485,19.997,16.001,20.008,1107077,1992525,4566999,10003842,17670443,890896,199278,1000000,570837,0.9567114
26,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958809.0,6951.0,308643,39.633,0.03411,2.485,19.995,15.995,19.994,1105755,1988131,4561926,9997235,17653047,889957,198860,1000000,570405,0.9564989
27,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958527.0,7029.0,456572,39.711,0.0339,2.487,20.001,16.002,19.994,1107744,1988781,4567813,9996918,17661256,890983,198868,1000000,570897,0.95765054
28,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,958585.0,7034.0,794352,39.66,0.03398,2.486,19.996,15.998,20.004,1107340,1986970,4564006,10002037,17660353,890884,198740,1000000,570579,0.95680964
29,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,937317.0,6705.0,961147,39.625,0.02721,2.486,20.012,15.997,20.009,1107520,1991012,4564152,10004307,17666991,891119,198985,1000000,570636,0.9564909
