,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,943961.0,3163.0,981840,31.985,0.0262,4.296,20.0,16.002,19.997,2117275,2702910,4303771,9998356,19122312,985594,270287,1000000,537914,0.86267823
1,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,949588.0,3200.0,625541,32.028,0.02778,4.291,19.997,16.0,20.003,2114260,2701101,4304301,10001293,19120955,985357,270147,1000000,538032,0.8631095
2,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,947070.0,3291.0,199918,32.059,0.02686,4.301,19.996,16.01,20.004,2119862,2689963,4317632,10002000,19129457,985678,269047,1000000,539379,0.8639333
3,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,934183.0,3046.0,933476,32.032,0.02391,4.302,20.006,16.001,19.999,2120283,2702639,4305840,9999731,19128493,985748,270179,1000000,538182,0.8635639
4,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,945058.0,3277.0,266754,32.019,0.02651,4.295,20.008,16.012,19.998,2116458,2706026,4308892,9998955,19130331,985550,270493,1000000,538208,0.8631597
5,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,955965.0,3174.0,337083,32.015,0.02972,4.303,20.006,16.002,19.992,2120370,2705435,4308767,9995774,19130346,985594,270457,1000000,538539,0.8632246
6,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,922204.0,3126.0,678855,32.043,0.02179,4.304,20.004,15.999,19.995,2121271,2701346,4307604,9997363,19127584,985799,270085,1000000,538474,0.8635662
7,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,963894.0,3247.0,723337,32.051,0.03306,4.297,20.001,15.997,20.008,2117838,2706448,4308814,10004239,19137339,985693,270625,1000000,538694,0.86373293
8,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,952194.0,3240.0,20075,32.009,0.02852,4.299,20.013,15.997,20.004,2118235,2705400,4304681,10001766,19130082,985531,270360,1000000,538182,0.86310095
9,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,950085.0,3171.0,114630,32.057,0.02775,4.293,19.994,15.993,19.994,2115841,2698869,4311501,9996959,19123170,985646,269965,1000000,539174,0.8639879
10,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,936283.0,3150.0,946262,32.012,0.0244,4.307,20.001,16.001,20.001,2122067,2710870,4301328,10000667,19134932,985491,271072,1000000,537616,0.8630361
11,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,939630.0,3069.0,16878,32.048,0.02494,4.305,19.991,15.998,20.001,2121616,2697179,4313579,10000366,19132740,985629,269833,1000000,539275,0.8636722
12,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,946368.0,3273.0,154063,31.977,0.0268,4.291,20.003,16.012,19.993,2114429,2703015,4311477,9996735,19125656,985605,270261,1000000,538534,0.8628745
13,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,946327.0,3313.0,981449,32.015,0.02667,4.296,20.001,15.993,19.999,2116970,2703506,4305792,9999639,19125907,985501,270337,1000000,538448,0.86340964
