,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,756906.0,1007.0,17564,22.271,0.01583,3.479,20.007,16.004,20.004,1679677,4015580,3054765,10002188,18752210,965672,401424,1000000,381750,0.7288465
1,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,843844.0,1090.0,301544,22.284,0.02106,3.484,20.008,15.999,19.999,1681632,4015295,3056067,9999285,18752279,965363,401377,1000000,382036,0.7289619
2,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,727577.0,1003.0,804761,22.269,0.01471,3.49,19.993,16.003,20.0,1684466,4018592,3048146,10000244,18751448,965434,402002,1000000,380948,0.72870934
3,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,671940.0,909.0,166135,22.294,0.01306,3.486,19.997,16.006,20.005,1682157,4007001,3064839,10002395,18756392,965161,400760,1000000,382969,0.7292109
4,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,790095.0,1043.0,415176,22.296,0.01739,3.49,20.002,16.006,19.998,1684847,4017322,3055680,9999161,18757010,965625,401696,1000000,381815,0.7292708
5,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,740190.0,951.0,153251,22.29,0.01517,3.486,19.994,16.008,20.002,1682387,4012104,3060544,10001219,18756254,965135,401331,1000000,382388,0.7289644
6,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,800927.0,1043.0,303241,22.259,0.01805,3.491,20.011,16.013,20.0,1685447,4018830,3056092,9999755,18760124,965497,401661,1000000,381690,0.7288316
7,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,736576.0,905.0,382250,22.267,0.0151,3.486,20.002,15.997,19.999,1682669,4012106,3055506,9999266,18749547,965398,401172,1000000,382004,0.7288632
8,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,836134.0,1118.0,165588,22.295,0.02035,3.492,20.005,16.002,19.997,1685535,4015595,3056754,9998685,18756569,965384,401450,1000000,382056,0.72931623
9,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,801678.0,1022.0,230055,22.289,0.01808,3.488,19.995,15.989,19.992,1683839,4020677,3053659,9996095,18754270,965404,402161,1000000,381960,0.72907186
10,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,626318.0,839.0,922126,22.289,0.01206,3.484,20.002,16.001,19.998,1682143,4006420,3061313,9998856,18748732,965534,400610,1000000,382640,0.72932184
11,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,836601.0,1076.0,660681,22.302,0.02051,3.491,20.009,15.986,20.002,1684727,4008791,3050992,10000958,18745468,965071,400693,1000000,381705,0.7291137
12,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,783400.0,1018.0,63918,22.284,0.01711,3.481,19.985,16.005,20.002,1680466,4012380,3056536,10001019,18750401,965479,401544,1000000,381959,0.72896683
13,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,758755.0,947.0,132989,22.255,0.016,3.484,19.98,15.998,20.003,1681848,4008716,3050152,10001512,18742228,965493,401280,1000000,381318,0.72854805
14,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,750188.0,957.0,723033,22.306,0.01554,3.49,19.999,16.002,19.995,1684454,4011737,3059153,9997740,18753084,965181,401192,1000000,382346,0.72949976
15,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,703537.0,974.0,275300,22.282,0.0139,3.486,19.992,16.013,20.002,1683124,4009802,3062531,10001013,18756470,965525,401140,1000000,382516,0.72919595
16,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,285118.0,439.0,637365,22.279,0.00775,3.491,19.992,15.996,20.002,1684935,4011416,3053371,10000935,18750657,965281,401311,1000000,381760,0.72911125
17,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,778450.0,1062.0,864131,22.282,0.01692,3.48,20.016,16.003,19.999,1679779,4017713,3051733,9999486,18748711,965462,401456,1000000,381398,0.7287732
18,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,652139.0,877.0,99182,22.284,0.01258,3.486,19.992,15.991,20.008,1683107,4010261,3049596,10003965,18746929,965663,401181,1000000,381414,0.7287204
19,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,769881.0,1045.0,726892,22.276,0.01643,3.493,19.989,15.995,20.003,1685423,4000580,3055604,10001590,18743197,965145,400276,1000000,382069,0.72880316
20,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,799635.0,1075.0,912277,22.272,0.01803,3.489,19.996,15.998,19.997,1684281,4011293,3054740,9998381,18748695,965611,401217,1000000,381899,0.7287125
21,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,827240.0,1011.0,817517,22.284,0.01981,3.484,20.004,16.011,19.997,1681539,4011159,3061860,9998272,18752830,965423,401027,1000000,382469,0.7292289
22,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,860679.0,1090.0,954496,22.306,0.02276,3.49,20.0,15.988,19.991,1684244,4013954,3055033,9995407,18748638,965107,401386,1000000,382168,0.7293096
23,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,761104.0,982.0,214974,22.268,0.01598,3.486,20.006,15.989,20.004,1682526,4031325,3047207,10001936,18762994,965228,403016,1000000,381157,0.72888434
24,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,852969.0,1123.0,940182,22.288,0.02187,3.485,19.983,15.988,19.993,1682720,4012407,3053318,9996745,18745190,965783,401590,1000000,381960,0.7291854
