,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,973732.0,2523.0,813858,31.5,0.04385,3.362,19.995,16.014,19.992,1613924,2829322,4410877,9996163,18850286,960140,283010,1000000,550883,0.86181086
1,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,962979.0,2487.0,471213,31.55,0.0359,3.359,20.003,15.994,20.002,1612744,2819952,4409932,10000824,18843452,960120,281947,1000000,551459,0.8626152
2,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,949512.0,2499.0,447474,31.525,0.0301,3.363,19.991,16.002,20.003,1615306,2815857,4412607,10001577,18845347,960656,281717,1000000,551494,0.86224824
3,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,952233.0,2543.0,443782,31.547,0.03126,3.357,19.997,15.999,20.001,1611208,2820262,4413173,10000699,18845342,959974,282072,1000000,551681,0.8624724
4,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,968245.0,2550.0,80559,31.522,0.0395,3.351,19.994,15.998,20.004,1608826,2821601,4411031,10001773,18843231,960121,282244,1000000,551464,0.8618834
5,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,952260.0,2526.0,594567,31.551,0.03112,3.363,19.997,15.997,20.005,1614254,2823373,4412564,10002637,18852828,959996,282382,1000000,551674,0.86254007
6,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,959710.0,2397.0,369659,31.532,0.03428,3.361,19.999,15.994,20.002,1614134,2825509,4405395,10001159,18846197,960541,282559,1000000,550898,0.8620905
7,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,966405.0,2511.0,604557,31.538,0.03797,3.359,20.013,16.006,20.001,1612545,2825994,4409101,10000581,18848221,960013,282414,1000000,550936,0.86232495
8,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,960355.0,2520.0,751607,31.579,0.03469,3.356,20.001,16.0,20.001,1611157,2818798,4415977,10000506,18846438,960190,281863,1000000,552001,0.8628454
9,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,960287.0,2522.0,401858,31.563,0.03463,3.36,20.005,16.002,19.999,1612875,2812397,4418688,9999632,18843592,960164,281176,1000000,552271,0.8625737
10,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,962663.0,2467.0,709214,31.506,0.03586,3.356,20.001,16.0,19.995,1611464,2831228,4408944,9997287,18848923,960224,283106,1000000,551131,0.8620451
11,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,969008.0,2488.0,370239,31.493,0.03977,3.357,19.999,16.001,20.0,1610845,2822920,4413894,10000020,18847679,959810,282308,1000000,551714,0.8616779
12,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,960440.0,2525.0,483571,31.535,0.03478,3.356,19.988,16.002,20.005,1611759,2822479,4413325,10002384,18849947,960432,282412,1000000,551596,0.86239356
13,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,969035.0,2530.0,747720,31.561,0.03972,3.36,20.001,15.992,20.007,1613240,2821337,4414420,10003460,18852457,960369,282124,1000000,552085,0.86270565
14,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,947288.0,2430.0,180476,31.536,0.02943,3.355,20.003,15.996,19.994,1610848,2823034,4412673,9996881,18843436,960313,282261,1000000,551706,0.8620762
15,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,953086.0,2488.0,48571,31.54,0.03158,3.353,19.993,15.997,19.998,1609476,2821614,4407060,9999243,18837393,960021,282263,1000000,550982,0.8621232
16,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,963039.0,2543.0,348456,31.538,0.03599,3.359,19.997,15.993,20.0,1612760,2822241,4406209,9999840,18841050,960264,282271,1000000,551007,0.862319
17,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,969346.0,2592.0,635410,31.537,0.04001,3.354,20.002,16.006,19.996,1610028,2826903,4411278,9998052,18846261,960167,282660,1000000,551206,0.862477
18,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,956112.0,2581.0,937768,31.575,0.03273,3.367,19.988,15.997,19.999,1616901,2808110,4418240,9999443,18842694,960334,280973,1000000,552394,0.86298007
19,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,953471.0,2444.0,717662,31.513,0.03166,3.352,20.01,15.999,20.007,1609192,2823535,4413492,10003546,18849765,960015,282214,1000000,551710,0.8622933
