,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,924668.0,1605.0,676813,25.396,0.03018,3.371,20.011,15.999,20.001,1619907,3479306,3671888,10000635,18771736,961077,347748,1000000,459013,0.7804937
1,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,936246.0,1666.0,539602,25.376,0.03354,3.37,19.999,16.0,19.989,1618806,3474539,3675510,9994710,18763565,960661,347464,1000000,459430,0.7800462
2,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,932586.0,1552.0,673464,25.394,0.03226,3.372,19.996,15.995,20.004,1619858,3464030,3682684,10001758,18768330,960650,346480,1000000,460480,0.78056836
3,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,947095.0,1615.0,417590,25.42,0.03727,3.374,20.007,16.003,19.999,1620485,3471755,3682343,9999420,18774003,960699,347052,1000000,460197,0.7808207
4,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,933288.0,1625.0,139693,25.34,0.03272,3.37,19.991,16.01,19.999,1618311,3477902,3668360,9999668,18764241,960546,347955,1000000,458263,0.7794508
5,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,931336.0,1663.0,150007,25.4,0.03202,3.369,20.003,16.003,20.003,1617824,3470890,3678911,10001308,18768933,960537,347034,1000000,459772,0.78079045
6,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,912545.0,1602.0,527031,25.371,0.02762,3.364,20.006,16.01,20.0,1616022,3471017,3674975,10000246,18762260,960660,346996,1000000,459098,0.7798957
7,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,923564.0,1646.0,874802,25.371,0.02986,3.368,20.005,15.993,20.003,1618115,3481705,3671905,10001618,18773343,960976,348088,1000000,459203,0.7802289
8,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,901121.0,1606.0,349303,25.392,0.02549,3.374,20.009,16.005,20.002,1620805,3472774,3677048,10000999,18771626,960874,347127,1000000,459499,0.7805337
9,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,930119.0,1640.0,797722,25.381,0.03155,3.373,20.003,15.99,20.0,1620436,3478692,3668523,9999935,18767586,960900,347820,1000000,458845,0.78009
