,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,953214.0,2235.0,187567,28.805,0.03375,3.373,20.0,16.013,20.0,1620683,3253050,4011412,10000186,18885331,960889,325311,1000000,501023,0.8353252
1,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,946791.0,2338.0,394307,28.816,0.03128,3.369,20.018,15.993,20.005,1618041,3264890,4003316,10002396,18888643,960509,326202,1000000,500647,0.83530366
2,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,955830.0,2357.0,759179,28.835,0.03511,3.372,20.001,15.999,20.0,1620464,3248056,4007328,10000178,18876026,961010,324787,1000000,500962,0.83560884
3,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,950188.0,2334.0,610130,28.912,0.03252,3.365,19.998,15.998,20.005,1616964,3245592,4018995,10002650,18884201,960945,324584,1000000,502425,0.8369401
4,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,953457.0,2377.0,414668,28.855,0.03375,3.368,19.993,16.0,20.0,1616770,3247634,4013917,9999827,18878148,960115,324885,1000000,501728,0.8361306
5,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,948773.0,2296.0,418043,28.859,0.03194,3.373,19.997,16.006,20.003,1620600,3250976,4012543,10001511,18885630,961054,325143,1000000,501393,0.83591354
6,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,958872.0,2259.0,304796,28.839,0.03613,3.365,20.019,16.011,20.005,1616980,3265513,4004947,10002653,18890093,961004,326245,1000000,500289,0.8357416
7,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,935929.0,2176.0,237378,28.858,0.02804,3.375,19.992,16.003,19.998,1621269,3250285,4011632,9999249,18882435,960650,325162,1000000,501367,0.83598286
8,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,963722.0,2376.0,834904,28.829,0.03933,3.368,19.997,15.989,20.002,1618469,3253228,4000366,10000896,18872959,961176,325366,1000000,500380,0.83557266
9,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,914406.0,2262.0,131853,28.83,0.02382,3.364,19.999,15.989,20.003,1615537,3260166,4000788,10001548,18878039,960450,326041,1000000,500445,0.8356351
10,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,963818.0,2415.0,644747,28.885,0.03906,3.376,19.987,16.0,20.0,1621858,3248122,4013818,9999801,18883599,960938,325024,1000000,501721,0.83618283
11,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,943723.0,2344.0,763468,28.862,0.03032,3.367,20.004,15.997,19.998,1617694,3252467,4011007,9999221,18880389,960969,325185,1000000,501457,0.8361242
12,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,948684.0,2354.0,150796,28.814,0.03222,3.369,20.007,15.992,20.001,1618989,3263579,4001691,10000497,18884756,961111,326242,1000000,500461,0.8352829
13,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,946811.0,2343.0,707640,28.861,0.03127,3.369,19.999,16.003,19.996,1619257,3255478,4009021,9998138,18881894,961197,325559,1000000,501027,0.835853
14,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,942216.0,2357.0,413192,28.847,0.02998,3.364,19.995,16.008,20.0,1615813,3255708,4009888,10000006,18881415,960687,325647,1000000,500988,0.8358966
15,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,937642.0,2308.0,802449,28.834,0.02856,3.372,20.004,16.007,19.998,1620127,3261394,4004057,9998876,18884454,960958,326082,1000000,500281,0.8355346
16,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,957145.0,2212.0,97592,28.824,0.03555,3.362,19.993,16.007,20.002,1615635,3257282,4006114,10000970,18880001,960984,325837,1000000,500533,0.8357642
17,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,935704.0,2292.0,581823,28.864,0.02806,3.374,20.0,15.995,20.005,1621740,3254665,4006839,10002572,18885816,961246,325468,1000000,501011,0.8363219
18,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,950669.0,2298.0,183648,28.859,0.03282,3.375,19.998,16.0,20.001,1621915,3254610,4006536,10000618,18883679,961108,325494,1000000,500819,0.836137
19,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,941635.0,2321.0,511726,28.826,0.02973,3.366,19.995,15.994,19.999,1616794,3253981,4006152,9999503,18876430,960526,325475,1000000,500953,0.8355921
20,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,934640.0,2302.0,616481,28.874,0.0279,3.372,19.995,15.999,19.994,1620280,3247421,4007448,9997017,18872166,960890,324830,1000000,500966,0.8360727
21,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,947678.0,2290.0,209094,28.852,0.03167,3.365,19.999,16.001,19.998,1616588,3253494,4007005,9998758,18875845,960881,325360,1000000,500829,0.83561945
22,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,951504.0,2224.0,602774,28.869,0.03302,3.377,20.011,15.984,20.001,1622873,3256720,4007604,10000707,18887904,961005,325487,1000000,501446,0.8363163
