,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,921895.0,8849.0,918021,42.804,0.0271,1.733,20.009,16.005,19.996,612453,1788108,4448960,9998078,16847599,706842,178727,1000000,555959,0.9918147
1,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,921112.0,8978.0,955274,42.748,0.02702,1.738,20.012,15.99,20.001,613876,1793691,4438525,10000528,16846620,706503,179262,1000000,555175,0.99113584
2,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,904476.0,8603.0,768379,42.782,0.02437,1.735,19.994,16.003,19.995,612954,1784278,4448831,9997599,16843662,706537,178479,1000000,556012,0.9915054
3,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,893683.0,8528.0,622463,42.787,0.02288,1.734,19.996,16.001,20.006,612902,1794778,4439554,10003246,16850480,706755,179516,1000000,554902,0.9918599
4,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,923319.0,8935.0,583083,42.788,0.02736,1.736,20.003,15.996,20.004,613405,1789613,4445940,10002016,16850974,706752,178931,1000000,555875,0.9918335
5,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,927254.0,9094.0,70331,42.744,0.02826,1.734,20.011,15.997,19.999,612164,1800374,4434520,9999415,16846473,705900,179938,1000000,554417,0.9911718
6,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,913274.0,8630.0,116054,42.786,0.0257,1.736,20.006,16.001,19.994,614273,1791414,4439676,9997153,16842516,707588,179084,1000000,554926,0.99156195
7,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,910771.0,8822.0,313651,42.768,0.02519,1.737,20.002,16.007,19.992,614352,1793936,4447039,9996194,16851521,707477,179378,1000000,555639,0.991432
8,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,925742.0,9028.0,480202,42.723,0.02786,1.733,20.0,16.001,19.994,611836,1790301,4447021,9996776,16845934,706036,179028,1000000,555846,0.99081063
9,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,917069.0,8822.0,737450,42.786,0.02631,1.734,20.009,16.001,20.002,612466,1794473,4444217,10001243,16852399,706602,179366,1000000,555482,0.99145013
10,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,894872.0,8396.0,768843,42.74,0.02306,1.736,19.996,16.0,19.994,613588,1793404,4450827,9996904,16854723,706786,179379,1000000,556354,0.9909898
11,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,933901.0,8967.0,140711,42.712,0.02992,1.731,20.01,16.003,20.004,610890,1800866,4436762,10002157,16850675,705935,179994,1000000,554495,0.9905977
12,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,928508.0,9044.0,305842,42.763,0.02868,1.737,19.99,16.004,19.999,613658,1786067,4448060,9999288,16847073,706589,178693,1000000,555865,0.99137455
13,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,891473.0,8488.0,473677,42.745,0.02276,1.733,19.988,16.001,20.001,611159,1789685,4444156,10000495,16845495,705518,179080,1000000,555471,0.99127007
14,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,937901.0,9042.0,902777,42.771,0.03065,1.735,20.019,15.997,19.995,612842,1790309,4448644,9997517,16849312,706490,178857,1000000,556178,0.9916939
15,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,938135.0,9115.0,745569,42.793,0.03079,1.738,19.994,15.998,19.99,614347,1788936,4440588,9994871,16838742,706989,178951,1000000,555139,0.9916841
16,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,920209.0,8921.0,804120,42.738,0.02684,1.733,20.017,16.004,20.005,611523,1795810,4441537,10002388,16851258,705835,179426,1000000,555038,0.9912777
17,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,923306.0,9172.0,594631,42.762,0.02747,1.733,20.004,15.996,19.993,612595,1794840,4435965,9996317,16839717,706899,179444,1000000,554620,0.9911769
18,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,943770.0,9119.0,594770,42.76,0.0324,1.738,20.012,16.01,20.001,614721,1804167,4434271,10000275,16853434,707331,180313,1000000,553927,0.99119514
19,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,936346.0,9126.0,562603,42.733,0.03045,1.734,20.004,15.991,20.002,611453,1802004,4438437,10000926,16852820,705347,180166,1000000,555107,0.9909506
20,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,942225.0,9236.0,779124,42.762,0.03198,1.739,20.002,15.998,19.994,613829,1793745,4443274,9997014,16847862,705798,179361,1000000,555493,0.99138814
21,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,913159.0,8857.0,869606,42.756,0.02573,1.735,19.986,15.995,20.004,613197,1798486,4439381,10002125,16853189,706982,179979,1000000,555092,0.9912101
22,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,883174.0,8334.0,30248,42.74,0.02188,1.736,20.003,16.003,19.997,612758,1792712,4442396,9998479,16846345,705991,179245,1000000,555198,0.9910585
23,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,924819.0,8925.0,278751,42.734,0.02792,1.734,19.996,16.001,19.996,613190,1793377,4442248,9997911,16846726,707158,179370,1000000,555236,0.99085504
24,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,951610.0,9374.0,927898,42.747,0.03526,1.735,20.001,15.997,20.001,612738,1797093,4437837,10000712,16848380,706209,179701,1000000,554839,0.9910446
25,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,879277.0,8462.0,692682,42.764,0.02157,1.73,20.003,16.008,20.001,611424,1794115,4440948,10000272,16846759,706713,179382,1000000,554824,0.9911636
26,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,901939.0,8495.0,62311,42.759,0.02398,1.737,20.002,16.0,19.991,613150,1794725,4440209,9995589,16843673,705893,179457,1000000,555021,0.9913987
27,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,907391.0,8766.0,973603,42.768,0.02487,1.733,20.009,15.991,20.005,612807,1797901,4441246,10002709,16854663,707159,179709,1000000,555481,0.99137014
28,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,892919.0,8619.0,1814,42.772,0.02286,1.735,19.995,16.005,20.004,612365,1798818,4435505,10001864,16848552,705760,179927,1000000,554249,0.9914077
29,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,868471.0,8001.0,381410,42.801,0.02042,1.738,20.031,16.002,20.005,614118,1791535,4442830,10002688,16851171,706558,178872,1000000,555286,0.99191684
