,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,805449.0,6221.0,400821,39.421,0.01614,2.065,20.006,16.01,19.991,838315,2083864,4380056,9995567,17297802,812028,208328,1000000,547169,0.952717
1,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,709931.0,5487.0,597301,39.402,0.01291,2.056,19.997,16.002,19.997,834696,2087951,4383416,9998360,17304423,811850,208827,1000000,547871,0.9523569
2,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,863013.0,6764.0,783291,39.425,0.01971,2.062,20.006,15.989,20.0,836866,2090756,4366981,10000175,17294778,811832,209018,1000000,546256,0.952735
3,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,862772.0,6704.0,776828,39.382,0.01964,2.057,19.992,16.001,19.997,835100,2089596,4371277,9998724,17294697,811898,209044,1000000,546383,0.9520182
4,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,805368.0,6239.0,371293,39.425,0.01619,2.06,19.991,16.006,19.995,837125,2076140,4383540,9997589,17294394,812646,207708,1000000,547754,0.95275164
5,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,795475.0,6128.0,896944,39.411,0.01572,2.061,20.006,15.999,19.995,837002,2087829,4371170,9997741,17293742,812185,208718,1000000,546430,0.9523759
6,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,809650.0,6320.0,887393,39.413,0.0163,2.06,20.013,16.01,20.004,836277,2084390,4376923,10001953,17299543,811883,208300,1000000,546782,0.95255744
7,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,693958.0,5365.0,23800,39.419,0.01249,2.058,19.999,16.007,19.997,835499,2081118,4382266,9998419,17297302,811960,208120,1000000,547539,0.9526871
8,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,786871.0,6142.0,544941,39.362,0.01543,2.058,20.017,16.002,19.995,834708,2091457,4375135,9997417,17298717,811264,208972,1000000,546807,0.9519844
9,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,814586.0,6290.0,170622,39.391,0.01666,2.059,19.978,16.002,19.998,836520,2081266,4372990,9999156,17289932,812534,208356,1000000,546551,0.9520548
10,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,808623.0,6234.0,693607,39.43,0.01631,2.06,20.0,15.993,20.006,836749,2084161,4371019,10003202,17295131,812464,208420,1000000,546608,0.9526346
11,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,798682.0,6145.0,922781,39.41,0.01591,2.061,20.02,16.009,19.995,837302,2084624,4383825,9997478,17303229,812460,208256,1000000,547660,0.95248765
12,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,850825.0,6618.0,561007,39.379,0.01871,2.06,20.005,16.001,20.004,836636,2087270,4382174,10002186,17308266,812094,208670,1000000,547725,0.95221716
13,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,880280.0,6937.0,278610,39.434,0.02117,2.058,20.004,15.988,19.994,834981,2083569,4369630,9997210,17285390,811402,208312,1000000,546599,0.952552
14,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,512521.0,3794.0,14449,39.434,0.00957,2.056,19.995,15.995,20.0,834201,2079989,4374915,9999761,17288866,811389,208047,1000000,547023,0.9529349
15,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,869836.0,6942.0,342013,39.419,0.02016,2.059,19.991,16.0,20.006,836525,2080516,4384662,10002971,17304674,812672,208145,1000000,548083,0.9528062
16,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,884393.0,6994.0,958706,39.378,0.02174,2.059,19.995,16.0,19.995,835521,2091376,4372625,9997613,17297135,811442,209189,1000000,546581,0.95219105
17,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,722697.0,5502.0,831621,39.428,0.01326,2.061,19.995,15.994,19.998,836968,2080215,4374715,9999068,17290966,812261,208070,1000000,547028,0.9526704
18,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,784146.0,5997.0,453883,39.398,0.01529,2.056,19.985,16.007,19.997,835350,2080273,4385329,9998688,17299640,812408,208180,1000000,547928,0.95253116
19,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,851755.0,6669.0,546203,39.397,0.0188,2.062,20.001,16.003,20.006,836900,2083599,4381523,10002984,17305006,811589,208347,1000000,547576,0.9525705
20,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,862289.0,6849.0,23791,39.446,0.01966,2.057,20.002,15.998,20.002,835220,2079928,4380578,10000875,17296601,811953,207968,1000000,547638,0.95300424
21,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,880791.0,6893.0,791109,39.424,0.02124,2.057,19.981,16.009,19.999,835178,2083095,4376421,9999537,17294231,811874,208510,1000000,546761,0.95264167
22,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,813710.0,6368.0,124678,39.405,0.01667,2.055,20.004,15.994,20.0,834385,2081233,4375473,10000049,17291140,812029,208080,1000000,547145,0.95214283
23,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,779358.0,5921.0,852461,39.41,0.01509,2.059,20.016,15.995,20.003,836416,2089392,4372470,10001555,17299833,812263,208771,1000000,546729,0.9524329
24,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,867917.0,6916.0,63935,39.404,0.02009,2.058,20.0,15.998,20.001,835767,2081812,4370864,10000591,17289034,812392,208177,1000000,546443,0.95233303
25,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,865975.0,6887.0,576916,39.411,0.01992,2.059,20.003,15.998,19.994,835821,2089256,4370476,9997153,17292706,811896,208893,1000000,546388,0.9524181
26,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,876913.0,6853.0,684318,39.444,0.02082,2.065,19.996,15.999,19.995,838894,2078300,4377676,9997429,17292299,812354,207870,1000000,547239,0.9527611
27,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,817249.0,6283.0,425269,39.397,0.01677,2.064,19.997,16.007,20.004,838495,2080976,4380113,10002178,17301762,812488,208125,1000000,547258,0.9524563
28,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,604864.0,4478.0,496085,39.406,0.01077,2.062,19.997,15.998,20.0,836966,2085288,4374294,9999792,17296340,811952,208560,1000000,546867,0.95270604
