,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,956757.0,2678.0,250065,29.339,0.03302,3.995,19.984,16.002,20.005,1957913,3015241,4145673,10002729,19121556,980169,301768,1000000,518152,0.8355892
1,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,948552.0,2685.0,632385,29.342,0.02983,4.008,20.005,15.997,20.002,1964275,3024201,4142134,10001157,19131767,980149,302349,1000000,517854,0.83600515
2,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,939853.0,2627.0,904870,29.324,0.02725,3.999,20.005,16.005,20.003,1959738,3011996,4148807,10001728,19122269,980128,301125,1000000,518435,0.8357168
3,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,931894.0,2582.0,3902,29.31,0.02541,3.979,20.005,16.008,19.998,1950385,3024575,4147583,9998773,19121316,980271,302379,1000000,518192,0.83525306
4,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,953196.0,2626.0,877262,29.31,0.03141,3.996,19.998,15.993,20.008,1958455,3016415,4147684,10003881,19126435,980154,301668,1000000,518691,0.835536
5,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,964330.0,2709.0,316537,29.331,0.0367,4.006,20.005,16.004,19.999,1963000,3016149,4148454,9999493,19127096,979981,301532,1000000,518412,0.8358865
6,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,953983.0,2613.0,233853,29.346,0.03173,3.997,20.0,15.994,19.999,1958689,3021439,4145048,9999688,19124864,980147,302144,1000000,518336,0.8356145
7,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,954481.0,2705.0,674317,29.345,0.03189,4.0,20.006,15.996,19.994,1960285,3017148,4146649,9997095,19121177,980122,301620,1000000,518455,0.8357824
8,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,954826.0,2722.0,569136,29.344,0.03208,3.994,19.999,15.989,19.995,1957396,3019254,4139219,9997674,19113543,980214,301940,1000000,517752,0.8357255
9,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,955769.0,2745.0,242012,29.357,0.03242,4.004,19.997,16.007,19.998,1962712,3017936,4153012,9999132,19132792,980268,301839,1000000,518895,0.8359554
10,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,956494.0,2710.0,883210,29.332,0.03256,4.003,20.017,15.994,20.001,1961604,3027312,4143881,10000713,19133510,980102,302479,1000000,518188,0.8357496
11,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,958963.0,2785.0,184931,29.369,0.03386,4.002,19.992,16.006,20.011,1961395,3023614,4143323,10005570,19133902,980153,302482,1000000,517736,0.8359428
12,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,960944.0,2671.0,922336,29.331,0.03478,3.991,20.008,15.992,19.993,1955855,3018480,4148688,9996736,19119759,980156,301725,1000000,518830,0.8356694
13,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,966758.0,2813.0,320212,29.34,0.03793,4.008,20.013,15.991,20.008,1964311,3022142,4145115,10004090,19135658,980091,302016,1000000,518424,0.8357469
14,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,959392.0,2653.0,216412,29.306,0.03407,4.0,20.003,16.003,19.992,1959967,3023996,4140523,9996184,19120670,979961,302356,1000000,517482,0.8352807
15,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,957013.0,2640.0,541879,29.322,0.03288,4.001,20.018,16.002,19.999,1960606,3021516,4148657,9999651,19130430,980026,301875,1000000,518524,0.83563024
16,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,948269.0,2713.0,234780,29.328,0.02976,3.997,20.012,16.006,19.999,1958942,3025946,4149897,9999431,19134216,980119,302415,1000000,518540,0.83575815
17,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,955625.0,2658.0,325385,29.338,0.03235,3.993,19.992,16.0,20.003,1956885,3022592,4148253,10001701,19129431,980141,302385,1000000,518536,0.83581704
18,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,953523.0,2634.0,747225,29.297,0.03166,3.996,19.998,16.0,19.996,1957958,3025502,4141327,9998221,19123008,980017,302581,1000000,517658,0.83524615
19,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,965092.0,2686.0,872185,29.339,0.03706,3.994,19.992,15.991,20.0,1956914,3014746,4144923,10000140,19116723,980041,301597,1000000,518420,0.83589995
20,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,956934.0,2660.0,829551,29.335,0.03295,4.006,19.999,16.004,20.001,1962900,3019151,4146641,10000529,19129221,979917,301930,1000000,518210,0.8358029
21,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,964739.0,2723.0,721808,29.354,0.037,3.995,20.006,15.994,19.997,1958085,3022760,4143526,9998432,19122803,980196,302182,1000000,518131,0.83586776
22,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,946177.0,2672.0,663192,29.352,0.02904,3.994,20.029,15.995,20.005,1957541,3021403,4147156,10002721,19128821,980283,301709,1000000,518552,0.83596736
23,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,963026.0,2811.0,870222,29.34,0.03602,3.999,20.01,16.001,20.001,1960005,3019941,4144042,10000276,19124264,980159,301836,1000000,517977,0.83602935
24,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,964571.0,2625.0,209520,29.273,0.03688,4.007,19.996,16.008,20.002,1963924,3023249,4141987,10001244,19130404,980180,302382,1000000,517489,0.8350214
25,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,959302.0,2709.0,598541,29.325,0.03394,4.003,19.997,16.009,20.001,1961759,3022646,4147917,10000556,19132878,980083,302310,1000000,518211,0.83568776
26,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,957262.0,2683.0,68507,29.341,0.03328,3.997,20.002,15.998,19.997,1958783,3022375,4143939,9998669,19123766,980110,302211,1000000,518062,0.83586216
27,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,961558.0,2792.0,972404,29.361,0.03515,3.998,19.996,15.998,19.999,1959802,3009278,4155673,9999408,19124161,980359,300991,1000000,519539,0.8361717
28,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,946761.0,2699.0,905494,29.325,0.02936,3.995,19.996,16.004,20.001,1958183,3016632,4151676,10000619,19127110,980271,301724,1000000,518820,0.8354234
29,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,955950.0,2672.0,878260,29.331,0.03264,3.998,20.005,15.994,20.006,1959855,3020001,4146191,10003114,19129161,980352,301926,1000000,518468,0.8357858
