,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,685619.0,837.0,93891,20.649,0.01245,4.945,20.006,15.996,19.996,2454539,4189997,2685699,9997805,19328040,992701,418879,1000000,335788,0.6941401
1,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,823104.0,949.0,112448,20.644,0.01793,4.953,20.003,16.002,20.003,2458330,4196780,2682724,10001338,19339172,992659,419611,1000000,335291,0.69380444
2,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,619118.0,713.0,18498,20.643,0.01096,4.954,19.998,15.993,20.0,2459065,4187151,2688714,9999960,19334890,992736,418751,1000000,336239,0.6939335
3,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,818094.0,992.0,399270,20.651,0.01763,4.951,20.008,16.001,20.006,2457522,4190171,2687946,10002847,19338486,992743,418842,1000000,335980,0.694267
4,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,650935.0,771.0,556297,20.66,0.01164,4.945,20.0,16.001,20.002,2454135,4184385,2688981,10001176,19328677,992664,418436,1000000,336099,0.69400704
5,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,789621.0,923.0,524479,20.654,0.01605,4.943,19.996,16.0,20.002,2453555,4194964,2690124,10001170,19339813,992745,419570,1000000,336265,0.694169
6,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,393301.0,503.0,190728,20.659,0.00804,4.951,19.998,15.999,19.991,2457071,4188463,2687842,9995597,19328973,992633,418887,1000000,335994,0.6943843
7,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,825153.0,937.0,901341,20.632,0.01798,4.952,19.996,15.991,20.003,2457692,4197929,2682155,10001716,19339492,992646,419870,1000000,335460,0.6940139
8,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,849631.0,928.0,62056,20.663,0.0199,4.949,20.01,16.0,19.991,2456157,4194596,2689541,9995720,19336014,992614,419241,1000000,336189,0.6939749
9,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,633082.0,716.0,732344,20.633,0.0113,4.953,20.002,15.989,20.001,2458559,4190192,2681747,10000344,19330842,992717,418979,1000000,335446,0.6935016
10,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,826122.0,1010.0,603883,20.65,0.01812,4.953,19.997,16.007,20.005,2458599,4192257,2689109,10002373,19342338,992786,419297,1000000,336000,0.6940454
11,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,587527.0,719.0,707129,20.652,0.01042,4.957,20.008,16.007,20.001,2460214,4194568,2693335,10000462,19348579,992581,419290,1000000,336514,0.69434184
12,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,869889.0,921.0,114001,20.658,0.02165,4.96,20.011,15.987,20.003,2462073,4191343,2687443,10001692,19342551,992728,418907,1000000,336199,0.6943676
13,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,870307.0,900.0,130768,20.626,0.02169,4.962,20.006,15.995,20.007,2463374,4189623,2687818,10003445,19344260,992809,418844,1000000,336081,0.6939027
14,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,846355.0,963.0,10141,20.637,0.01972,4.945,19.998,16.005,20.002,2453679,4189098,2687200,10000827,19330804,992451,418951,1000000,335786,0.6938833
15,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,817796.0,901.0,809613,20.631,0.01752,4.955,19.999,15.997,20.005,2459070,4189940,2687230,10002309,19338549,992605,419017,1000000,335957,0.69371206
16,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,743098.0,912.0,109639,20.622,0.01417,4.954,19.997,16.015,20.005,2458645,4189940,2688504,10002471,19339560,992660,419067,1000000,335757,0.69360864
17,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,852959.0,992.0,894132,20.629,0.02008,4.955,20.004,16.002,20.004,2459165,4189277,2687518,10001852,19337812,992623,418844,1000000,335889,0.6936901
18,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,670047.0,754.0,65217,20.639,0.01206,4.949,19.993,16.005,20.002,2456347,4196680,2685034,10001052,19339113,992692,419805,1000000,335515,0.6939088
19,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,815157.0,956.0,487286,20.655,0.01742,4.948,19.998,15.999,19.991,2455556,4197644,2685928,9995523,19334651,992558,419799,1000000,335764,0.6943665
