,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,941031.0,1088.0,672176,22.863,0.03589,3.986,19.988,15.987,19.995,1952247,3876472,3169704,9997695,18996118,979667,387879,1000000,396545,0.7335338
1,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,906209.0,972.0,844129,22.854,0.02713,3.979,19.997,16.001,20.002,1948973,3874423,3169961,10000902,18994259,979697,387496,1000000,396215,0.73325217
2,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,944594.0,1021.0,710489,22.864,0.03697,3.985,19.991,16.002,19.998,1952303,3869163,3178164,9999089,18998719,979843,387091,1000000,397233,0.73371154
3,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,923413.0,1029.0,271078,22.884,0.03092,3.975,19.988,15.998,19.994,1947177,3865644,3179862,9996814,18989497,979665,386797,1000000,397538,0.73373115
4,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,944499.0,1092.0,82825,22.865,0.03727,3.981,20.005,16.001,19.998,1950581,3873210,3175208,9999055,18998054,979953,387225,1000000,396872,0.733576
5,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,920725.0,1081.0,200646,22.849,0.02998,3.992,20.003,16.009,20.002,1955275,3886756,3168633,10001122,19011786,979555,388623,1000000,395848,0.73325795
6,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,949659.0,1062.0,696950,22.896,0.03941,3.985,19.996,15.992,20.0,1951815,3871702,3174360,9999773,18997650,979661,387245,1000000,396987,0.73417675
7,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,952643.0,1077.0,47961,22.879,0.04069,3.987,19.994,16.001,20.008,1952723,3869669,3173133,10003884,18999409,979642,387080,1000000,396619,0.7335009
8,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,944722.0,1045.0,425873,22.863,0.03739,3.988,19.995,15.999,20.005,1953968,3869337,3173991,10002631,18999927,979808,387025,1000000,396784,0.7335289
9,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,937056.0,987.0,376699,22.838,0.03458,3.986,19.998,16.009,19.999,1952939,3869204,3172681,9999397,18994221,979810,386956,1000000,396358,0.73308295
10,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,946124.0,1080.0,595535,22.884,0.0378,3.98,19.994,16.006,20.003,1949929,3868398,3177317,10001453,18997097,979855,386951,1000000,397018,0.7338688
11,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,937788.0,1052.0,325835,22.83,0.03481,3.984,20.003,15.998,20.005,1951866,3883257,3164591,10002652,19002366,979835,388260,1000000,395616,0.73255146
12,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,944858.0,1083.0,714782,22.847,0.03732,3.981,20.006,15.996,20.004,1949816,3882120,3170101,10002010,19004047,979549,388103,1000000,396368,0.7331306
13,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,937540.0,1074.0,176393,22.894,0.03459,3.975,19.999,15.996,19.999,1947235,3872418,3175982,9999566,18995201,979702,387260,1000000,397094,0.73371494
14,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,932990.0,1052.0,486934,22.827,0.03334,3.98,20.001,15.997,20.003,1949267,3872411,3166364,10001319,18989361,979633,387213,1000000,395867,0.73275775
15,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,943203.0,1012.0,997349,22.883,0.03672,3.986,19.993,16.007,20.002,1952651,3862470,3175577,10000754,18991452,979839,386388,1000000,396771,0.7336674
16,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,943500.0,1115.0,383854,22.891,0.03693,3.981,19.994,16.007,20.0,1949635,3868095,3174073,9999897,18991700,979573,386930,1000000,396590,0.73369724
17,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,944301.0,1025.0,769953,22.855,0.03708,3.978,19.999,15.997,20.0,1948868,3880506,3176706,9999806,19005886,979727,388062,1000000,397157,0.73338765
18,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,933129.0,1055.0,851184,22.877,0.03322,3.983,20.004,15.995,19.995,1951171,3877304,3174173,9997599,19000247,979650,387659,1000000,396902,0.73359704
19,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,926728.0,1045.0,772837,22.884,0.03138,3.982,20.009,16.001,20.004,1950240,3877615,3174630,10001882,19004367,979530,387582,1000000,396810,0.7336989
20,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,926854.0,1100.0,152693,22.898,0.0315,3.979,20.002,15.998,20.003,1949564,3878810,3178417,10001302,19008093,979806,387835,1000000,397350,0.73395365
21,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,941323.0,1099.0,789976,22.855,0.0359,3.989,20.008,16.004,20.002,1954523,3879907,3173622,10001224,19009276,979850,387827,1000000,396598,0.73335826
22,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,948508.0,1073.0,810551,22.851,0.03876,3.985,20.011,16.0,20.008,1952443,3879716,3169025,10004136,19005320,979820,387768,1000000,396134,0.73310566
23,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,930410.0,1064.0,228227,22.857,0.03274,3.977,19.999,16.005,19.991,1949163,3878034,3172794,9995529,18995520,980097,387824,1000000,396476,0.7333503
24,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,952293.0,1142.0,163648,22.833,0.04072,3.986,20.008,16.0,20.002,1952752,3877658,3168934,10001025,19000369,979769,387617,1000000,396124,0.7328697
25,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,939153.0,1035.0,777013,22.877,0.0352,3.977,20.005,16.012,20.002,1948003,3869961,3182539,10001187,19001690,979629,386907,1000000,397511,0.7336704
26,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,938370.0,1078.0,292439,22.855,0.03501,3.977,20.013,15.996,20.003,1948211,3878929,3171799,10001500,19000439,979680,387637,1000000,396571,0.73353684
27,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,936578.0,1079.0,524584,22.87,0.03429,3.986,19.996,15.999,20.003,1952375,3867504,3176909,10001424,18998212,979678,386819,1000000,397139,0.73350805
28,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,942363.0,1090.0,114842,22.872,0.03644,3.982,19.993,16.002,20.004,1950904,3865548,3177797,10002214,18996463,979771,386682,1000000,397173,0.7334661
29,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,949918.0,1067.0,726647,22.868,0.03937,3.985,19.996,16.008,19.993,1952614,3877369,3175130,9996311,19001424,979993,387817,1000000,396705,0.7334791
