,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,945643.0,8128.0,664638,40.711,0.03428,1.727,19.999,16.004,19.993,607508,1902616,4507120,9996594,17013838,703347,190274,1000000,563251,0.9706138
1,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,933535.0,8023.0,937693,40.698,0.03041,1.726,20.001,16.0,20.002,606658,1914040,4496156,10001133,17017987,703160,191390,1000000,562025,0.9704817
2,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,949347.0,7988.0,71993,40.675,0.03551,1.725,19.998,15.987,19.998,605681,1913084,4495276,9999063,17013104,702420,191332,1000000,562384,0.97011447
3,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,943259.0,8025.0,743620,40.68,0.03314,1.723,19.965,15.996,19.997,605466,1904484,4504412,9998448,17012810,702697,190786,1000000,563208,0.97031075
4,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,940457.0,8080.0,516988,40.687,0.0325,1.731,19.985,15.995,19.997,608405,1913703,4498565,9998601,17019274,702781,191511,1000000,562502,0.970315
5,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,946343.0,8188.0,438469,40.727,0.03434,1.729,19.998,16.008,20.004,608128,1905028,4499616,10001984,17014756,703413,190522,1000000,562172,0.970665
6,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,943069.0,8083.0,211010,40.724,0.03321,1.728,20.0,15.999,19.998,607806,1910417,4501559,9998885,17018667,703633,191038,1000000,562743,0.97083104
7,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,949497.0,8167.0,341,40.65,0.03593,1.727,19.994,15.998,19.997,607674,1911846,4496763,9998443,17014726,703637,191246,1000000,562160,0.96991414
8,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,943335.0,8108.0,121954,40.74,0.03346,1.728,20.014,16.004,19.995,608241,1901807,4508772,9997721,17016541,703797,190048,1000000,563461,0.97084713
9,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,940113.0,8001.0,329525,40.703,0.03244,1.732,19.993,15.997,19.99,609825,1902961,4502315,9994956,17010057,704252,190359,1000000,562909,0.97047246
10,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,958919.0,8232.0,349030,40.723,0.03991,1.725,20.013,16.005,20.003,607638,1909852,4503115,10001613,17022218,704562,190865,1000000,562702,0.9707226
11,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,937011.0,7784.0,220887,40.678,0.0315,1.725,20.0,15.995,20.003,606672,1915971,4494056,10001620,17018319,703428,191595,1000000,561918,0.9701269
12,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,939816.0,8002.0,58394,40.724,0.03221,1.728,20.005,16.0,20.003,607803,1906082,4500341,10001355,17015581,703523,190559,1000000,562533,0.97068095
13,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,952674.0,7995.0,631842,40.737,0.03696,1.73,19.993,15.999,20.005,608692,1904324,4496425,10002562,17012003,703497,190501,1000000,562085,0.97088635
