,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,982324.0,1407.0,814109,29.956,0.0323,7.02,19.981,15.995,19.999,3507009,2120291,5287527,9999285,20914112,999123,212226,1000000,661139,0.8714932
1,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,981313.0,1375.0,638389,29.979,0.03136,7.019,20.0,16.0,19.999,3506509,2115841,5292689,9999445,20914484,999110,211588,1000000,661601,0.8716251
2,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,974775.0,1453.0,891783,29.978,0.02724,7.033,20.013,16.001,19.996,3513226,2115158,5290534,9997879,20916797,999038,211377,1000000,661292,0.871635
3,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,982998.0,1433.0,52654,29.961,0.03286,7.033,19.992,15.998,20.0,3513295,2113124,5293008,9999993,20919420,999142,211398,1000000,661712,0.8716183
4,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,983942.0,1376.0,969265,29.984,0.03383,7.027,19.988,15.998,20.009,3510381,2116124,5292313,10004302,20923120,999129,211742,1000000,661626,0.8718978
5,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,976544.0,1411.0,790469,29.977,0.02811,7.021,20.002,16.001,20.003,3507175,2117840,5293067,10001666,20919748,999059,211758,1000000,661603,0.871731
6,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,981059.0,1372.0,95880,29.972,0.03131,7.032,19.996,16.004,19.996,3512610,2107896,5302843,9998228,20921577,999099,210837,1000000,662705,0.8716394
7,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,980052.0,1308.0,677604,29.968,0.03028,7.023,20.004,16.009,20.004,3508407,2116507,5302179,10002163,20929256,999095,211611,1000000,662407,0.8717736
8,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,979751.0,1399.0,573980,29.976,0.03032,7.019,20.014,16.005,20.004,3506160,2115240,5299418,10002070,20922888,999078,211375,1000000,662218,0.87176317
9,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,973209.0,1360.0,130173,29.956,0.02639,7.023,20.005,16.0,19.997,3508279,2114039,5295398,9998735,20916451,999080,211346,1000000,661930,0.8715146
10,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,982972.0,1357.0,531889,29.955,0.03298,7.021,19.991,16.002,20.0,3507721,2115983,5291301,9999784,20914789,999189,211691,1000000,661314,0.87134045
11,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,984986.0,1335.0,816456,29.98,0.03487,7.039,20.004,16.009,20.001,3516319,2111311,5301266,10000371,20929267,999162,211093,1000000,662298,0.8718507
12,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,985087.0,1441.0,675964,29.978,0.03453,7.03,20.016,16.008,19.988,3511986,2118920,5297420,9994232,20922558,999117,211726,1000000,661842,0.8719008
13,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,981795.0,1454.0,958790,29.973,0.03159,7.034,20.006,16.011,20.006,3514145,2112355,5302015,10003028,20931543,999143,211175,1000000,662283,0.8717913
14,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,986895.0,1380.0,290667,29.994,0.03718,7.021,19.99,16.001,20.005,3507179,2113195,5297239,10002316,20919929,999093,211425,1000000,662128,0.8719964
15,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,980866.0,1410.0,144025,29.979,0.03092,7.014,20.004,16.009,19.998,3503690,2123322,5297098,9998790,20922900,999056,212293,1000000,661785,0.87162673
16,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,981022.0,1400.0,671762,30.004,0.03093,7.027,20.002,15.999,19.991,3510341,2110027,5300976,9995561,20916905,999072,210984,1000000,662652,0.8722523
17,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,990751.0,1463.0,233162,29.977,0.04354,7.018,20.011,16.003,19.995,3505935,2117067,5295963,9997276,20916241,999080,211588,1000000,661853,0.8718975
18,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,983283.0,1344.0,401214,29.968,0.03301,7.035,20.015,15.997,20.006,3514089,2120295,5293328,10003188,20930900,999063,211871,1000000,661787,0.8717618
