,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,963489.0,1924.0,79012,26.53,0.03161,5.829,19.989,15.994,20.005,2905951,3382434,3749107,10002666,20040158,996999,338432,1000000,468810,0.7944438
1,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,950663.0,1971.0,778225,26.565,0.02707,5.82,20.003,16.002,19.998,2901347,3383330,3756286,9998932,20039895,997026,338283,1000000,469489,0.795133
2,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,961111.0,1927.0,661637,26.514,0.03046,5.826,20.001,16.001,19.993,2903953,3387461,3750517,9996729,20038660,996883,338726,1000000,468774,0.79426765
3,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,968813.0,1909.0,765189,26.528,0.0342,5.825,20.003,15.992,19.999,2903814,3388068,3749062,9999709,20040653,997026,338756,1000000,468875,0.7947138
4,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,944013.0,1922.0,587101,26.531,0.02504,5.838,19.991,16.008,20.002,2910265,3387008,3750815,10000824,20048912,997031,338851,1000000,468631,0.79471034
5,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,941195.0,1919.0,254170,26.538,0.02452,5.83,20.007,16.001,20.007,2905825,3387825,3748650,10003466,20045766,996902,338667,1000000,468555,0.7947465
6,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,939816.0,1895.0,497138,26.548,0.02426,5.82,19.997,16.002,20.001,2901061,3378735,3754219,10000287,20034302,996923,337922,1000000,469219,0.7948912
7,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,956103.0,1974.0,582642,26.552,0.02882,5.816,19.998,15.998,20.007,2899370,3384011,3749471,10003458,20036310,996994,338439,1000000,468748,0.7950231
8,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,946514.0,1847.0,984033,26.531,0.02582,5.828,20.001,16.011,19.998,2904963,3396254,3746535,9998884,20046636,996963,339601,1000000,468004,0.79460466
9,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,948134.0,1987.0,140089,26.535,0.02615,5.834,19.989,16.004,19.997,2908498,3387536,3750047,9998699,20044780,997040,338936,1000000,468643,0.79480445
10,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,944101.0,1945.0,267570,26.543,0.02519,5.822,20.003,16.006,19.995,2902705,3388766,3750643,9997474,20039588,997088,338822,1000000,468662,0.79489946
11,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,966037.0,1960.0,192168,26.544,0.03285,5.826,20.002,16.012,20.002,2903807,3389675,3752276,10001185,20046943,996921,338936,1000000,468669,0.79480237
12,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,954493.0,1959.0,780734,26.54,0.02811,5.814,20.004,15.993,20.005,2898010,3385368,3746302,10002340,20032020,996976,338468,1000000,468497,0.7946711
13,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,958469.0,1948.0,284141,26.544,0.02969,5.823,19.988,16.005,20.001,2903118,3380101,3750967,10000707,20034893,997040,338205,1000000,468719,0.79478836
14,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,955749.0,1926.0,489498,26.55,0.02866,5.829,19.981,16.01,19.996,2905546,3386078,3752571,9998159,20042354,997008,338929,1000000,468768,0.7949149
15,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,948864.0,1896.0,370366,26.52,0.02652,5.813,19.995,16.0,19.997,2897351,3390229,3749418,9998368,20035366,996901,339104,1000000,468691,0.7945397
16,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,962850.0,1889.0,342433,26.56,0.03146,5.819,19.994,15.998,20.005,2900526,3379871,3755169,10002730,20038296,996854,338090,1000000,469443,0.79507387
17,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,944199.0,1920.0,255529,26.552,0.0252,5.813,20.005,16.006,20.01,2897430,3382478,3759939,10005166,20045013,996961,338164,1000000,469824,0.79506844
18,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,943548.0,1896.0,987534,26.508,0.02509,5.819,19.995,15.994,19.994,2900756,3393524,3744030,9996926,20035236,997052,339437,1000000,468193,0.79434174
19,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,957609.0,1924.0,432382,26.532,0.02931,5.81,19.995,16.001,20.0,2896418,3387985,3750382,9999772,20034557,996966,338877,1000000,468782,0.79472154
20,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,931521.0,1906.0,194701,26.542,0.02271,5.824,20.008,15.999,19.995,2903282,3387867,3749698,9997335,20038182,996980,338651,1000000,468742,0.7948726
21,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,944531.0,1874.0,116621,26.541,0.02529,5.829,20.004,15.998,19.987,2905491,3382427,3747024,9993295,20028237,996942,338177,1000000,468439,0.79477596
22,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,959458.0,1849.0,871592,26.518,0.02983,5.835,20.008,15.996,20.008,2908914,3387662,3748396,10003944,20048916,997094,338625,1000000,468658,0.7945548
23,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,936862.0,1878.0,94099,26.538,0.02355,5.831,20.0,16.002,20.0,2906331,3391037,3749563,10000004,20046935,996935,339109,1000000,468644,0.7950909
24,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,943144.0,1958.0,259572,26.548,0.025,5.822,20.003,15.991,20.0,2902262,3387168,3755157,10000101,20044688,996972,338668,1000000,469672,0.79488975
25,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,947909.0,1942.0,477555,26.503,0.02641,5.806,19.989,16.01,20.002,2894024,3383710,3748752,10001128,20027614,996933,338557,1000000,468297,0.794302
26,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,939196.0,1862.0,818290,26.528,0.02413,5.822,19.996,15.995,19.988,2902137,3385111,3747977,9994050,20029275,996965,338572,1000000,468633,0.79448134
27,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,956246.0,1961.0,865292,26.554,0.02863,5.833,20.011,16.001,19.993,2907652,3381029,3757415,9996556,20042652,996968,337910,1000000,469649,0.79509187
28,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,958596.0,1871.0,854170,26.54,0.02953,5.828,19.99,15.997,19.997,2905364,3380947,3752733,9998486,20037530,997109,338271,1000000,469177,0.7948843
29,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,942925.0,1860.0,618244,26.538,0.02493,5.827,20.005,16.005,19.997,2904302,3379654,3759586,9998639,20042181,996913,337873,1000000,469809,0.7948381
