,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,863254.0,1375.0,89931,24.536,0.01849,4.526,19.994,16.004,20.007,2236930,3619408,3541336,10003274,19400948,988566,362054,1000000,442567,0.768466
1,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,821774.0,1216.0,72489,24.532,0.01575,4.535,19.994,16.011,19.998,2241199,3626127,3543918,9998855,19410099,988507,362714,1000000,442680,0.7681404
2,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,766775.0,1226.0,667184,24.513,0.01346,4.528,19.992,15.991,20.004,2237694,3615569,3538878,10001808,19393949,988481,361710,1000000,442599,0.76804006
3,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,827760.0,1339.0,781279,24.558,0.01606,4.529,19.998,15.992,20.008,2238378,3614524,3543092,10003859,19399853,988492,361494,1000000,443108,0.76837325
4,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,803674.0,1270.0,687512,24.512,0.01482,4.532,19.996,16.0,20.0,2240150,3621402,3544736,10000062,19406350,988615,362209,1000000,443095,0.76797694
5,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,803594.0,1269.0,505465,24.517,0.01484,4.53,19.996,15.995,20.0,2239567,3624433,3543886,10000111,19407997,988773,362523,1000000,443118,0.768379
6,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,782996.0,1232.0,34486,24.517,0.01405,4.528,20.007,15.99,20.006,2237762,3615813,3542191,10002906,19398672,988493,361457,1000000,443039,0.7680129
7,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,863879.0,1326.0,524384,24.533,0.01857,4.529,19.995,15.987,20.001,2238420,3618343,3541691,10000462,19398916,988497,361919,1000000,443066,0.7682714
8,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,797651.0,1241.0,933908,24.519,0.01461,4.521,20.013,15.995,20.001,2234530,3624160,3538021,10000394,19397105,988561,362173,1000000,442398,0.7680581
9,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,840630.0,1242.0,192423,24.526,0.01689,4.532,19.992,16.004,19.999,2240155,3621337,3543898,9999387,19404777,988652,362271,1000000,442868,0.76821846
10,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,892123.0,1371.0,302394,24.536,0.02124,4.531,19.986,16.0,19.994,2239924,3616961,3547842,9996812,19401539,988720,361951,1000000,443477,0.76832485
11,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,837451.0,1354.0,706874,24.51,0.01668,4.532,20.005,16.009,19.997,2240445,3625223,3540649,9998558,19404875,988768,362433,1000000,442322,0.768054
12,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,716450.0,1161.0,39985,24.521,0.01194,4.535,20.003,15.992,20.004,2242133,3627253,3540376,10001935,19411697,988713,362667,1000000,442760,0.76815754
13,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,851833.0,1301.0,302674,24.496,0.01759,4.537,19.997,16.003,19.997,2242736,3624895,3537578,9998505,19403714,988715,362545,1000000,442102,0.7676676
14,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,601481.0,980.0,722641,24.504,0.00965,4.53,19.997,16.002,19.995,2239167,3623238,3540859,9997745,19401009,988671,362381,1000000,442553,0.76782376
15,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,813034.0,1347.0,299689,24.518,0.01527,4.523,20.006,15.994,20.005,2235409,3620705,3542761,10002370,19401245,988439,361969,1000000,443001,0.7680354
16,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,874700.0,1395.0,301066,24.532,0.0194,4.526,20.014,15.999,20.006,2237575,3623223,3540735,10002883,19404416,988711,362067,1000000,442612,0.7683322
17,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,836135.0,1351.0,743464,24.52,0.01659,4.53,20.004,16.0,19.999,2239284,3624735,3542627,9999705,19406351,988695,362408,1000000,442830,0.7683
18,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,893113.0,1388.0,894880,24.558,0.0214,4.528,20.014,15.993,19.998,2237935,3621070,3543607,9998752,19401364,988498,361850,1000000,443135,0.76845956
19,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,815866.0,1278.0,708200,24.488,0.01549,4.524,20.002,16.011,20.007,2236676,3626773,3540269,10003689,19407407,988840,362647,1000000,442226,0.76768863
20,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,862551.0,1302.0,931588,24.516,0.01847,4.53,19.995,15.999,20.001,2239592,3620051,3541983,10000474,19402100,988690,362099,1000000,442780,0.7680751
21,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,866328.0,1295.0,161051,24.535,0.01862,4.529,20.014,15.988,20.003,2238736,3632320,3539634,10001293,19411983,988685,362984,1000000,442788,0.76861376
22,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,757760.0,1263.0,599796,24.534,0.01305,4.522,19.996,16.008,19.993,2235156,3620290,3547103,9996521,19399070,988572,362107,1000000,443177,0.76834804
23,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,842254.0,1240.0,11021,24.526,0.01696,4.525,19.985,16.009,19.994,2236607,3617157,3546563,9996966,19397293,988585,361991,1000000,443077,0.76830393
24,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,814508.0,1313.0,555477,24.533,0.01539,4.52,20.004,16.0,20.0,2234140,3627529,3544889,9999979,19406537,988578,362681,1000000,443113,0.7683013
25,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,748542.0,1153.0,632121,24.516,0.01281,4.517,19.985,16.012,20.0,2233252,3613671,3546816,9999879,19393618,988775,361638,1000000,443031,0.767852
26,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,857420.0,1310.0,187880,24.519,0.0181,4.527,19.991,16.005,19.994,2237991,3621199,3543708,9996765,19399663,988692,362291,1000000,442836,0.7680847
27,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,892935.0,1366.0,788069,24.525,0.02134,4.533,19.989,15.995,19.993,2240654,3618864,3541282,9996613,19397413,988703,362090,1000000,442786,0.7681477
28,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,726555.0,1199.0,7847,24.486,0.01217,4.525,20.0,16.005,19.994,2236824,3631108,3538829,9996833,19403594,988544,363118,1000000,442226,0.76774573
29,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,814289.0,1285.0,869328,24.526,0.01534,4.532,20.007,16.001,20.003,2240629,3626219,3539776,10001400,19408024,988699,362494,1000000,442442,0.76790357
