,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,952087.0,1455.0,139997,26.262,0.03209,4.492,20.006,16.007,19.997,2219108,3457955,3773800,9998273,19449136,988112,345685,1000000,471511,0.7895744
1,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,957798.0,1425.0,243438,26.259,0.03469,4.486,19.997,15.999,20.002,2216597,3456369,3767986,10000859,19441811,988171,345696,1000000,471034,0.78916097
2,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,957210.0,1448.0,846616,26.256,0.03436,4.478,20.014,15.994,19.996,2212282,3449580,3768813,9998009,19428684,988019,344715,1000000,471266,0.78927344
3,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,958512.0,1470.0,759,26.254,0.03492,4.482,20.005,15.999,19.994,2214422,3452589,3773727,9996842,19437580,988154,345166,1000000,471744,0.7895113
4,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,965441.0,1432.0,899290,26.256,0.03886,4.476,20.007,16.003,19.998,2211499,3451776,3771880,9998993,19434148,988072,345057,1000000,471391,0.7891526
5,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,952569.0,1355.0,483474,26.238,0.03242,4.482,19.992,15.994,19.994,2214167,3456111,3772198,9996830,19439306,988084,345742,1000000,471706,0.7893767
6,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,953262.0,1367.0,795802,26.264,0.0324,4.488,19.996,16.002,20.006,2217410,3451625,3772384,10002986,19444405,988218,345233,1000000,471489,0.7893487
7,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,967977.0,1425.0,936995,26.235,0.04035,4.49,19.998,16.004,20.011,2217833,3443315,3779861,10005259,19446268,988008,344362,1000000,472361,0.7893904
8,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,957436.0,1426.0,889250,26.25,0.03463,4.489,19.997,16.008,20.001,2217731,3451476,3770227,10000306,19439740,987971,345193,1000000,471053,0.78910255
9,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,947745.0,1425.0,780567,26.247,0.03066,4.475,19.984,15.991,20.003,2211343,3454139,3767974,10001481,19434937,988229,345689,1000000,471248,0.7893674
10,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,960556.0,1421.0,408604,26.268,0.036,4.477,19.999,15.997,20.001,2211598,3453621,3765416,10000466,19431101,987959,345373,1000000,470759,0.78921086
11,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,952411.0,1386.0,375840,26.248,0.03257,4.485,20.0,15.996,19.993,2215746,3459675,3770840,9996366,19442627,988139,345974,1000000,471459,0.78916574
12,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,957393.0,1426.0,496495,26.241,0.03468,4.48,20.004,16.005,20.001,2213559,3448512,3772121,10000706,19434898,988178,344787,1000000,471376,0.7892487
13,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,953197.0,1428.0,292872,26.296,0.03266,4.483,20.008,15.994,19.989,2214132,3450201,3776546,9994593,19435472,987822,344886,1000000,472235,0.78984356
14,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,964610.0,1396.0,221463,26.237,0.03801,4.493,19.993,16.006,20.002,2220314,3459502,3770175,10000816,19450807,988270,346079,1000000,471087,0.78917646
15,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,961248.0,1373.0,832238,26.24,0.03651,4.475,20.014,15.995,20.005,2210411,3458488,3769202,10002373,19440474,987897,345611,1000000,471299,0.78898615
16,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,959884.0,1446.0,538895,26.222,0.03581,4.479,20.003,16.001,20.002,2212540,3458865,3762994,10001202,19435601,987926,345838,1000000,470348,0.7888447
17,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,968050.0,1396.0,654314,26.267,0.04032,4.482,20.004,16.0,20.005,2214126,3450331,3774241,10002537,19441235,988036,344959,1000000,471766,0.7895393
18,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,954032.0,1449.0,150504,26.26,0.03306,4.485,19.996,16.001,19.998,2216178,3448378,3770510,9998853,19433919,988161,344899,1000000,471294,0.7893656
19,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,943588.0,1389.0,349330,26.228,0.02938,4.487,20.001,15.994,20.003,2216689,3458039,3770707,10001453,19446888,988070,345785,1000000,471528,0.788995
20,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,956765.0,1347.0,390848,26.241,0.03445,4.483,20.004,15.991,19.997,2214086,3454410,3765773,9998354,19432623,987826,345380,1000000,470992,0.7890868
21,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,965585.0,1463.0,933916,26.233,0.03906,4.483,20.004,15.991,20.0,2214920,3454151,3765451,10000202,19434724,988171,345339,1000000,470947,0.7888396
22,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,958135.0,1450.0,152989,26.261,0.03482,4.483,19.997,16.001,20.008,2214711,3446163,3773294,10003971,19438139,988112,344671,1000000,471637,0.789294
23,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,952101.0,1406.0,356198,26.249,0.03228,4.488,20.008,16.0,20.002,2217494,3448547,3773016,10001222,19440279,988119,344723,1000000,471626,0.7892353
24,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,954891.0,1372.0,23395,26.258,0.03316,4.486,20.019,16.002,19.994,2215789,3454397,3777287,9997156,19444629,987932,345114,1000000,472102,0.7895218
25,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,956066.0,1380.0,384974,26.259,0.03385,4.483,20.017,16.004,19.992,2214900,3456689,3769833,9996113,19437535,988221,345372,1000000,471116,0.7891792
26,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,962259.0,1417.0,519270,26.264,0.03701,4.472,20.014,15.997,20.001,2209230,3453140,3771608,10000540,19434518,988048,345081,1000000,471545,0.7894226
27,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,955926.0,1410.0,407466,26.236,0.03374,4.481,19.998,16.005,20.0,2214056,3453973,3770667,10000196,19438892,988140,345439,1000000,471189,0.789124
28,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,962134.0,1381.0,758302,26.237,0.03689,4.478,20.008,15.999,20.002,2212376,3459357,3763472,10000825,19436030,988121,345804,1000000,470450,0.788951
29,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,960478.0,1431.0,410808,26.255,0.03579,4.485,20.007,15.994,19.995,2216007,3451482,3774733,9997547,19439769,988092,345020,1000000,472018,0.78958404
