,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,957847.0,3085.0,445071,29.759,0.03417,3.733,20.005,16.016,19.997,1816701,3013546,4095002,9998493,18923742,973384,301283,1000000,511353,0.84415376
1,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,954774.0,3050.0,960288,29.716,0.03311,3.732,20.004,16.016,20.004,1817312,3019216,4090905,10001771,18929204,973914,301857,1000000,510866,0.84344757
2,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,936965.0,2894.0,206307,29.752,0.02723,3.73,19.998,15.994,20.001,1815977,3024222,4081083,10000480,18921762,973701,302457,1000000,510319,0.84400386
3,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,949785.0,3023.0,888407,29.767,0.03109,3.734,20.0,16.008,19.997,1817838,3015636,4091971,9998324,18923769,973644,301564,1000000,511248,0.8442497
4,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,945917.0,2863.0,598618,29.686,0.03002,3.732,20.005,15.999,19.991,1816423,3022627,4077589,9995627,18912266,973453,302191,1000000,509741,0.8432968
5,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,958212.0,3030.0,987846,29.727,0.03467,3.728,19.999,16.0,19.998,1814328,3017380,4087916,9999196,18918820,973393,301759,1000000,511000,0.8436951
6,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,963581.0,3144.0,560409,29.731,0.0374,3.729,20.008,15.988,20.005,1815587,3021582,4083551,10002625,18923345,973756,302038,1000000,510822,0.8439214
7,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,962630.0,2982.0,516067,29.704,0.03683,3.736,19.99,15.997,20.002,1818291,3017855,4086162,10000794,18923102,973492,301932,1000000,510863,0.8434597
8,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955081.0,3005.0,661992,29.726,0.03309,3.73,20.002,15.995,20.003,1815707,3019330,4083941,10001500,18920478,973536,301902,1000000,510648,0.8438397
9,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,953596.0,2979.0,825913,29.687,0.0325,3.726,19.994,15.996,20.003,1813580,3014344,4086313,10001591,18915828,973438,301523,1000000,510910,0.84325445
10,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,948932.0,3045.0,30548,29.712,0.03081,3.731,20.005,16.006,20.013,1816011,3025054,4084377,10006632,18932074,973442,302426,1000000,510366,0.8434413
11,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,959044.0,3108.0,442864,29.728,0.03474,3.74,20.004,15.998,19.999,1819644,3019426,4083171,9999298,18921539,973085,301888,1000000,510455,0.8436523
12,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955121.0,3020.0,933459,29.718,0.03318,3.732,20.006,16.006,19.996,1816922,3017115,4095463,9998134,18927634,973683,301618,1000000,511736,0.8437048
13,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,954328.0,2970.0,258401,29.722,0.03272,3.729,20.002,15.996,20.002,1815555,3023756,4088293,10001025,18928629,973648,302345,1000000,511175,0.84368557
14,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955107.0,3005.0,846419,29.745,0.0331,3.733,20.0,15.996,20.007,1817159,3017428,4086994,10003580,18925161,973561,301743,1000000,510989,0.8440984
15,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,944084.0,3080.0,577001,29.748,0.02919,3.73,19.994,16.006,19.992,1815719,3013948,4086796,9996196,18912659,973562,301486,1000000,510645,0.84389365
16,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,921984.0,2923.0,9547,29.724,0.02414,3.73,19.983,16.001,20.002,1815408,3015469,4091499,10001028,18923404,973457,301803,1000000,511397,0.8437367
17,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,957553.0,2960.0,363646,29.716,0.03434,3.737,19.993,16.001,20.008,1819440,3023978,4084496,10004216,18932130,973684,302505,1000000,510516,0.8435733
18,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,959031.0,2966.0,404704,29.722,0.03482,3.735,20.007,15.99,19.995,1818092,3020084,4081307,9997408,18916891,973520,301898,1000000,510493,0.8436285
19,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,961687.0,3093.0,520090,29.7,0.03648,3.725,19.996,16.0,20.0,1812389,3024269,4078514,9999959,18915131,973178,302482,1000000,509823,0.8434041
20,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,950726.0,2944.0,804129,29.701,0.03139,3.728,19.996,16.01,19.998,1814918,3028020,4085089,9999015,18927042,973589,302855,1000000,510325,0.84360814
21,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,964143.0,2998.0,438734,29.697,0.03777,3.734,19.999,15.994,19.995,1817262,3026181,4082071,9997575,18923089,973292,302628,1000000,510456,0.84330946
22,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,949374.0,3031.0,305611,29.725,0.0309,3.734,20.007,15.994,19.997,1817418,3024224,4086170,9998360,18926172,973382,302317,1000000,510951,0.84367573
23,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,952969.0,3079.0,853299,29.725,0.03246,3.735,20.004,15.997,19.998,1817724,3019284,4083730,9998937,18919675,973237,301875,1000000,510572,0.8438436
24,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,929641.0,3108.0,699814,29.732,0.02559,3.741,20.007,15.999,20.005,1820763,3019558,4082769,10002508,18925598,973534,301846,1000000,510393,0.84368205
25,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,960491.0,3119.0,304445,29.745,0.03577,3.728,20.014,16.003,20.0,1814332,3024451,4085729,10000247,18924759,973476,302241,1000000,510634,0.84390193
26,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,961573.0,3062.0,136784,29.726,0.03625,3.727,19.981,15.999,19.998,1814506,3014137,4086189,9999238,18914070,973624,301698,1000000,510808,0.84392357
27,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,950381.0,2997.0,183112,29.728,0.03133,3.734,20.013,15.999,20.0,1818007,3020979,4085532,10000075,18924593,973655,301898,1000000,510738,0.8436408
28,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955720.0,3128.0,434623,29.693,0.03346,3.735,20.007,16.006,19.994,1818788,3024827,4082561,9996958,18923134,973804,302376,1000000,510114,0.84318155
29,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,949325.0,2971.0,565019,29.738,0.03092,3.735,19.991,16.004,19.99,1818056,3011994,4088867,9995072,18913989,973534,301334,1000000,510978,0.84396684
