,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,943065.0,3951.0,368042,33.211,0.03006,2.937,20.009,16.001,20.003,1375264,2542422,4450292,10001363,18369341,936354,254126,1000000,556253,0.8825349
1,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,931601.0,3856.0,85657,33.229,0.02698,2.941,19.987,16.004,19.995,1376347,2537258,4452064,9997343,18363012,935896,253892,1000000,556381,0.8826449
2,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,944315.0,4003.0,473724,33.197,0.03055,2.937,20.004,16.001,19.997,1374536,2548385,4446277,9998674,18367872,935892,254787,1000000,555762,0.8821811
3,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,943938.0,4065.0,372644,33.194,0.03031,2.937,20.006,15.995,20.008,1374580,2546278,4443352,10003891,18368101,936143,254555,1000000,555587,0.88228506
4,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,940806.0,3946.0,620389,33.22,0.02937,2.938,19.99,16.008,20.002,1374905,2539586,4448629,10000987,18364107,935989,254083,1000000,555788,0.88289165
5,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,947240.0,4011.0,847262,33.238,0.0312,2.945,20.008,16.003,19.999,1378678,2538404,4455552,9999466,18372100,936207,253740,1000000,556842,0.88297176
6,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,926827.0,3908.0,442380,33.254,0.02596,2.935,19.999,16.001,20.006,1373798,2540074,4445227,10002826,18361925,936045,254022,1000000,555635,0.88299733
7,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,941923.0,4060.0,72603,33.216,0.02966,2.952,20.003,15.993,20.001,1381989,2541998,4450962,10000632,18375581,936431,254157,1000000,556631,0.882385
8,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,940113.0,3962.0,528138,33.246,0.02922,2.94,20.003,16.005,19.99,1375806,2541412,4452904,9994980,18365102,935850,254099,1000000,556449,0.88285285
9,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,928440.0,3872.0,633229,33.235,0.02627,2.943,20.01,15.998,20.009,1377027,2548764,4443996,10004744,18374531,935860,254752,1000000,555566,0.8825391
10,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,936591.0,3924.0,102223,33.245,0.02818,2.936,20.01,16.011,20.002,1374552,2545911,4450049,10001237,18371749,936194,254469,1000000,555886,0.88300455
11,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,933668.0,3988.0,167379,33.274,0.02739,2.94,20.019,15.997,19.997,1375607,2540552,4446988,9998744,18361891,935891,253810,1000000,555982,0.88321084
