,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,944271.0,2401.0,926599,29.138,0.03146,3.364,19.999,15.992,20.008,1615502,3109639,4070481,10003843,18799465,960438,310979,1000000,509053,0.8313364
1,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,924817.0,2242.0,893955,29.139,0.02642,3.357,20.008,16.005,20.0,1612321,3102732,4081090,9999760,18795903,960484,310145,1000000,509981,0.8312791
2,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,916029.0,2408.0,239880,29.131,0.02477,3.357,20.007,15.995,19.994,1612317,3119143,4066558,9996973,18794991,960510,311798,1000000,508475,0.8307868
3,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,906992.0,2342.0,224809,29.137,0.0234,3.358,20.001,16.004,19.999,1612396,3113828,4067343,9999556,18793123,960267,311365,1000000,508303,0.83085144
4,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,939725.0,2294.0,34486,29.15,0.03009,3.354,19.996,16.001,20.003,1610589,3104419,4074467,10001589,18791064,960297,310508,1000000,509266,0.83113843
5,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,945223.0,2287.0,132577,29.143,0.03189,3.359,20.01,15.994,20.001,1612889,3111651,4071897,10000256,18796693,960228,311009,1000000,509191,0.83094877
6,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,916235.0,2297.0,689360,29.147,0.02484,3.358,20.002,16.0,20.0,1612099,3106874,4076429,9999815,18795217,960286,310660,1000000,509560,0.83097476
7,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,932273.0,2344.0,980351,29.144,0.02821,3.362,20.005,15.996,20.004,1614394,3108313,4073393,10002235,18798335,960472,310759,1000000,509289,0.8310601
8,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,925296.0,2343.0,597916,29.131,0.02655,3.355,19.998,16.006,20.003,1610612,3122028,4069256,10001394,18803290,960246,312230,1000000,508464,0.83113194
9,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,919386.0,2326.0,602051,29.151,0.0254,3.36,19.998,16.006,19.993,1613392,3106676,4075767,9996661,18792496,960399,310705,1000000,509270,0.8313044
10,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,947894.0,2335.0,698535,29.13,0.03275,3.365,19.999,16.0,20.002,1615608,3113773,4072132,10001034,18802547,960150,311387,1000000,509025,0.8309556
11,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,930868.0,2435.0,981290,29.156,0.02758,3.364,20.007,16.002,20.003,1615799,3119703,4069209,10001541,18806252,960505,311868,1000000,508584,0.83135056
12,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,910125.0,2245.0,184963,29.102,0.02373,3.36,20.009,16.0,19.996,1612998,3121853,4067052,9998217,18800120,960237,312051,1000000,508372,0.83070123
13,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,928606.0,2323.0,624306,29.138,0.0272,3.363,19.985,16.0,19.995,1614838,3106657,4068578,9997494,18787567,960475,310896,1000000,508558,0.8309451
14,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,947266.0,2341.0,580191,29.152,0.03262,3.361,19.994,15.994,20.009,1613620,3111042,4077121,10004356,18806139,960109,311198,1000000,509817,0.8312257
15,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,934111.0,2371.0,429207,29.185,0.0284,3.354,19.996,16.007,20.009,1610536,3103834,4084343,10004486,18803199,960232,310438,1000000,510334,0.83174133
16,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,927685.0,2287.0,989030,29.168,0.02706,3.363,20.011,15.994,19.999,1614358,3106062,4070451,9999525,18790396,960014,310436,1000000,509006,0.8311284
17,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,890037.0,2227.0,922808,29.181,0.02107,3.366,20.015,15.999,19.999,1616063,3106716,4075185,9999738,18797702,960336,310442,1000000,509428,0.83146274
18,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,922897.0,2360.0,376578,29.139,0.02603,3.362,20.005,16.0,19.995,1614299,3107327,4077623,9997749,18796998,960372,310656,1000000,509703,0.8311839
19,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,933143.0,2352.0,134491,29.135,0.02829,3.362,20.015,15.996,19.999,1614661,3116723,4067661,9999325,18798370,960640,311431,1000000,508571,0.83092374
20,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,929435.0,2376.0,608913,29.155,0.02742,3.357,20.006,15.997,19.999,1611816,3110018,4078909,9999344,18800087,960351,310911,1000000,509958,0.8314389
21,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,925367.0,2272.0,477550,29.185,0.02646,3.362,19.992,16.003,20.005,1613830,3116518,4075228,10002432,18808008,960113,311774,1000000,509320,0.831773
22,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,918843.0,2297.0,576078,29.144,0.02528,3.367,19.988,16.002,20.0,1616588,3111090,4076461,10000023,18804162,960270,311295,1000000,509507,0.8311916
23,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,957256.0,2402.0,84396,29.165,0.03695,3.356,19.987,15.992,19.999,1611529,3113422,4067709,9999295,18791955,960250,311540,1000000,508705,0.83140594
24,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,916870.0,2257.0,436227,29.116,0.02496,3.353,20.003,16.001,19.999,1608968,3111619,4070450,9999592,18790629,959845,311117,1000000,508775,0.8306776
25,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,905255.0,2202.0,599373,29.142,0.02305,3.356,19.99,16.006,19.992,1611673,3111938,4073908,9996151,18793670,960373,311346,1000000,509056,0.8310648
