,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,898992.0,7959.0,231294,42.429,0.02144,2.157,20.006,16.012,19.997,900724,1617481,4704143,9998737,17221085,835239,161703,1000000,587580,0.9917066
1,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,929883.0,8361.0,259144,42.428,0.02588,2.164,20.006,15.995,19.996,904420,1617432,4701093,9998186,17221131,835698,161695,1000000,587813,0.99228203
2,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,940244.0,8509.0,312202,42.459,0.0282,2.157,20.004,15.992,19.999,901517,1615723,4699022,9999565,17215827,835751,161541,1000000,587655,0.99215215
3,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,905800.0,8206.0,232594,42.467,0.02214,2.161,19.982,16.009,20.001,902567,1610049,4701331,10000730,17214677,835243,161152,1000000,587323,0.99233514
4,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,956480.0,8771.0,480370,42.483,0.03331,2.161,19.99,16.006,20.0,902665,1612578,4698428,9999905,17213576,835426,161340,1000000,587086,0.9926365
5,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,941267.0,8533.0,816909,42.495,0.02836,2.164,20.01,15.993,19.996,903937,1607126,4696705,9997948,17205716,835605,160633,1000000,587361,0.99270326
6,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,920695.0,8234.0,869837,42.447,0.02429,2.161,19.981,16.003,19.986,902690,1616589,4697629,9993166,17210074,835624,161815,1000000,587092,0.99221957
7,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,931863.0,8441.0,12535,42.42,0.02622,2.16,20.0,15.996,20.001,902937,1615646,4700904,10000558,17220045,835898,161563,1000000,587747,0.9919245
8,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,946979.0,8601.0,321905,42.475,0.0301,2.163,19.98,16.001,19.998,904378,1605368,4699451,9999047,17208244,836226,160698,1000000,587379,0.99239075
9,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,927532.0,8376.0,960912,42.46,0.02532,2.162,20.012,16.0,19.993,903841,1614820,4702023,9996696,17217380,836151,161387,1000000,587751,0.9926027
10,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,905596.0,8246.0,197870,42.458,0.02212,2.16,20.019,16.012,20.001,902611,1616218,4698865,10000716,17218410,835678,161469,1000000,586930,0.9919215
11,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,954791.0,8662.0,860404,42.488,0.03268,2.164,20.0,16.002,19.999,904282,1609007,4692242,9999615,17205146,835922,160900,1000000,586442,0.9925874
12,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,947668.0,8713.0,828994,42.459,0.03034,2.161,19.988,16.002,20.006,902877,1610726,4702855,10002875,17219333,835768,161169,1000000,587782,0.99250823
13,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,966780.0,8859.0,364955,42.452,0.03829,2.164,20.01,16.0,20.005,904673,1614626,4703347,10002536,17225182,836004,161385,1000000,587912,0.9921878
14,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,939391.0,8621.0,428345,42.415,0.02785,2.164,20.005,15.998,20.01,904371,1621479,4695048,10004785,17225683,835772,162110,1000000,586959,0.9917628
15,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,923837.0,8362.0,221023,42.428,0.02469,2.16,19.989,16.005,20.012,902514,1618275,4704518,10006233,17231540,835800,161918,1000000,587882,0.99168736
16,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,933441.0,8459.0,692107,42.451,0.02663,2.163,19.99,16.01,20.0,903629,1616395,4695203,10000040,17215267,835341,161717,1000000,586534,0.9921396
17,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,945827.0,8498.0,786095,42.455,0.02975,2.162,19.995,16.006,19.996,903853,1609065,4708413,9997923,17219254,836147,160947,1000000,588321,0.99202716
18,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,906706.0,8180.0,667701,42.413,0.02236,2.158,20.014,16.009,19.996,901376,1617330,4703803,9997856,17220365,835467,161617,1000000,587653,0.9917298
19,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,914212.0,8218.0,540821,42.402,0.02326,2.161,19.986,16.006,20.005,902282,1618200,4697040,10002416,17219938,835154,161936,1000000,586902,0.99174225
20,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,945008.0,8634.0,314340,42.451,0.0295,2.161,20.007,15.997,19.997,903252,1612590,4696649,9998664,17211155,835850,161204,1000000,587177,0.9920453
21,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,947221.0,8758.0,561176,42.455,0.03018,2.166,19.991,16.003,19.993,904720,1607343,4703756,9996467,17212286,835411,160807,1000000,587861,0.99210924
22,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,936396.0,8598.0,408001,42.427,0.02721,2.158,20.005,15.995,20.002,902207,1618403,4697654,10000886,17219150,836052,161803,1000000,587399,0.9920037
23,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,949741.0,8649.0,793743,42.409,0.03081,2.158,19.998,15.993,19.998,900539,1615749,4698927,9998869,17214084,834533,161589,1000000,587613,0.9918594
24,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,936696.0,8627.0,314607,42.463,0.02738,2.158,20.008,15.998,19.998,901942,1612935,4695649,9999221,17209747,835878,161227,1000000,587036,0.99245137
25,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,917031.0,8211.0,705960,42.416,0.02374,2.156,20.021,15.993,19.997,900793,1616869,4704842,9998390,17220894,835451,161520,1000000,588345,0.9920958
26,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,947112.0,8498.0,393921,42.444,0.03007,2.162,20.0,16.009,20.0,903594,1618147,4698483,10000115,17220339,835964,161816,1000000,586979,0.9922099
27,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,941105.0,8569.0,132399,42.424,0.02855,2.159,20.013,16.0,19.996,901499,1618675,4699953,9997900,17218027,835110,161763,1000000,587490,0.9921169
28,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,922772.0,8283.0,327823,42.42,0.02447,2.166,19.989,15.991,20.003,904984,1621375,4695049,10001480,17222888,835802,162229,1000000,587203,0.99176735
29,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,905368.0,8313.0,577207,42.454,0.02199,2.161,20.01,16.0,20.01,902475,1611606,4698563,10004865,17217509,835212,161079,1000000,587321,0.9923612
