,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,960705.0,11864.0,787732,45.435,0.03411,2.05,19.993,15.988,20.003,829085,1532309,4531587,10001539,16894520,808779,153287,1000000,566856,1.021777
1,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,958727.0,11407.0,21847,45.43,0.03344,2.048,19.981,16.01,19.997,829118,1532855,4537270,9998580,16897823,809628,153428,1000000,566797,1.0217499
2,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,945496.0,11375.0,801601,45.431,0.02893,2.043,20.012,16.002,20.003,826938,1538838,4532968,10001365,16900109,809415,153790,1000000,566543,1.0215542
3,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,964987.0,11680.0,377430,45.404,0.03634,2.047,19.991,16.002,19.999,828268,1538029,4531980,9999355,16897632,809159,153875,1000000,566443,1.0216193
4,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,959030.0,11533.0,379810,45.394,0.03332,2.049,19.996,15.997,19.996,828702,1534384,4538915,9998174,16900175,809015,153472,1000000,567480,1.021407
5,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,955636.0,11852.0,117577,45.401,0.03225,2.047,19.991,16.003,20.0,827384,1530450,4541348,10000022,16899204,808460,153111,1000000,567548,1.0212824
6,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,950980.0,11500.0,463485,45.368,0.03061,2.043,19.997,16.004,19.994,825255,1543648,4535354,9997117,16901374,807879,154387,1000000,566774,1.0208979
7,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,970263.0,11865.0,734513,45.41,0.0396,2.045,20.005,16.0,20.002,827716,1536412,4532151,10000959,16897238,809602,153602,1000000,566511,1.0215709
8,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,964058.0,11874.0,416668,45.448,0.03568,2.051,20.003,15.995,19.996,829809,1536503,4530740,9997851,16894903,809100,153627,1000000,566528,1.0218474
9,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,953962.0,11681.0,528443,45.411,0.03145,2.048,19.995,15.996,20.006,828934,1537311,4532396,10003086,16901727,809522,153766,1000000,566692,1.0217607
