,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,967207.0,10287.0,291753,43.623,0.03761,2.056,19.983,16.003,19.992,835467,1920769,4349829,9996215,17102280,812550,192239,1000000,543615,0.99997914
1,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,968546.0,10372.0,597876,43.657,0.03842,2.056,20.003,16.002,20.001,834805,1918307,4355353,10000261,17108726,811935,191802,1000000,544362,1.0002811
2,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,972470.0,10492.0,945835,43.636,0.04123,2.057,20.002,15.995,20.001,834739,1920638,4346396,10000384,17102157,811583,192046,1000000,543478,1.0001799
3,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,958992.0,10129.0,931930,43.684,0.03359,2.057,20.0,16.005,20.007,835090,1912603,4351210,10003560,17102463,812109,191264,1000000,543733,1.0007939
4,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,960684.0,10085.0,448044,43.616,0.03442,2.055,20.002,16.005,19.997,833609,1921503,4357877,9998602,17111591,811454,192134,1000000,544578,0.9997982
5,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,954882.0,10149.0,164666,43.665,0.03203,2.06,19.985,16.003,20.002,836181,1915576,4353967,10000776,17106500,811783,191701,1000000,544127,1.0004652
6,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,964019.0,10253.0,242233,43.649,0.03598,2.058,19.995,16.005,19.997,834856,1917182,4353101,9998647,17103786,811393,191766,1000000,543977,1.0003036
7,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,967797.0,10248.0,782937,43.63,0.03796,2.06,20.007,15.991,20.002,835811,1916670,4352515,10001051,17106047,811299,191603,1000000,544356,1.0000535
8,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,965553.0,10416.0,442523,43.608,0.03701,2.055,19.999,16.001,20.007,833159,1919532,4349834,10003576,17106101,810924,191958,1000000,543692,0.9996718
9,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,961305.0,10185.0,647888,43.648,0.0347,2.058,19.994,15.997,19.999,835766,1915128,4353585,9999574,17104053,812162,191573,1000000,544306,1.0001739
