,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,809992.0,6106.0,770470,42.858,0.01514,1.95,19.993,15.989,20.003,763619,1508032,5050169,10001415,17323235,783044,150858,1000000,631702,0.99586827
1,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,836975.0,6217.0,321167,42.89,0.01641,1.953,19.994,16.0,20.0,764721,1510290,5054985,9999926,17329922,782977,151071,1000000,631868,0.9959199
2,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,889614.0,6807.0,257736,42.869,0.02001,1.949,20.012,16.0,20.003,763503,1517081,5044013,10001397,17325994,783475,151617,1000000,630486,0.9957592
3,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,896753.0,6719.0,383088,42.814,0.02068,1.952,19.996,16.005,20.0,764094,1518018,5054403,10000160,17336675,782957,151835,1000000,631615,0.9955456
4,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,723482.0,5202.0,582440,42.884,0.01237,1.955,20.026,16.01,20.0,766226,1510884,5053521,10000067,17330698,784057,150896,1000000,631305,0.99602526
5,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,829219.0,6046.0,526269,42.858,0.01599,1.947,20.009,15.997,20.001,761902,1516019,5050554,10000466,17328941,782747,151535,1000000,631439,0.9955709
6,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,884776.0,6589.0,659415,42.909,0.01954,1.952,20.007,15.989,19.998,764911,1513879,5041068,9999034,17318892,783538,151336,1000000,630562,0.9963133
7,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,866790.0,6414.0,552395,42.875,0.01813,1.957,20.001,16.001,20.001,766093,1516976,5048835,10000371,17332275,782983,151687,1000000,631048,0.99575263
8,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,898036.0,6914.0,970725,42.854,0.02082,1.951,19.999,16.003,20.007,763751,1514299,5052417,10003539,17334006,782833,151441,1000000,631435,0.9957686
9,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,787690.0,5746.0,352196,42.881,0.01427,1.95,19.98,16.007,20.008,762693,1514044,5050915,10003835,17331487,782225,151553,1000000,631075,0.99615294
10,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,725737.0,5291.0,147654,42.879,0.01249,1.952,19.997,16.003,19.994,764460,1516743,5048265,9997164,17326632,783111,151697,1000000,630898,0.9959701
11,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,788655.0,5665.0,811525,42.83,0.01431,1.946,20.013,16.0,19.995,761758,1516359,5052141,9997436,17327694,782896,151535,1000000,631501,0.9952214
12,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,884401.0,6773.0,75028,42.872,0.01954,1.953,19.983,15.998,20.006,765419,1509178,5048211,10002888,17325696,783890,151046,1000000,631086,0.9959334
13,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,879885.0,6574.0,645786,42.898,0.0191,1.956,20.001,15.999,19.995,766684,1505233,5058589,9997600,17328106,784030,150518,1000000,632376,0.9961817
14,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,872177.0,6521.0,412642,42.898,0.01857,1.949,20.0,16.007,19.998,763086,1513553,5052709,9999245,17328593,783117,151358,1000000,631319,0.9962799
15,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,669728.0,4760.0,378570,42.845,0.01126,1.949,19.997,15.993,19.996,763608,1509731,5052015,9998099,17323453,783406,150992,1000000,631794,0.99568844
16,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,704710.0,5057.0,645691,42.848,0.01203,1.95,19.973,15.995,19.999,763122,1512147,5049630,9999365,17324264,782687,151417,1000000,631397,0.9954944
17,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,698554.0,5047.0,801213,42.9,0.01186,1.953,19.995,16.01,19.999,764863,1506634,5054288,9999439,17325224,783372,150703,1000000,631403,0.9964222
18,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,734831.0,5158.0,466259,42.86,0.01264,1.949,20.013,15.998,19.995,763049,1506644,5057910,9997556,17325159,782837,150565,1000000,632321,0.995717
19,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,417566.0,2915.0,785321,42.849,0.00821,1.953,19.995,16.0,19.996,764598,1511581,5050550,9997774,17324503,782815,151195,1000000,631314,0.99543995
20,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,873675.0,6600.0,685678,42.874,0.01867,1.95,20.001,15.997,20.002,763328,1510273,5053188,10000955,17327744,782787,151018,1000000,631780,0.9959176
21,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,877608.0,6621.0,35176,42.854,0.01894,1.953,19.995,15.999,19.997,764407,1517408,5050005,9998291,17330111,782755,151782,1000000,631294,0.995774
22,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,420139.0,2835.0,894645,42.894,0.00824,1.953,20.002,15.995,20.002,765085,1510870,5053143,10001188,17330286,783566,151070,1000000,631851,0.99611926
23,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,856301.0,6266.0,246389,42.843,0.01748,1.951,19.985,16.007,20.003,763681,1511678,5055547,10001616,17332522,782978,151282,1000000,631677,0.99553883
24,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,846539.0,6254.0,542238,42.915,0.01689,1.952,20.003,15.997,20.001,764691,1506302,5052125,10000595,17323713,783397,150610,1000000,631653,0.9964884
25,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,895381.0,6655.0,575150,42.83,0.02069,1.955,20.002,15.993,19.99,764701,1519823,5043624,9995040,17323188,782372,151966,1000000,630712,0.9955384
26,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,843729.0,6260.0,38958,42.841,0.01678,1.951,20.004,15.989,19.998,764470,1516031,5049896,9998942,17329339,783546,151574,1000000,631652,0.9955286
27,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,913437.0,6830.0,55987,42.88,0.02256,1.951,20.006,16.003,20.002,764149,1515364,5051505,10000784,17331802,783259,151490,1000000,631324,0.9959048
28,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,837731.0,6216.0,249343,42.84,0.01641,1.95,19.997,15.998,20.008,763332,1513087,5052478,10004209,17333106,782984,151334,1000000,631655,0.99549735
29,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,883526.0,6723.0,271907,42.918,0.01937,1.948,20.003,15.993,20.004,764351,1511216,5046488,10001918,17323973,784664,151099,1000000,631088,0.9965259
