,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,956353.0,5044.0,859477,38.969,0.03306,2.221,20.001,15.996,19.986,942147,1741764,5070913,9993235,17748059,848557,174170,1000000,634004,0.95673496
1,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,965793.0,5220.0,980201,38.977,0.03745,2.224,19.995,16.002,19.998,943586,1746776,5078921,9998988,17768271,848455,174719,1000000,634793,0.9569353
2,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,956875.0,5094.0,151114,39.004,0.03301,2.226,20.006,16.005,19.999,944008,1737795,5081075,9999644,17762522,848090,173725,1000000,634942,0.9572462
3,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,956704.0,5024.0,399428,39.043,0.03301,2.223,19.992,15.999,20.002,943424,1736663,5076718,10000983,17757788,848772,173734,1000000,634630,0.9577313
4,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,945923.0,5020.0,147489,39.0,0.02918,2.223,20.01,16.0,19.995,942939,1743610,5073758,9997438,17757745,848475,174277,1000000,634215,0.9573823
5,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,963744.0,5230.0,792536,38.984,0.03634,2.224,19.993,16.004,20.004,943250,1746797,5074485,10002229,17766761,848116,174738,1000000,634141,0.9571838
6,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,958026.0,5071.0,458904,38.998,0.03363,2.224,20.009,16.004,20.0,943315,1742866,5073645,10000095,17759921,848184,174204,1000000,634045,0.95699996
7,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,964575.0,5081.0,273145,38.99,0.03666,2.223,20.01,15.998,19.994,943419,1742034,5082009,9996806,17764268,848769,174116,1000000,635328,0.95724726
8,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,960418.0,5166.0,256228,39.019,0.03466,2.226,19.995,16.006,19.995,944434,1746262,5077183,9997546,17765425,848497,174666,1000000,634422,0.95733994
9,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,965592.0,5098.0,737127,38.982,0.03729,2.227,20.0,16.009,20.007,944561,1749688,5071271,10003744,17769264,848445,174969,1000000,633572,0.95694673
