,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,943853.0,5922.0,156832,36.962,0.03443,2.038,20.004,16.002,19.994,820887,2404945,4311045,9997024,17533901,805774,240449,1000000,538820,0.91383755
1,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,916167.0,5625.0,620186,36.976,0.02732,2.041,19.993,15.991,19.995,823783,2398160,4314927,9997527,17534397,807091,239903,1000000,539657,0.9138976
2,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,937290.0,5933.0,341215,37.009,0.03233,2.035,19.986,16.001,20.001,820815,2399257,4314132,10000641,17534845,806845,240094,1000000,539244,0.9140868
3,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,894723.0,5406.0,605538,36.975,0.02385,2.035,20.023,15.998,19.993,820735,2407508,4306093,9996669,17531005,806577,240479,1000000,538315,0.9137129
4,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,890284.0,5400.0,720301,36.941,0.02339,2.032,20.01,15.999,20.002,818237,2409254,4308634,10001182,17537307,805467,240806,1000000,538626,0.91347045
5,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,901823.0,5440.0,267045,36.986,0.02487,2.039,20.0,16.01,20.007,821944,2396306,4316839,10003547,17538636,806404,239633,1000000,539284,0.9138026
6,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,946037.0,5931.0,340807,36.947,0.03527,2.032,19.997,15.999,19.999,818762,2411642,4306791,9999283,17536478,805861,241200,1000000,538394,0.9131752
7,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,915471.0,5752.0,295629,36.98,0.02714,2.034,20.003,16.0,20.005,820429,2405974,4312943,10002260,17541606,806568,240557,1000000,539133,0.91395104
8,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,896463.0,5519.0,136579,37.012,0.02404,2.036,20.016,16.001,19.99,821518,2402251,4304490,9994971,17523230,806994,240032,1000000,538027,0.9142779
9,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,905422.0,5526.0,945287,36.997,0.02538,2.036,20.0,15.989,19.99,822354,2399921,4308438,9994805,17525518,807898,239991,1000000,538940,0.9141843
10,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,909307.0,5500.0,818437,36.996,0.02608,2.037,19.999,16.014,19.996,821693,2399524,4315451,9998092,17534760,806718,239960,1000000,538955,0.9139315
11,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,911153.0,5623.0,665685,36.987,0.02635,2.033,20.008,16.003,19.999,820395,2408886,4305736,9999384,17534401,806920,240791,1000000,538112,0.9138378
12,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,903048.0,5532.0,822191,37.005,0.02501,2.038,20.01,16.001,20.004,822690,2408453,4308908,10002093,17542144,807197,240729,1000000,538581,0.9141925
13,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,903993.0,5557.0,347285,36.958,0.02525,2.039,20.009,15.998,20.004,821891,2411717,4308753,10001751,17544112,806220,241068,1000000,538652,0.91365314
14,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,909428.0,5549.0,743562,36.95,0.02613,2.031,20.006,15.999,19.992,819170,2413470,4303863,9995967,17532470,806727,241279,1000000,538032,0.91321045
