,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,886313.0,8312.0,203236,42.807,0.01982,2.22,19.997,15.994,19.998,940838,1692058,4624026,9999153,17256075,847558,169227,1000000,578217,0.99068373
1,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,800112.0,7324.0,135626,42.829,0.01466,2.219,19.997,15.99,20.006,940107,1689453,4622129,10003035,17254724,847200,168969,1000000,578114,0.99096036
2,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,874127.0,7996.0,790575,42.777,0.0188,2.213,20.013,15.995,19.999,936590,1699673,4621182,9999622,17257067,846361,169861,1000000,577823,0.9901443
3,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,822199.0,7505.0,745597,42.832,0.01568,2.216,20.017,16.011,20.002,938767,1690495,4629032,10001037,17259331,847235,168904,1000000,578234,0.99101
4,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,870336.0,8077.0,987655,42.853,0.01841,2.22,20.017,16.006,20.007,941286,1690334,4621284,10003377,17256281,847831,168892,1000000,577454,0.99106735
5,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,790855.0,7170.0,192346,42.795,0.01439,2.22,20.005,15.996,20.002,939389,1698445,4616691,10001064,17255589,846483,169799,1000000,577223,0.9903398
6,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,864133.0,7748.0,269835,42.802,0.01796,2.22,19.984,15.996,20.003,939989,1693648,4621640,10001521,17256798,846922,169503,1000000,577867,0.99033755
7,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,695234.0,6211.0,529463,42.769,0.01174,2.214,19.988,16.0,20.011,936643,1694139,4625854,10005693,17262329,846255,169512,1000000,578214,0.99026716
8,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,758085.0,6816.0,858399,42.77,0.01335,2.212,20.0,16.01,20.001,936780,1697705,4619653,10000461,17254599,846972,169770,1000000,577088,0.9901045
9,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,869241.0,8028.0,349164,42.787,0.0185,2.217,20.021,15.999,19.998,939154,1695553,4620041,9998806,17253554,847327,169377,1000000,577549,0.990411
10,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,831638.0,7566.0,869611,42.761,0.0162,2.214,19.994,15.994,20.001,937992,1692452,4624526,10000353,17255323,847319,169298,1000000,578270,0.99036294
11,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,824384.0,7366.0,950553,42.794,0.01583,2.216,19.989,16.007,20.002,938131,1686024,4628693,10000933,17253781,846768,168694,1000000,578332,0.99040645
12,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,843949.0,7792.0,463724,42.798,0.01682,2.216,20.0,15.995,20.004,938409,1691787,4619083,10001794,17251073,847047,169180,1000000,577553,0.9904139
