,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,869846.0,6715.0,378368,40.257,0.02034,1.991,20.001,16.001,20.005,791599,1778393,4679145,10002533,17251670,794996,177826,1000000,584850,0.9570853
1,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,803021.0,6006.0,416173,40.293,0.01609,1.993,20.002,16.0,20.001,792634,1770608,4686500,10000595,17250337,795403,177043,1000000,585798,0.9575165
2,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,752840.0,5555.0,57027,40.268,0.01415,1.989,20.008,15.994,19.996,790018,1768036,4682044,9998132,17238230,794343,176729,1000000,585466,0.95736164
3,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,713689.0,5244.0,982388,40.309,0.013,1.993,19.995,16.013,20.004,791601,1766627,4692813,10001875,17252916,794329,176703,1000000,586129,0.95792794
4,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,612295.0,4372.0,87907,40.25,0.01091,1.991,20.008,15.993,19.993,791637,1770645,4688939,9996388,17247609,795033,176992,1000000,586373,0.95735973
5,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,652714.0,4752.0,939244,40.298,0.01167,1.994,20.004,16.002,19.996,792017,1766052,4685236,9998001,17241306,794343,176569,1000000,585573,0.957728
6,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,862211.0,6519.0,612717,40.294,0.01964,1.99,19.997,15.995,20.0,790740,1771069,4685727,10000160,17247696,794834,177130,1000000,585911,0.95758635
7,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,782578.0,5811.0,55128,40.333,0.01514,1.999,20.016,15.994,19.995,795076,1764085,4688176,9997536,17244873,795567,176264,1000000,586255,0.95820206
8,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,647813.0,4708.0,669478,40.288,0.01158,1.991,20.013,16.004,20.003,791741,1767272,4682859,10001420,17243292,795207,176608,1000000,585194,0.95751774
9,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,632255.0,4671.0,681268,40.299,0.01128,1.99,20.001,16.0,19.997,790842,1770385,4690621,9998578,17250426,794823,177032,1000000,586319,0.9578885
10,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,818161.0,6158.0,584138,40.27,0.01682,1.992,20.009,16.006,19.997,792418,1774267,4684350,9998302,17249337,795717,177345,1000000,585326,0.95716953
11,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,788943.0,5985.0,437928,40.271,0.01548,1.991,19.995,16.004,19.996,791127,1768279,4685916,9997772,17243094,794665,176868,1000000,585600,0.9576213
12,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,782921.0,5600.0,728587,40.261,0.01521,1.989,19.998,16.004,20.006,790086,1775238,4683255,10002945,17251524,794322,177544,1000000,585252,0.95721
13,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,699476.0,5223.0,114224,40.255,0.01263,1.994,20.004,15.995,19.988,792886,1772716,4684034,9994143,17243779,795253,177232,1000000,585689,0.95725995
14,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,851964.0,6409.0,242512,40.242,0.01895,1.993,19.995,16.004,20.004,792184,1770767,4695085,10001980,17260016,794770,177117,1000000,586755,0.9574215
15,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,770728.0,5770.0,278084,40.302,0.01474,1.994,19.986,15.992,20.002,792830,1766826,4680910,10000765,17241331,795306,176806,1000000,585412,0.9578166
16,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,866825.0,6769.0,172187,40.243,0.02011,1.99,20.003,16.005,19.996,789741,1768090,4689451,9998222,17245504,793594,176783,1000000,586012,0.9569613
