,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,941329.0,7239.0,944308,40.279,0.03187,1.991,20.012,15.999,20.0,791551,1771352,4684293,10000125,17247321,795193,177030,1000000,585570,0.95744264
1,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,954068.0,7503.0,872413,40.256,0.03668,1.994,20.01,15.999,19.997,792375,1774435,4683320,9998568,17248698,794697,177353,1000000,585466,0.9570658
2,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,949637.0,7431.0,760507,40.298,0.03479,1.989,19.994,16.002,20.003,790424,1762080,4686483,10001476,17240463,794975,176258,1000000,585748,0.9575054
3,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,950727.0,7307.0,514103,40.288,0.03521,1.995,20.005,15.991,20.005,793263,1771280,4684836,10002691,17252070,795219,177082,1000000,585916,0.95749265
4,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,953937.0,7516.0,895603,40.225,0.03677,1.99,19.998,16.0,19.996,790225,1774519,4686187,9997895,17248826,794085,177467,1000000,585781,0.95686454
5,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,944670.0,7265.0,289290,40.263,0.03286,1.992,20.023,15.999,20.005,791912,1768247,4691768,10002576,17254503,795005,176618,1000000,586495,0.9572702
6,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,937035.0,7327.0,914718,40.287,0.03061,1.994,20.017,16.005,19.993,792702,1770275,4682750,9996602,17242329,795168,176878,1000000,585167,0.95768404
7,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,959478.0,7539.0,833782,40.243,0.0395,1.992,19.987,16.002,20.0,791940,1772556,4684814,10000047,17249357,795012,177369,1000000,585540,0.9568885
8,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,954258.0,7378.0,711441,40.305,0.03683,1.99,20.005,15.993,20.0,790684,1769660,4681848,10000230,17242422,794558,176923,1000000,585487,0.9576935
9,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,951217.0,7381.0,267743,40.241,0.03543,1.993,20.02,16.003,19.999,791747,1772738,4684887,9999623,17248995,794360,177098,1000000,585516,0.95696694
10,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,949329.0,7295.0,818145,40.287,0.03471,1.99,20.004,15.995,20.004,790786,1770173,4684074,10002015,17247048,794930,176981,1000000,585683,0.95751905
11,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,956758.0,7508.0,392361,40.264,0.03827,1.993,20.009,15.994,19.997,791715,1772870,4680526,9998586,17243697,794449,177208,1000000,585270,0.95742446
12,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,953147.0,7347.0,569638,40.248,0.0362,1.993,19.986,15.998,20.004,791830,1774078,4687132,10001821,17254861,794631,177532,1000000,585959,0.95702857
13,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,941633.0,7215.0,703248,40.241,0.03208,1.991,20.013,15.993,20.003,790941,1771716,4681356,10001367,17245380,794657,177059,1000000,585420,0.95705855
14,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,947640.0,7426.0,346690,40.307,0.03403,1.989,19.998,15.989,19.998,789921,1766795,4682520,9998781,17238017,794169,176696,1000000,585703,0.9578536
15,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,936333.0,7188.0,454258,40.274,0.03042,1.988,19.981,15.996,20.004,790361,1769797,4688269,10001776,17250203,795075,177151,1000000,586172,0.9574252
16,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,950776.0,7541.0,519304,40.308,0.03535,1.996,19.993,16.002,19.999,794863,1763347,4687000,9999289,17244499,796289,176400,1000000,585797,0.9579561
17,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,950278.0,7274.0,640876,40.237,0.03524,1.996,19.995,15.991,19.999,793930,1773838,4681888,9999387,17249043,795547,177430,1000000,585581,0.95708025
18,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,945608.0,7330.0,134960,40.279,0.03316,1.994,19.995,16.003,20.002,792315,1770199,4691868,10001101,17255483,794651,177063,1000000,586356,0.9573673
19,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,955629.0,7267.0,687745,40.256,0.03754,1.992,20.01,15.991,19.997,791304,1773443,4687175,9998685,17250607,794502,177254,1000000,586231,0.95720226
20,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,952873.0,7524.0,915623,40.273,0.03624,1.993,19.985,16.004,19.998,792590,1763909,4686956,9999153,17242608,795209,176525,1000000,585737,0.9572756
21,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,933197.0,7287.0,831936,40.252,0.0297,1.986,20.0,15.998,19.996,789266,1769679,4682569,9997975,17239489,794639,176966,1000000,585406,0.95731294
22,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,935197.0,7193.0,170053,40.28,0.03007,1.993,20.008,15.996,20.005,791547,1768951,4683279,10002394,17246171,794516,176826,1000000,585541,0.9572793
23,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,960815.0,7507.0,757118,40.274,0.04041,1.994,20.003,16.0,20.001,792265,1768856,4684456,10000293,17245870,794624,176856,1000000,585561,0.95743805
24,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,947777.0,7487.0,17382,40.259,0.03415,1.993,20.004,15.991,20.004,792257,1770097,4680849,10001964,17245167,794890,176975,1000000,585446,0.9574181
25,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,951704.0,7372.0,740268,40.283,0.03559,1.99,20.001,15.991,19.998,790314,1772770,4684755,9998958,17246797,794398,177272,1000000,585923,0.95764625
26,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,947005.0,7299.0,960503,40.266,0.03386,1.99,20.0,15.999,20.008,791063,1775153,4680411,10004189,17250816,795034,177519,1000000,585083,0.95721614
27,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,955628.0,7560.0,509860,40.252,0.03759,1.996,20.0,15.992,19.999,793474,1769563,4682362,9999403,17244802,795069,176952,1000000,585604,0.9569088
28,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,943025.0,7301.0,581827,40.251,0.03245,1.991,19.986,15.995,19.998,791161,1775445,4679905,9999166,17245677,794802,177669,1000000,585181,0.95699674
29,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,938688.0,7378.0,275911,40.276,0.03106,1.989,20.014,16.005,20.0,789936,1770777,4693664,9999947,17254324,794499,176950,1000000,586527,0.95762813
