,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,894237.0,1225.0,955604,24.258,0.02539,3.39,20.002,15.998,20.0,1629824,3684080,3456663,10000006,18770573,961420,368372,1000000,432132,0.76034474
1,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,905148.0,1210.0,671042,24.257,0.02716,3.383,20.0,15.995,20.002,1626257,3689005,3455551,10000805,18771618,961302,368903,1000000,432071,0.7608071
2,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,899898.0,1203.0,676369,24.268,0.02621,3.384,20.004,15.992,19.998,1626684,3689070,3460393,9999080,18775227,961446,368831,1000000,432777,0.7608294
3,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,930901.0,1323.0,891497,24.273,0.03326,3.39,20.012,16.005,19.999,1629576,3685773,3463488,9999271,18778108,961491,368353,1000000,432809,0.76081246
4,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,904087.0,1234.0,908199,24.256,0.02692,3.389,20.01,15.999,19.998,1630224,3684207,3460799,9999161,18774391,962050,368228,1000000,432620,0.76068324
5,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,893018.0,1201.0,921911,24.249,0.02524,3.394,20.01,15.998,19.997,1632238,3684460,3463172,9998680,18778550,961725,368267,1000000,432950,0.76059383
6,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,898712.0,1240.0,845925,24.268,0.02611,3.395,20.007,15.999,20.003,1631850,3682984,3463829,10001419,18780082,961419,368178,1000000,432997,0.7607676
7,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,909320.0,1193.0,50057,24.25,0.0279,3.394,20.006,16.007,20.009,1631945,3687855,3460577,10004291,18784668,961615,368670,1000000,432379,0.7605875
8,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,927010.0,1352.0,329220,24.265,0.03194,3.387,19.984,16.0,19.999,1627857,3686188,3452100,9999303,18765448,961226,368910,1000000,431506,0.7605626
9,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,829657.0,1236.0,41326,24.272,0.01886,3.385,20.002,16.009,20.007,1627648,3686131,3460335,10003608,18777722,961602,368572,1000000,432295,0.7607963
10,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,915297.0,1192.0,385563,24.261,0.02926,3.39,20.006,16.001,19.989,1630098,3684541,3462643,9994673,18771955,961763,368336,1000000,432796,0.7607762
11,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,891023.0,1250.0,251545,24.294,0.0249,3.395,20.019,15.996,19.992,1632284,3686296,3462163,9995883,18776626,961626,368273,1000000,432866,0.760902
12,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,910558.0,1307.0,30490,24.286,0.02814,3.383,20.01,16.007,19.996,1626042,3683620,3468742,9997975,18776379,961363,368177,1000000,433408,0.7612151
13,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,909181.0,1227.0,986597,24.247,0.02789,3.39,20.002,16.008,20.006,1630322,3683602,3466178,10002909,18783011,961766,368329,1000000,433057,0.76059794
14,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,896138.0,1280.0,229789,24.286,0.02557,3.393,20.005,16.008,19.996,1631508,3682625,3464387,9998111,18776631,961788,368163,1000000,432834,0.7608762
15,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,904129.0,1247.0,765367,24.29,0.02706,3.389,19.994,15.995,19.999,1629580,3667053,3472000,9999685,18768318,961568,366809,1000000,434149,0.7612222
16,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,934661.0,1269.0,65428,24.255,0.03439,3.388,19.999,15.994,20.007,1628913,3693344,3457044,10003636,18782937,961645,369362,1000000,432304,0.7606439
17,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,925879.0,1283.0,315723,24.277,0.03185,3.378,20.001,16.002,19.997,1623914,3683150,3467101,9998321,18772486,961463,368304,1000000,433329,0.7610134
18,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,888071.0,1312.0,404482,24.274,0.02456,3.395,20.002,15.999,20.004,1631993,3677567,3462881,10001908,18774349,961439,367729,1000000,432879,0.7607902
19,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,869661.0,1193.0,508141,24.243,0.02228,3.388,20.004,16.004,19.99,1628362,3696776,3457603,9995074,18777815,961327,369609,1000000,432093,0.7603477
20,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,911511.0,1263.0,159065,24.24,0.02839,3.391,20.007,16.008,19.993,1630183,3691345,3457298,9996304,18775130,961528,368999,1000000,431937,0.76025414
21,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,893685.0,1272.0,738492,24.243,0.02532,3.388,20.001,16.009,20.004,1629115,3686267,3460245,10002186,18777813,961560,368613,1000000,432279,0.7602483
22,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,914058.0,1218.0,302933,24.27,0.02897,3.389,20.011,16.004,20.0,1628917,3684905,3464507,10000026,18778355,961211,368281,1000000,432959,0.76106155
23,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,916597.0,1311.0,606067,24.286,0.02942,3.392,19.995,16.005,19.999,1630545,3689012,3461510,9999463,18780530,961541,368988,1000000,432565,0.7609006
24,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,937401.0,1269.0,164936,24.285,0.03512,3.385,19.987,16.005,20.005,1628061,3683619,3459449,10002563,18773692,961867,368593,1000000,432294,0.760877
25,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,899445.0,1267.0,571117,24.278,0.02623,3.392,20.002,16.003,19.996,1630779,3685548,3461117,9998179,18775623,961422,368519,1000000,432547,0.7605555
26,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,925328.0,1333.0,534420,24.29,0.03164,3.388,19.993,15.999,20.005,1628442,3680637,3462235,10002326,18773640,961410,368194,1000000,432818,0.7611696
27,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,896188.0,1283.0,975254,24.262,0.0258,3.394,19.989,16.003,19.999,1631777,3681083,3460566,9999297,18772723,961447,368305,1000000,432497,0.7607472
28,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,898517.0,1308.0,51382,24.278,0.02605,3.388,19.999,15.997,20.004,1629509,3686387,3463830,10001925,18781651,962062,368650,1000000,433053,0.76105326
29,rwanda,1000000,1000,2020-01-01,2020-12-31,hybrid,920868.0,1274.0,140778,24.267,0.0304,3.391,19.999,16.002,19.996,1630174,3683269,3461760,9997844,18773047,961518,368338,1000000,432669,0.7608493
