,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,847589.0,1970.0,933462,26.938,0.01493,5.773,20.011,16.001,20.001,2877468,3460072,3555329,10000482,19893351,996904,345818,1000000,444376,0.7866395
1,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,868373.0,2096.0,443160,26.939,0.01624,5.779,19.991,16.005,19.997,2880144,3466727,3549003,9998472,19894346,996827,346825,1000000,443500,0.78669643
2,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,815577.0,1902.0,518508,26.87,0.01347,5.769,19.994,16.007,20.0,2875106,3455731,3549723,10000084,19880644,996788,345671,1000000,443517,0.78561467
3,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,860770.0,2012.0,367611,26.929,0.01571,5.762,20.025,16.008,20.0,2872131,3464041,3556538,9999786,19892496,996877,345975,1000000,444343,0.78654784
4,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,821923.0,1945.0,164274,26.966,0.01364,5.767,20.013,15.996,20.007,2874620,3453870,3556079,10003698,19888267,996851,345171,1000000,444616,0.7868437
5,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,878038.0,2121.0,29599,26.934,0.01695,5.769,19.986,15.999,20.005,2875258,3457697,3552630,10002352,19887937,996815,346016,1000000,444094,0.7864563
6,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,897833.0,2078.0,677741,26.938,0.01877,5.778,20.006,15.998,19.999,2879713,3467866,3546197,9999343,19893119,996710,346674,1000000,443336,0.78649247
7,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,863326.0,2036.0,63772,26.928,0.0159,5.765,19.995,16.005,20.003,2873372,3466675,3549616,10001259,19890922,996876,346748,1000000,443569,0.78629375
8,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,812985.0,1850.0,410189,26.889,0.01329,5.778,20.0,16.006,20.003,2880231,3460128,3554243,10001516,19896118,996917,346016,1000000,444123,0.785988
9,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,809881.0,1947.0,321112,26.914,0.01314,5.779,20.006,16.001,19.995,2880674,3462721,3548117,9997551,19889063,996921,346170,1000000,443485,0.7861501
10,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,830280.0,1976.0,240274,26.912,0.01408,5.773,20.0,16.0,19.99,2876938,3455817,3550152,9995241,19878148,996742,345575,1000000,443777,0.78600234
11,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,646852.0,1534.0,771103,26.927,0.00915,5.764,19.985,16.008,19.998,2872938,3459639,3552264,9998970,19883811,996926,346221,1000000,443820,0.785934
12,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,840045.0,1985.0,610583,26.963,0.01447,5.766,19.996,15.992,20.006,2873753,3465509,3548677,10002827,19890766,996770,346615,1000000,443820,0.7869089
13,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,837160.0,2117.0,889730,26.92,0.01436,5.775,19.99,16.007,20.0,2878537,3461952,3549742,9999814,19890045,996827,346376,1000000,443513,0.7861658
14,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,895869.0,2108.0,447279,26.909,0.01864,5.769,19.998,16.002,19.997,2875187,3455928,3556753,9998634,19886502,996832,345630,1000000,444541,0.7863095
15,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,660862.0,1659.0,965043,26.939,0.00933,5.758,19.995,15.995,19.998,2869851,3467629,3548277,9999078,19884835,996792,346849,1000000,443667,0.7864071
16,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,865428.0,2075.0,317585,26.931,0.01598,5.777,20.009,16.007,19.991,2879586,3462621,3551818,9995385,19889410,996838,346104,1000000,443785,0.786713
17,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,874724.0,2035.0,63180,26.95,0.01671,5.77,20.004,16.009,20.002,2875592,3461995,3553360,10000809,19891756,996802,346132,1000000,443912,0.7867022
18,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,903820.0,2068.0,629841,26.936,0.01947,5.777,19.991,16.001,20.005,2879176,3463296,3552216,10002425,19897113,996829,346481,1000000,444013,0.7865052
19,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,903670.0,2074.0,60488,26.942,0.01928,5.776,20.02,15.995,20.003,2878886,3463660,3554485,10001358,19898389,996823,346022,1000000,444459,0.78661877
20,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,816270.0,1942.0,959095,26.914,0.01344,5.76,20.009,15.998,20.001,2871091,3468738,3541717,10000324,19881870,996863,346712,1000000,442769,0.7860442
21,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,831417.0,2007.0,996424,26.933,0.01414,5.769,20.008,15.999,19.999,2875439,3462523,3547539,9999543,19885044,996848,346108,1000000,443460,0.7863958
22,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,863210.0,2110.0,632993,26.929,0.01588,5.773,19.989,15.994,20.002,2877274,3470252,3541794,10001227,19890547,996751,347221,1000000,442892,0.7865239
23,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,915039.0,2127.0,772013,26.906,0.02071,5.764,19.987,15.998,20.0,2872856,3464352,3551790,9999809,19888807,996860,346660,1000000,444021,0.786194
24,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,820398.0,1973.0,906857,26.931,0.01356,5.775,19.997,15.999,19.999,2877991,3461424,3555186,9999719,19894320,996648,346197,1000000,444439,0.78637594
25,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,879030.0,2041.0,897946,26.934,0.01709,5.765,19.994,15.994,19.99,2873686,3458243,3551937,9994989,19878855,996888,345936,1000000,444155,0.78650105
26,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,903710.0,2133.0,225294,26.951,0.0193,5.785,19.992,15.999,20.007,2883353,3458805,3554075,10003507,19899740,996883,346019,1000000,444286,0.7867789
27,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,866323.0,2061.0,35380,26.973,0.01609,5.767,20.003,15.986,19.998,2874546,3456793,3553855,9999055,19884249,996892,345622,1000000,444621,0.78685355
28,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,892903.0,2098.0,880459,26.944,0.01824,5.775,20.006,16.001,20.003,2878226,3461716,3553986,10001600,19895528,996724,346061,1000000,444225,0.7866513
29,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,813574.0,1993.0,417788,26.922,0.0133,5.769,19.995,15.994,20.009,2875670,3455453,3549258,10004724,19885105,996853,345634,1000000,443832,0.7860719
