,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,888539.0,1381.0,802221,23.728,0.02664,3.012,19.993,15.997,20.003,1417503,3908749,3233596,10001470,18561318,941104,391016,1000000,404265,0.7463883
1,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,895879.0,1413.0,588869,23.762,0.02792,3.017,20.0,15.992,20.0,1419926,3918877,3228526,10000232,18567561,941169,391887,1000000,403772,0.74659187
2,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,884894.0,1364.0,798530,23.742,0.02607,3.015,20.01,15.999,19.992,1419435,3918325,3230631,9995828,18564219,941478,391643,1000000,403857,0.74638224
3,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,884614.0,1379.0,523530,23.761,0.02603,3.013,20.0,15.992,19.997,1417808,3916283,3229948,9998444,18562483,941209,391635,1000000,403949,0.7466355
4,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,918034.0,1415.0,93407,23.733,0.03246,3.008,19.995,15.99,20.004,1415780,3912118,3226688,10002151,18556737,941263,391314,1000000,403597,0.74602556
5,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,877791.0,1384.0,883378,23.758,0.02506,3.009,20.005,16.008,19.996,1416281,3911028,3238030,9998002,18563341,941442,391007,1000000,404540,0.7469055
6,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,895988.0,1374.0,918599,23.745,0.02768,3.015,20.018,15.992,20.005,1419972,3919034,3225417,10002401,18566824,941946,391559,1000000,403380,0.7464887
7,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,904555.0,1423.0,555504,23.724,0.02943,3.012,19.997,16.004,19.997,1417904,3918161,3230723,9998733,18565521,941399,391882,1000000,403730,0.7461836
8,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,872831.0,1377.0,230860,23.748,0.02454,3.016,20.002,15.998,20.001,1418872,3916492,3226598,10000742,18562704,940957,391607,1000000,403363,0.7462954
9,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,900129.0,1403.0,20398,23.749,0.02862,3.012,19.996,16.005,20.0,1417791,3914725,3231614,10000149,18564279,941554,391551,1000000,403814,0.74634385
10,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,889038.0,1371.0,753374,23.726,0.02672,3.008,19.992,15.991,19.998,1415456,3912174,3230096,9998937,18556663,941232,391376,1000000,403999,0.7464931
11,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,876929.0,1382.0,943537,23.731,0.02504,3.013,20.003,16.008,20.0,1418135,3914582,3230285,10000020,18563022,941218,391392,1000000,403593,0.7461488
12,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,866688.0,1337.0,62783,23.719,0.02385,3.009,19.998,15.999,19.999,1415702,3907427,3229335,9999632,18552096,940919,390778,1000000,403681,0.7461711
13,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,880492.0,1390.0,153113,23.736,0.02541,3.012,19.997,15.998,20.011,1416905,3915942,3227665,10005409,18565921,940900,391651,1000000,403498,0.7463532
14,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,905225.0,1402.0,991946,23.766,0.02951,3.013,20.003,16.0,20.005,1417729,3906008,3237307,10002643,18563687,941179,390546,1000000,404667,0.74677
15,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,924951.0,1490.0,395657,23.743,0.0344,3.012,19.996,16.006,20.0,1417505,3912045,3228292,10000069,18557911,941146,391273,1000000,403375,0.7463164
16,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,886110.0,1384.0,943322,23.767,0.02635,3.011,20.003,15.995,19.992,1417477,3914182,3234366,9995906,18561931,941427,391356,1000000,404410,0.74691457
17,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,873629.0,1347.0,898026,23.748,0.02461,3.01,19.994,15.996,20.004,1416907,3913406,3231453,10001880,18563646,941353,391449,1000000,404026,0.7466315
18,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,888538.0,1389.0,347416,23.734,0.02668,3.011,19.995,15.998,20.004,1416991,3921551,3221246,10001756,18561544,941348,392258,1000000,402716,0.7460576
19,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,861768.0,1306.0,899316,23.742,0.02323,3.014,19.985,16.011,19.99,1417969,3908278,3238057,9994805,18559109,941012,391127,1000000,404475,0.7464225
20,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,888138.0,1341.0,380475,23.75,0.02652,3.006,19.992,16.004,20.002,1413913,3912944,3233759,10000818,18561434,940827,391444,1000000,404130,0.74650836
