,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,901411.0,1306.0,855138,23.147,0.01739,7.676,20.008,15.997,20.007,3836248,3851286,3212305,10003380,20903219,999545,384977,1000000,401620,0.7410897
1,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,905969.0,1250.0,744989,23.149,0.0178,7.656,20.002,16.005,19.997,3826127,3845435,3215061,9998483,20885106,999493,384502,1000000,401766,0.7409173
2,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,838961.0,1168.0,501219,23.142,0.0132,7.674,20.001,15.999,20.003,3835335,3852912,3212940,10001267,20902454,999516,385281,1000000,401644,0.7411994
3,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,936160.0,1305.0,118614,23.151,0.02182,7.663,20.01,16.0,19.997,3829586,3845132,3213171,9998535,20886424,999511,384322,1000000,401641,0.74082446
4,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,705638.0,1050.0,646017,23.178,0.00936,7.657,20.004,16.0,19.998,3826909,3840474,3217073,9998831,20883287,999521,383967,1000000,402124,0.7414047
5,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,876340.0,1250.0,643206,23.18,0.01529,7.674,19.996,15.998,20.005,3835495,3847587,3216957,10002648,20902687,999544,384833,1000000,402159,0.74169064
6,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,871250.0,1282.0,859393,23.187,0.01501,7.675,20.006,15.985,20.002,3835466,3843507,3217873,10000943,20897789,999510,384241,1000000,402601,0.7416177
7,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,898674.0,1249.0,351576,23.15,0.01716,7.678,19.997,16.006,19.997,3837168,3847415,3217501,9998475,20900559,999536,384800,1000000,402042,0.741105
8,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,892972.0,1240.0,567032,23.155,0.01662,7.677,20.0,15.987,20.006,3836607,3849309,3212787,10003020,20901723,999533,384930,1000000,401923,0.741237
9,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,812589.0,1140.0,850695,23.173,0.01218,7.654,20.007,15.994,20.006,3825119,3843043,3217064,10002874,20888100,999511,384172,1000000,402286,0.7413239
10,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,847500.0,1225.0,85633,23.157,0.01376,7.65,20.0,15.998,19.996,3823147,3838286,3217066,9998193,20876692,999504,383827,1000000,402175,0.7411283
11,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,888122.0,1310.0,429175,23.183,0.01616,7.672,19.996,16.009,19.996,3833935,3844672,3219186,9997875,20895668,999526,384540,1000000,402171,0.7416342
12,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,830028.0,1232.0,31177,23.138,0.01285,7.671,19.995,16.012,20.001,3833696,3855438,3211202,10000559,20900895,999541,385644,1000000,401102,0.740983
13,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,901861.0,1256.0,781969,23.178,0.01745,7.662,20.004,16.008,19.995,3829278,3843893,3220467,9997332,20890970,999552,384303,1000000,402359,0.74146193
14,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,926995.0,1286.0,414597,23.156,0.02028,7.659,19.996,16.004,20.0,3827717,3857641,3213623,9999952,20898933,999540,385846,1000000,401607,0.74100417
15,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,893852.0,1247.0,224478,23.172,0.01663,7.678,19.991,16.0,20.004,3837113,3842704,3221703,10002109,20903629,999538,384437,1000000,402705,0.7414162
16,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,892691.0,1245.0,25702,23.156,0.01661,7.655,20.008,15.991,20.008,3825724,3849476,3212610,10003897,20891707,999520,384791,1000000,401812,0.7412984
17,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,889324.0,1280.0,103533,23.172,0.01626,7.66,20.005,15.999,19.989,3827985,3837960,3222284,9994609,20882838,999532,383709,1000000,402801,0.74165666
18,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,912072.0,1311.0,703305,23.182,0.01853,7.663,20.005,16.005,20.006,3829552,3848986,3222666,10002937,20904141,999535,384812,1000000,402714,0.7414301
19,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,927127.0,1311.0,818849,23.138,0.02047,7.661,20.004,16.013,20.004,3828744,3842701,3217150,10001898,20890493,999507,384187,1000000,401808,0.7409505
20,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,889920.0,1303.0,96638,23.159,0.01648,7.644,19.995,16.011,20.0,3820149,3850776,3213664,10000163,20884752,999534,385176,1000000,401444,0.74119896
21,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,883460.0,1232.0,868063,23.144,0.01585,7.671,20.006,15.993,19.998,3833669,3846985,3215821,9998806,20895281,999517,384582,1000000,402159,0.741217
22,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,929146.0,1258.0,441861,23.133,0.0208,7.669,20.007,15.993,20.003,3832838,3847977,3212133,10001605,20894553,999520,384666,1000000,401680,0.74062645
23,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,923372.0,1335.0,463714,23.157,0.01989,7.655,20.001,15.996,19.998,3825657,3841176,3213396,9998941,20879170,999543,384102,1000000,401786,0.7409216
24,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,870069.0,1285.0,426260,23.171,0.01501,7.651,20.011,16.0,20.003,3823690,3852181,3212046,10001495,20889412,999558,385015,1000000,401509,0.7413589
25,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,827510.0,1184.0,870062,23.143,0.01278,7.669,20.002,15.99,20.001,3832307,3853625,3210781,10000411,20897124,999478,385320,1000000,401597,0.7410172
26,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,820174.0,1163.0,668730,23.127,0.0125,7.65,20.007,15.995,20.001,3823178,3852778,3210212,10000559,20886727,999520,385141,1000000,401390,0.7407926
27,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,771246.0,1104.0,439481,23.163,0.01084,7.673,20.005,15.993,20.001,3835000,3846097,3213369,10000552,20895018,999544,384523,1000000,401843,0.7414023
