,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,826991.0,6656.0,211374,41.889,0.01589,2.222,20.008,15.998,20.003,941011,1788511,4597761,10001319,17328602,847177,178778,1000000,574784,0.9865555
1,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,637806.0,5026.0,512730,41.9,0.01069,2.214,20.012,16.001,19.999,938459,1792560,4592138,9999466,17322623,847606,179148,1000000,573983,0.9864234
2,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,773417.0,6154.0,110277,41.885,0.01383,2.221,20.002,16.008,19.994,940914,1790441,4593461,9997125,17321941,847210,179026,1000000,573894,0.986461
3,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,745573.0,5941.0,808452,41.856,0.01292,2.217,20.001,15.997,20.005,938204,1794609,4592072,10002681,17327566,846394,179448,1000000,574129,0.9860022
4,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,762806.0,6148.0,820894,41.913,0.01343,2.223,20.005,16.004,20.003,942008,1785399,4592265,10001460,17321132,847493,178494,1000000,573893,0.9868569
5,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,841059.0,6876.0,58009,41.893,0.01663,2.22,19.994,15.998,19.998,939862,1782425,4605704,9998818,17326809,846889,178292,1000000,575797,0.98672813
6,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,856314.0,6864.0,870005,41.887,0.01751,2.22,20.009,16.001,20.005,940247,1788630,4597382,10002471,17328730,846955,178782,1000000,574640,0.98665464
7,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,804012.0,6507.0,186856,41.893,0.01485,2.218,20.008,16.0,20.001,939069,1788042,4598389,10000653,17326153,846739,178731,1000000,574813,0.9865403
8,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,827298.0,6525.0,379333,41.871,0.01594,2.217,19.996,16.002,20.007,939211,1791393,4594337,10003360,17328301,847336,179171,1000000,574215,0.9863496
9,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,862451.0,7084.0,813813,41.905,0.0179,2.214,20.004,15.986,19.996,937011,1786508,4596946,9997829,17318294,846568,178611,1000000,575110,0.98671675
10,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,796978.0,6425.0,742932,41.889,0.01459,2.219,20.033,16.004,19.999,940164,1794484,4595239,9999645,17329532,847236,179152,1000000,574260,0.9866855
11,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,787977.0,6262.0,89953,41.831,0.01431,2.217,20.001,16.0,19.999,938379,1802197,4587100,9999559,17327235,846652,180207,1000000,573373,0.9857051
12,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,728670.0,5712.0,453360,41.903,0.01249,2.22,19.987,16.013,20.0,940727,1781022,4600660,10000104,17322513,847681,178220,1000000,574609,0.9868162
13,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,745555.0,5864.0,626231,41.908,0.01288,2.22,20.006,15.998,19.997,940924,1789664,4595750,9998392,17324730,847675,178915,1000000,574545,0.98658663
14,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,722890.0,5702.0,971490,41.884,0.01234,2.217,20.017,16.0,20.001,939148,1786362,4601467,10000591,17327568,847300,178485,1000000,575178,0.9863731
15,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,716469.0,5660.0,9007,41.893,0.01218,2.221,19.992,15.993,19.989,940622,1791656,4588265,9994544,17315087,847178,179238,1000000,573776,0.9866249
16,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,844344.0,6778.0,52521,41.89,0.01669,2.22,19.986,15.995,19.989,941323,1793005,4590792,9994719,17319839,847963,179423,1000000,574020,0.9865903
17,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,853222.0,6990.0,454875,41.94,0.01729,2.22,20.016,16.0,20.002,940424,1787723,4591137,10000973,17320257,847133,178633,1000000,573895,0.98705727
18,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,827355.0,6668.0,258044,41.938,0.01589,2.22,19.996,16.0,20.004,940588,1784643,4587969,10002090,17315290,847308,178497,1000000,573479,0.9870363
19,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,780416.0,6240.0,826780,41.869,0.01399,2.221,20.007,15.995,19.996,940753,1787555,4594221,9998134,17320663,847038,178693,1000000,574475,0.9863178
20,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,777185.0,6274.0,781725,41.885,0.01387,2.218,20.013,15.999,19.993,940064,1793501,4592131,9996393,17322089,847794,179237,1000000,574047,0.98656297
21,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,788296.0,6291.0,906525,41.875,0.01427,2.218,20.005,16.01,19.993,939807,1785478,4606825,9996513,17328623,847442,178501,1000000,575510,0.9862829
22,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,773678.0,6209.0,599903,41.896,0.01381,2.218,20.004,15.995,19.997,938844,1786942,4596323,9998537,17320646,846648,178658,1000000,574718,0.98662174
23,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,868276.0,7228.0,269419,41.892,0.01831,2.22,20.015,15.998,19.997,939916,1789879,4592845,9998299,17320939,846756,178858,1000000,574164,0.98649335
24,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,762962.0,6115.0,234514,41.891,0.01346,2.218,20.005,16.003,19.998,938607,1788802,4592779,9998844,17319032,846477,178838,1000000,574007,0.98642635
25,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,745835.0,5892.0,568514,41.936,0.01293,2.215,19.994,15.998,20.003,938562,1783520,4596611,10001713,17320406,847300,178408,1000000,574638,0.98697716
26,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,751182.0,5970.0,583556,41.93,0.01305,2.219,20.02,15.994,19.997,940300,1795171,4589906,9998368,17323745,847331,179341,1000000,573958,0.9867654
27,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,848949.0,6817.0,248742,41.914,0.0171,2.218,20.01,16.001,19.996,939319,1787191,4590418,9998235,17315163,847109,178628,1000000,573782,0.98677546
28,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,860298.0,6975.0,542107,41.833,0.01774,2.218,20.0,16.001,20.015,938975,1791105,4600488,10007418,17337986,846692,179112,1000000,575038,0.9860102
29,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,765990.0,6092.0,167815,41.916,0.01351,2.223,19.998,16.0,20.003,941799,1786822,4592692,10001256,17322569,847417,178696,1000000,574097,0.9867261
