,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,861736.0,3479.0,582297,34.76,0.01778,2.963,20.007,16.009,19.997,1389165,2331395,4643910,9998680,18363150,937797,233056,1000000,580180,0.88910717
1,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,906083.0,3753.0,140049,34.765,0.02214,2.966,20.004,16.005,19.997,1390989,2329050,4645202,9998545,18363786,938091,232863,1000000,580486,0.8892892
2,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,691079.0,2812.0,315351,34.755,0.01125,2.965,20.002,15.998,19.997,1390511,2337247,4637492,9998263,18363513,937945,233696,1000000,579746,0.88910174
3,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,439021.0,1760.0,165925,34.772,0.0079,2.96,20.011,15.997,19.993,1388276,2333005,4639371,9996526,18357178,938127,233169,1000000,580047,0.8894764
4,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,725401.0,2925.0,322268,34.753,0.01204,2.962,20.001,15.998,20.008,1389094,2329111,4641953,10004239,18364397,937835,232895,1000000,580316,0.88933754
5,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,820365.0,3375.0,180439,34.725,0.01533,2.957,20.004,16.0,19.999,1386713,2334772,4638723,9999456,18359664,937830,233436,1000000,579838,0.8887507
6,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,928415.0,3809.0,886017,34.775,0.02588,2.955,20.008,16.004,19.996,1386257,2324911,4645934,9997765,18354867,938122,232401,1000000,580603,0.88955957
7,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,722178.0,2923.0,271793,34.731,0.01199,2.961,20.007,16.002,19.997,1388603,2331982,4638952,9998478,18358015,937812,233116,1000000,579791,0.8888064
8,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,810737.0,3361.0,365547,34.748,0.01486,2.961,20.009,16.002,19.989,1388403,2333210,4639875,9994630,18356118,937858,233217,1000000,579911,0.8891658
9,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,783582.0,3089.0,146442,34.752,0.01386,2.959,20.01,16.007,19.999,1386851,2333317,4642388,9999332,18361888,937347,233216,1000000,580058,0.88911164
10,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,784772.0,3146.0,118099,34.75,0.01382,2.962,20.004,15.998,20.001,1389267,2325453,4651635,10000465,18366820,938208,232495,1000000,581539,0.8892986
11,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,891881.0,3664.0,839517,34.773,0.02046,2.961,20.006,15.998,19.998,1387639,2332945,4636564,9998863,18356011,937386,233226,1000000,579657,0.88949525
12,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,871525.0,3669.0,127004,34.762,0.01845,2.965,20.003,16.001,19.999,1390509,2335449,4638774,9999279,18364011,937814,233514,1000000,579811,0.8891642
13,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,855067.0,3409.0,737134,34.728,0.01737,2.958,20.005,16.012,20.002,1387642,2337418,4634411,10001196,18360667,938227,233687,1000000,578859,0.88852876
14,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,770477.0,3255.0,234189,34.784,0.01332,2.97,19.981,15.987,20.006,1393115,2324968,4631439,10002777,18352299,938091,232715,1000000,579384,0.8893777
15,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,842596.0,3518.0,458535,34.741,0.01653,2.957,19.988,15.998,20.004,1386949,2328550,4638097,10001959,18355555,938101,232999,1000000,579845,0.8889217
16,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,848301.0,3440.0,112632,34.741,0.01689,2.967,19.996,15.999,19.997,1390997,2336096,4639388,9998433,18364914,937511,233656,1000000,579956,0.8887682
17,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,745096.0,3043.0,256041,34.765,0.01255,2.963,19.988,15.999,20.003,1389976,2331681,4636815,10001330,18359802,938245,233303,1000000,579647,0.8892504
18,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,812671.0,3487.0,904314,34.759,0.01494,2.961,19.995,16.0,20.004,1387906,2330013,4640181,10001819,18359919,937434,233059,1000000,580040,0.88932216
19,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,740065.0,3053.0,84508,34.724,0.01241,2.968,19.998,15.999,19.995,1392147,2338850,4638689,9997701,18367387,938069,233904,1000000,579880,0.8887382
20,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,802143.0,3287.0,597090,34.795,0.01449,2.959,19.998,15.997,19.997,1387339,2328092,4647477,9998509,18361417,937824,232833,1000000,581036,0.88965076
21,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,876660.0,3665.0,550921,34.725,0.01903,2.959,20.002,15.997,19.992,1387188,2330854,4638241,9995771,18352054,937541,233061,1000000,579880,0.8885971
22,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,882323.0,3721.0,230173,34.757,0.01942,2.961,19.995,15.997,19.996,1388338,2330005,4638646,9997890,18354879,937747,233055,1000000,579930,0.88950807
23,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,604651.0,2474.0,931526,34.729,0.00977,2.965,19.995,16.007,20.002,1390338,2332719,4643690,10001000,18367747,937822,233329,1000000,580197,0.888781
24,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,809366.0,3315.0,38029,34.766,0.01479,2.96,20.016,16.003,20.002,1387500,2334312,4638211,10001206,18361229,937437,233247,1000000,579683,0.8891838
25,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,728423.0,2961.0,952609,34.783,0.01212,2.961,20.011,16.006,20.002,1387983,2331356,4643504,10000840,18363683,937661,233005,1000000,580215,0.8895245
26,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,719883.0,2990.0,759325,34.712,0.01197,2.963,19.997,15.99,20.008,1389093,2333196,4638524,10004017,18364830,937726,233354,1000000,580178,0.8886203
27,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,800174.0,3268.0,684554,34.739,0.0144,2.961,20.0,16.002,19.991,1388468,2322472,4642914,9995741,18349595,937804,232246,1000000,580299,0.88903487
