,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,788936.0,1088.0,855119,23.694,0.01396,4.945,20.006,16.006,19.998,2454001,3820402,3356133,9999045,19629581,992458,381933,1000000,419355,0.7537406
1,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,796406.0,1096.0,178595,23.686,0.01419,4.935,20.008,15.999,19.999,2449117,3814502,3362076,9999496,19625191,992504,381293,1000000,420288,0.7533402
2,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,807742.0,1118.0,653383,23.697,0.01474,4.934,20.006,15.992,19.999,2448459,3810744,3356978,9999374,19615555,992542,380954,1000000,419831,0.7536735
3,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,852291.0,1188.0,341025,23.723,0.01728,4.94,19.999,16.001,20.002,2451248,3808890,3362991,10000798,19623927,992396,380906,1000000,420339,0.75404185
4,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,776569.0,1092.0,592142,23.708,0.01345,4.939,19.995,15.995,20.003,2451290,3807641,3365398,10001601,19625930,992702,380862,1000000,420799,0.7539676
5,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,898657.0,1212.0,901668,23.676,0.02161,4.933,20.003,16.0,19.993,2447981,3814282,3358896,9996498,19617657,992505,381371,1000000,419856,0.7533262
6,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,858074.0,1166.0,921409,23.682,0.01772,4.93,19.996,15.997,19.997,2446804,3813319,3358505,9998548,19617176,992550,381399,1000000,419891,0.75357926
7,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,821946.0,1097.0,953717,23.711,0.01549,4.934,19.994,15.999,19.996,2448696,3808493,3357692,9998169,19613050,992666,380970,1000000,419738,0.7537313
8,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,883671.0,1205.0,551183,23.7,0.01991,4.925,20.011,15.984,20.001,2444352,3805275,3359117,10000492,19609236,992576,380326,1000000,420323,0.7537708
9,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,794160.0,1099.0,389451,23.696,0.01416,4.932,20.006,15.991,20.0,2447687,3813449,3360647,9999767,19621550,992563,381225,1000000,420312,0.75364935
