,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,962997.0,5493.0,649325,41.642,0.03085,2.547,19.976,15.987,19.993,1145367,1474288,5296167,9996714,17912536,899223,147604,1000000,662545,0.9844441
1,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,971713.0,5619.0,92166,41.658,0.03542,2.549,19.996,16.001,20.001,1145832,1475837,5302716,10000351,17924736,899113,147610,1000000,662782,0.98453945
2,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,968004.0,5664.0,8319,41.631,0.03303,2.556,20.009,16.001,19.998,1147708,1477039,5298876,9998942,17922565,898053,147634,1000000,662324,0.98431027
3,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,974628.0,5636.0,968311,41.654,0.03713,2.55,20.0,15.996,20.0,1145247,1475608,5296545,9999819,17917219,898180,147563,1000000,662243,0.9846032
4,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,971107.0,5654.0,63797,41.609,0.03492,2.55,19.996,16.002,19.999,1146491,1485524,5292003,9999333,17923351,899166,148581,1000000,661437,0.9842136
5,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969978.0,5619.0,546706,41.61,0.03431,2.553,20.011,16.0,19.999,1147550,1475727,5293928,9999412,17916617,898930,147493,1000000,661747,0.9842307
6,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970965.0,5686.0,345559,41.607,0.03484,2.554,19.991,16.004,19.994,1148385,1472289,5301929,9997219,17919822,899219,147297,1000000,662570,0.9843958
7,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969130.0,5703.0,504358,41.612,0.03384,2.547,19.998,16.002,20.001,1144598,1477579,5298996,10000660,17921833,898793,147772,1000000,662282,0.9842437
8,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,964192.0,5516.0,606776,41.649,0.03128,2.547,20.006,16.01,20.002,1145522,1478430,5297681,10001096,17922729,899485,147799,1000000,661792,0.98467124
9,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,952623.0,5568.0,989093,41.65,0.02716,2.551,19.987,16.001,19.997,1146879,1472055,5298459,9998739,17916132,899043,147304,1000000,662282,0.9849466
10,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970107.0,5544.0,763719,41.649,0.03408,2.552,20.014,16.003,19.995,1146816,1477525,5298068,9997450,17919859,898874,147652,1000000,662130,0.9848576
11,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970432.0,5604.0,886517,41.632,0.03445,2.547,19.996,15.993,20.003,1144650,1474397,5300677,10001486,17921210,898920,147472,1000000,662887,0.9845449
12,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,966143.0,5548.0,129820,41.627,0.03231,2.545,19.986,15.991,19.996,1143745,1475759,5297119,9997984,17914607,898719,147679,1000000,662513,0.9843566
13,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,973224.0,5714.0,847326,41.627,0.03629,2.549,20.017,16.0,19.999,1145944,1480293,5298951,9999622,17924810,899302,147907,1000000,662363,0.9844053
14,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,953592.0,5441.0,157255,41.608,0.02753,2.556,20.001,16.002,19.998,1148680,1479206,5293490,9998829,17920205,898783,147911,1000000,661595,0.98406655
15,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,965947.0,5406.0,552209,41.626,0.03208,2.548,19.995,16.001,19.999,1144709,1476369,5295570,9999542,17916190,898663,147674,1000000,661919,0.98406184
