,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,957082.0,7044.0,965787,41.377,0.03387,2.16,20.01,16.004,19.999,902009,1655393,4823060,9999535,17379997,835102,165453,1000000,602747,0.97845536
1,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,947906.0,6971.0,657173,41.421,0.03048,2.159,20.022,15.998,20.011,900891,1661375,4812587,10005582,17380435,834729,165953,1000000,601644,0.97871566
2,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,959394.0,6971.0,231711,41.424,0.03502,2.157,19.999,16.006,19.994,900750,1653151,4826190,9997151,17377242,835212,165322,1000000,603052,0.97897583
3,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,944926.0,6829.0,725732,41.371,0.02964,2.16,19.988,16.0,20.0,901712,1651542,4825201,9999871,17378326,834866,165252,1000000,603144,0.9783554
4,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,967058.0,7155.0,306510,41.413,0.03904,2.161,19.985,16.003,20.002,902412,1653353,4826265,10000871,17382901,835327,165457,1000000,603153,0.9788671
5,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,951792.0,7168.0,285892,41.433,0.03175,2.159,19.971,15.992,20.001,901411,1651368,4824116,10000361,17377256,835062,165374,1000000,603323,0.97926205
6,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,960611.0,7055.0,117104,41.418,0.03547,2.156,19.998,16.004,19.989,900160,1653459,4824465,9994718,17372802,835060,165364,1000000,602905,0.97886896
7,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,958912.0,7126.0,101687,41.408,0.03459,2.157,19.998,15.99,20.0,900921,1655801,4822365,9999800,17378887,835188,165595,1000000,603174,0.9786582
8,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,964279.0,7206.0,249007,41.405,0.03747,2.158,20.007,15.999,20.001,900736,1656017,4819623,10000322,17376698,834755,165542,1000000,602505,0.978783
9,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,957659.0,7065.0,754390,41.394,0.03427,2.159,20.041,15.994,20.002,901092,1657564,4817734,10001019,17377409,834599,165419,1000000,602429,0.9783862
10,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,948250.0,6929.0,582629,41.402,0.03048,2.157,20.0,15.997,20.001,900179,1657078,4819921,10000318,17377496,834568,165709,1000000,602595,0.97895324
11,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,959524.0,7155.0,962673,41.39,0.03488,2.159,20.003,16.0,20.002,901016,1655274,4815806,10001161,17373257,834507,165505,1000000,601965,0.9786709
12,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,954199.0,6917.0,437674,41.423,0.03267,2.158,20.001,16.001,19.999,900792,1648699,4821341,9999745,17370577,834887,164859,1000000,602625,0.97891945
13,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,949849.0,7035.0,153858,41.376,0.03113,2.156,19.999,16.002,20.002,900245,1655785,4820447,10000773,17377250,835098,165590,1000000,602479,0.9785037
14,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,956855.0,6974.0,66643,41.425,0.03384,2.158,20.0,15.998,19.995,901088,1654959,4824186,9997644,17377877,835119,165495,1000000,603109,0.97915405
15,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,948658.0,7006.0,728179,41.386,0.03056,2.154,19.975,15.997,19.999,899038,1651407,4826213,9999588,17376246,834919,165349,1000000,603377,0.9785052
16,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,970568.0,7172.0,660770,41.394,0.04197,2.156,19.997,15.996,20.009,900110,1655439,4821162,10004747,17381458,834999,165567,1000000,602788,0.97867185
17,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,960366.0,7024.0,281629,41.398,0.03517,2.161,19.983,15.994,19.996,902451,1654637,4817992,9997802,17372882,835339,165602,1000000,602469,0.9787415
18,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,954792.0,7236.0,533347,41.423,0.033,2.158,19.984,16.004,19.999,901182,1647523,4818060,9999450,17366215,835191,164882,1000000,602115,0.9789584
19,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,967172.0,7277.0,846135,41.42,0.03932,2.159,20.028,16.0,20.003,900827,1651345,4828397,10001387,17381956,834647,164903,1000000,603565,0.97906977
20,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,951487.0,6899.0,929174,41.389,0.03168,2.151,20.0,16.001,20.003,897276,1657259,4821439,10001489,17377463,834239,165724,1000000,602635,0.97853625
21,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,967144.0,7224.0,984601,41.427,0.03928,2.158,20.007,16.005,19.998,900573,1655039,4823532,9999243,17378387,834697,165443,1000000,602764,0.9789259
