,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,796963.0,7894.0,915340,44.031,0.01554,1.907,20.022,15.997,19.995,733544,1547517,4604475,9997416,16882952,769382,154582,1000000,575681,1.0010941
1,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,721871.0,7123.0,893870,44.011,0.01306,1.907,20.001,15.999,19.994,732823,1541509,4610989,9997126,16882447,768697,154141,1000000,576416,1.0011176
2,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,815628.0,8181.0,59032,44.019,0.01632,1.905,20.003,16.003,20.001,733568,1543072,4609245,10000525,16886410,769957,154284,1000000,576063,1.0012158
3,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,861461.0,8834.0,337809,44.016,0.01906,1.909,20.022,16.0,19.996,734768,1545790,4609258,9998215,16888031,769789,154412,1000000,576174,1.0010685
4,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,599403.0,5642.0,747634,44.003,0.01059,1.911,19.982,16.003,20.0,735604,1540805,4605216,10000041,16881666,769908,154218,1000000,575550,1.0010118
5,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,827454.0,8403.0,947881,43.981,0.01699,1.903,19.996,16.005,20.0,731542,1546169,4611135,9999774,16888620,768658,154646,1000000,576196,1.0007136
6,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,854803.0,8722.0,953674,43.969,0.01869,1.911,19.994,16.004,20.006,735066,1546281,4601559,10003064,16885970,769383,154677,1000000,575056,1.0005119
7,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,419811.0,3829.0,128234,43.98,0.00857,1.905,20.004,16.007,20.002,732995,1545554,4611733,10001035,16891317,769421,154528,1000000,576227,1.0009098
8,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,856639.0,8645.0,277664,43.983,0.01873,1.908,19.993,16.0,19.993,733110,1547205,4603086,9996432,16879833,768567,154772,1000000,575382,1.000742
9,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,891021.0,9217.0,426366,44.022,0.0218,1.906,20.015,16.002,19.993,733541,1544955,4604163,9996432,16879091,769832,154382,1000000,575431,1.0009509
