,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,968077.0,7484.0,778788,42.906,0.03789,1.951,19.992,15.996,20.004,763903,1506500,5054294,10001923,17326620,782961,150708,1000000,631953,0.99635786
1,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958143.0,7358.0,509860,42.841,0.03288,1.956,20.004,15.998,20.002,766252,1517749,5049333,10001158,17334492,783362,151745,1000000,631231,0.9953535
2,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,967976.0,7532.0,289354,42.854,0.03775,1.95,20.004,16.003,19.994,764309,1517083,5053939,9997081,17332412,783756,151675,1000000,631626,0.9956471
3,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,952985.0,7284.0,1578,42.82,0.0311,1.952,19.991,15.991,19.999,763942,1515393,5046981,9999639,17325955,782908,151607,1000000,631227,0.9953859
4,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958746.0,7323.0,658939,42.86,0.03315,1.951,20.006,15.999,19.997,764260,1514333,5046519,9998339,17323451,783601,151389,1000000,630856,0.9958096
5,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,954840.0,7156.0,991118,42.847,0.03157,1.957,19.968,16.003,19.999,766646,1515289,5049343,9999707,17330985,783623,151768,1000000,631069,0.99556935
6,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,951844.0,7217.0,778880,42.865,0.03061,1.951,19.982,15.994,19.996,764604,1510939,5051637,9998056,17325236,783748,151227,1000000,631698,0.9957512
7,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,964660.0,7321.0,533026,42.86,0.03612,1.95,20.0,15.996,20.004,763191,1517750,5049931,10002126,17332998,782927,151772,1000000,631393,0.99601114
8,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,963387.0,7545.0,594901,42.878,0.03532,1.952,19.997,15.993,20.008,764737,1513710,5047308,10003932,17329687,783524,151394,1000000,631184,0.99603325
9,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,964785.0,7413.0,974048,42.849,0.03577,1.951,19.997,15.993,19.996,764573,1515177,5050680,9997787,17328217,783613,151540,1000000,631594,0.9955217
10,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,950310.0,7536.0,961771,42.871,0.03013,1.952,19.988,15.998,19.999,764303,1513682,5047448,9999439,17324872,783215,151458,1000000,631004,0.9958947
11,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,938622.0,7080.0,951846,42.872,0.02698,1.955,20.004,15.995,20.009,766284,1513711,5050384,10004593,17334972,783786,151344,1000000,631482,0.99577725
12,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958024.0,7461.0,872676,42.847,0.03277,1.948,19.988,15.991,20.001,763287,1513516,5048523,10000337,17325663,783576,151439,1000000,631407,0.99575746
13,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,966414.0,7604.0,785855,42.907,0.03663,1.95,20.027,16.002,20.008,764360,1511986,5054827,10004034,17335207,783829,150994,1000000,631791,0.996779
14,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,968766.0,7467.0,832936,42.877,0.0381,1.952,19.998,15.996,19.999,765225,1514669,5047784,9999407,17327085,784033,151485,1000000,631112,0.9959577
15,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,959866.0,7425.0,656815,42.841,0.03358,1.95,19.993,16.003,19.992,763948,1510456,5056634,9996180,17327218,783501,151102,1000000,631962,0.9955492
16,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,945799.0,7273.0,673287,42.881,0.02874,1.949,20.001,15.989,20.006,763314,1518941,5039642,10002787,17324684,783148,151887,1000000,630371,0.99606466
17,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,969494.0,7474.0,355996,42.842,0.03875,1.953,19.993,15.992,19.996,764495,1512349,5045520,9997902,17320266,782996,151288,1000000,631012,0.9958369
18,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958197.0,7337.0,222570,42.874,0.03267,1.952,19.991,16.007,20.013,764098,1514535,5050036,10006648,17335317,783016,151522,1000000,630970,0.9959373
19,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,971206.0,7467.0,813761,42.831,0.04006,1.95,19.98,15.992,20.002,763546,1514969,5046037,10001083,17325635,783002,151646,1000000,631082,0.9954443
20,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,945460.0,7237.0,230277,42.843,0.02872,1.954,20.015,15.998,20.0,765424,1515494,5047045,10000205,17328168,783332,151438,1000000,630941,0.9954649
21,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,951656.0,7387.0,236930,42.872,0.03048,1.951,20.014,16.0,19.999,764563,1514061,5052916,9999666,17331206,783915,151298,1000000,631628,0.9959679
22,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,971027.0,7391.0,298988,42.867,0.03975,1.954,19.997,15.996,20.003,765220,1513593,5050471,10001329,17330613,783092,151379,1000000,631479,0.99587315
23,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,961629.0,7464.0,402784,42.856,0.03441,1.95,20.005,16.0,20.0,763672,1511271,5054996,10000124,17330063,783070,151086,1000000,631884,0.9959754
24,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,954245.0,7262.0,151330,42.861,0.03142,1.954,19.992,15.993,20.008,764589,1511795,5049107,10003921,17329412,782570,151238,1000000,631423,0.9957791
25,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,954680.0,7281.0,138932,42.861,0.0314,1.95,20.004,16.001,19.999,764657,1514019,5054231,9999419,17332326,784107,151370,1000000,631730,0.99585944
26,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,959307.0,7433.0,839790,42.84,0.03346,1.951,19.983,16.0,19.996,764453,1512880,5048528,9998116,17323977,783674,151415,1000000,631081,0.99533075
