,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,913368.0,1396.0,138571,23.641,0.02402,4.989,19.999,15.997,20.003,2476997,3812488,3267351,10001548,19558384,992958,381261,1000000,408483,0.74999213
1,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,936894.0,1378.0,713658,23.622,0.02886,4.98,20.0,16.004,19.997,2472443,3809080,3271055,9998353,19550931,993030,380907,1000000,408779,0.74979854
2,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,921472.0,1504.0,102129,23.638,0.02538,4.989,19.996,16.007,19.995,2476284,3810231,3273067,9997437,19557019,992795,381105,1000000,408955,0.74992967
3,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,933019.0,1379.0,70348,23.592,0.02796,4.98,20.0,15.985,20.006,2472191,3818632,3258783,10003111,19552717,992806,381857,1000000,407722,0.7493341
4,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,939463.0,1460.0,366289,23.615,0.02959,4.976,20.002,16.001,19.999,2470336,3814039,3270906,9999620,19554901,992851,381367,1000000,408825,0.74981403
5,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,936677.0,1400.0,1486,23.63,0.02873,4.981,19.991,15.989,20.006,2472856,3817781,3266724,10003224,19560585,992947,381951,1000000,408611,0.7498915
6,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,925173.0,1404.0,845585,23.626,0.02612,4.975,20.002,15.995,20.004,2470304,3815262,3266732,10001891,19554189,993037,381489,1000000,408471,0.7496358
7,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,944344.0,1508.0,6277,23.619,0.03104,4.978,20.008,16.013,20.01,2471396,3810612,3269988,10004765,19556761,992942,380918,1000000,408424,0.7493616
8,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,895413.0,1407.0,374218,23.611,0.02156,4.99,20.005,16.007,20.001,2477335,3811350,3268714,10000631,19558030,992845,381031,1000000,408418,0.7495876
9,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,904749.0,1376.0,800825,23.624,0.02275,4.985,20.008,15.992,19.989,2475009,3822404,3257639,9994744,19549796,993056,382091,1000000,407406,0.74938333
10,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,953278.0,1413.0,801600,23.608,0.03418,4.98,20.003,16.008,19.997,2472519,3824025,3262986,9998494,19558024,992905,382341,1000000,407670,0.7494418
11,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,926871.0,1417.0,446530,23.586,0.02664,4.98,19.992,16.0,19.997,2472105,3816946,3259317,9998642,19547010,992798,381843,1000000,407420,0.7489867
12,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,906881.0,1419.0,587044,23.632,0.02324,4.979,19.988,15.992,20.003,2472247,3814460,3263242,10001630,19551579,993030,381666,1000000,408104,0.7498385
13,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,892100.0,1477.0,410616,23.643,0.02115,4.976,19.994,16.0,20.011,2470442,3818242,3267140,10005688,19561512,992951,381940,1000000,408400,0.7502127
14,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,919635.0,1465.0,80923,23.635,0.02507,4.977,20.005,15.989,20.0,2471255,3809932,3262697,9999869,19543753,992974,380906,1000000,408130,0.7499724
15,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,936526.0,1374.0,990894,23.617,0.02889,4.973,20.004,16.005,19.993,2468960,3816376,3268224,9996533,19550093,992943,381570,1000000,408397,0.74971306
16,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,924420.0,1401.0,607648,23.597,0.02613,4.981,20.006,16.006,20.011,2472898,3823411,3263065,10005671,19565045,992857,382229,1000000,407719,0.74931
17,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,939228.0,1433.0,567814,23.6,0.02949,4.98,20.012,16.003,20.001,2471763,3814538,3271176,10000642,19558119,992758,381218,1000000,408826,0.7497693
