,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,967631.0,10950.0,716644,44.25,0.0387,2.08,20.003,16.006,20.001,848714,1580428,4657597,10000404,17087143,815950,158023,1000000,581987,1.0036376
1,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,963000.0,10908.0,486031,44.274,0.03577,2.075,19.995,15.999,19.992,846303,1570449,4669188,9996174,17082114,815894,157081,1000000,583689,1.0040468
2,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,963005.0,10909.0,26634,44.261,0.03574,2.075,19.989,15.997,20.005,846558,1572876,4663150,10002542,17085126,816130,157376,1000000,582986,1.0036012
3,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,965261.0,10853.0,179286,44.294,0.03714,2.077,19.995,15.997,20.002,846767,1569589,4666048,10001142,17083546,815528,156995,1000000,583353,1.0040723
4,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,959864.0,10703.0,654691,44.259,0.0345,2.076,19.992,16.001,20.004,847164,1573015,4661344,10002004,17083527,816036,157365,1000000,582643,1.0034648
5,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,958313.0,10877.0,702725,44.28,0.03356,2.075,20.028,15.996,19.995,846471,1580203,4653679,9997252,17077605,815998,157801,1000000,581868,1.0037707
6,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,969629.0,11031.0,269776,44.297,0.0396,2.074,20.0,15.998,20.005,845498,1575947,4661541,10002296,17085282,815412,157594,1000000,582758,1.0041611
7,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,963017.0,10698.0,843271,44.268,0.03578,2.079,20.011,16.009,20.003,848907,1575930,4667220,10001570,17093627,816687,157508,1000000,583062,1.0037276
8,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,967291.0,10747.0,690784,44.31,0.03804,2.077,19.994,15.997,20.005,848720,1571686,4659988,10002573,17082967,817131,157219,1000000,582622,1.0041171
9,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,950739.0,10703.0,90676,44.294,0.03083,2.078,19.995,16.0,19.998,847632,1576365,4654774,9999172,17077943,815641,157679,1000000,581849,1.004098
10,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,954769.0,10614.0,814838,44.289,0.03219,2.08,19.996,16.004,19.999,848505,1571854,4663737,9999737,17083833,815912,157213,1000000,582837,1.0041083
11,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,958218.0,10698.0,714768,44.308,0.03359,2.074,20.018,16.006,20.008,846016,1578284,4659343,10004104,17087747,815824,157686,1000000,582186,1.0039489
12,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,954327.0,10905.0,227944,44.289,0.03216,2.075,19.99,16.012,20.003,846801,1567477,4670840,10001441,17086559,816174,156823,1000000,583407,1.0041007
13,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,964178.0,10883.0,946314,44.321,0.03648,2.073,20.005,16.002,20.0,846143,1571475,4661257,10000243,17079118,816376,157106,1000000,582581,1.0044297
14,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,961653.0,10805.0,251099,44.259,0.03519,2.078,19.981,16.0,19.999,848300,1575635,4654004,9999438,17077377,816362,157717,1000000,581767,1.0038192
15,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,954672.0,10763.0,994304,44.263,0.03225,2.075,19.994,16.006,20.004,847551,1570633,4664838,10001926,17084948,817038,157114,1000000,582890,1.0035831
16,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,963877.0,10975.0,343267,44.348,0.03595,2.079,20.008,15.994,20.0,848656,1571505,4657070,9999977,17077208,816287,157087,1000000,582357,1.0048834
17,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,949663.0,10668.0,566321,44.27,0.03033,2.076,19.978,15.995,20.002,847491,1567794,4669348,10001125,17085758,816596,156949,1000000,583847,1.0039179
18,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,959039.0,10745.0,126181,44.284,0.0339,2.072,20.006,16.0,19.998,845891,1572466,4659139,9998936,17076432,816677,157203,1000000,582405,1.0038501
