,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,935238.0,3252.0,768647,31.855,0.02826,3.096,19.999,16.008,19.995,1465796,2789578,4298683,9997668,18551725,946868,278969,1000000,537078,0.86069655
1,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,909140.0,3170.0,322217,31.88,0.02306,3.107,20.012,16.003,20.003,1471961,2783162,4305402,10001426,18561951,947601,278151,1000000,538060,0.8610967
2,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,943649.0,3276.0,652498,31.867,0.03056,3.104,19.997,15.998,20.001,1469773,2781628,4301756,10000276,18553433,947116,278211,1000000,537796,0.8607141
3,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,947952.0,3345.0,825950,31.885,0.03202,3.102,19.986,16.013,19.998,1469450,2780619,4309486,9999103,18558658,947379,278250,1000000,538251,0.86112535
4,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,919886.0,3231.0,644332,31.878,0.02489,3.107,19.993,15.989,19.999,1471622,2782429,4298922,9999297,18552270,947288,278345,1000000,537747,0.86077
5,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,926050.0,3091.0,940659,31.876,0.02604,3.104,19.985,16.005,19.995,1470113,2784966,4298825,9997731,18551635,947235,278704,1000000,537199,0.86095184
6,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,919177.0,3132.0,510117,31.884,0.02484,3.111,20.003,16.013,20.005,1473808,2785651,4306467,10002566,18568492,947474,278521,1000000,537872,0.8609547
7,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,952652.0,3253.0,692789,31.876,0.03382,3.094,20.006,16.003,19.995,1465035,2781959,4307505,9997721,18552220,947137,278108,1000000,538343,0.86109275
8,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,941601.0,3274.0,294069,31.869,0.02995,3.105,19.987,16.0,20.013,1470767,2780258,4305307,10006579,18562911,947292,278204,1000000,538180,0.8610138
9,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,898378.0,3142.0,53737,31.854,0.02169,3.107,20.008,15.995,20.005,1471934,2786461,4299725,10002334,18560454,947614,278529,1000000,537639,0.8608894
10,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,923768.0,3251.0,376210,31.877,0.02582,3.107,20.004,15.993,19.997,1470975,2781652,4297730,9998622,18548979,946891,278105,1000000,537445,0.86083597
11,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,943161.0,3207.0,334567,31.818,0.03053,3.096,19.999,15.998,19.996,1466264,2787795,4300851,9998039,18552949,947072,278795,1000000,537669,0.86041856
12,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,869345.0,3034.0,879577,31.849,0.01878,3.108,19.994,16.0,20.0,1471926,2784778,4297100,10000175,18553979,947121,278556,1000000,537146,0.86073905
13,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,932893.0,3210.0,162965,31.856,0.02757,3.097,19.996,16.003,20.002,1466741,2782282,4299454,10000772,18549249,947133,278280,1000000,537335,0.8607706
14,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,937463.0,3209.0,636637,31.85,0.02881,3.105,19.997,16.001,19.994,1470159,2778627,4303060,9997239,18549085,946990,277902,1000000,537849,0.8607831
15,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,937796.0,3265.0,292403,31.888,0.02899,3.105,19.996,15.998,19.999,1469929,2782587,4299424,9999536,18551476,946768,278312,1000000,537479,0.8610806
16,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,938500.0,3253.0,38695,31.911,0.02896,3.104,20.015,16.0,20.004,1470368,2784219,4303506,10001921,18560014,947281,278218,1000000,537943,0.861264
17,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,945508.0,3422.0,282227,31.896,0.03117,3.103,20.003,16.005,19.999,1470135,2784015,4302206,9999431,18555787,947595,278364,1000000,537600,0.8613265
18,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,933974.0,3341.0,472630,31.865,0.02787,3.101,20.003,16.005,19.997,1468988,2788645,4298928,9998287,18554848,947374,278824,1000000,537199,0.86074746
19,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,937985.0,3307.0,170348,31.919,0.02884,3.104,20.003,15.998,20.004,1469899,2779243,4307406,10001988,18558536,947137,277888,1000000,538504,0.86155236
20,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,932777.0,3214.0,887859,31.883,0.02764,3.101,20.002,15.991,20.007,1468556,2779911,4299525,10003738,18551730,947222,277967,1000000,537747,0.86129254
21,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,940788.0,3141.0,175964,31.907,0.02964,3.106,20.003,16.01,19.996,1470835,2782876,4309295,9997940,18560946,947220,278247,1000000,538326,0.86148375
22,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,934509.0,3233.0,136018,31.85,0.02811,3.104,20.003,16.008,19.992,1469527,2788249,4296385,9996183,18550344,946878,278787,1000000,536778,0.86051196
23,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,928938.0,3298.0,880359,31.853,0.02674,3.101,19.988,15.997,19.997,1468303,2778530,4302172,9998263,18547268,947025,278026,1000000,537881,0.86074334
24,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,947609.0,3273.0,293772,31.853,0.0318,3.105,19.999,15.999,20.005,1469968,2789006,4300405,10002425,18561804,946927,278910,1000000,537577,0.8607389
25,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,927189.0,3178.0,532582,31.867,0.02636,3.096,20.009,16.001,20.002,1465829,2790610,4300169,10000814,18557422,946791,278932,1000000,537480,0.8605897
26,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,917896.0,3209.0,885271,31.901,0.02451,3.108,19.995,16.002,20.003,1472103,2779482,4311179,10001567,18564331,947213,278020,1000000,538818,0.8611884
27,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,934511.0,3146.0,956553,31.884,0.028,3.107,20.005,15.993,19.996,1471476,2780004,4302516,9997968,18551964,947302,277932,1000000,538046,0.86123365
28,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,932401.0,3158.0,408967,31.887,0.02751,3.104,19.993,15.999,19.997,1469683,2786901,4304374,9998516,18559474,947013,278782,1000000,538066,0.86128473
29,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,924441.0,3231.0,837102,31.84,0.0259,3.1,20.003,16.012,19.994,1467756,2787281,4304304,9997220,18556561,947001,278693,1000000,537632,0.8605335
