,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,941201.0,9402.0,71854,42.984,0.03134,1.731,19.986,15.999,19.994,607707,1618761,4639885,9997045,16863398,702038,161990,1000000,580040,0.99365306
1,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,937746.0,9463.0,469935,42.977,0.03051,1.725,20.015,16.001,19.995,605535,1611712,4648302,9997643,16863192,702118,161052,1000000,580988,0.99362785
2,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,934764.0,9339.0,313374,42.975,0.02978,1.726,19.985,15.999,20.005,606052,1609818,4647928,10002720,16866518,702307,161099,1000000,581014,0.9935182
3,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,924599.0,9132.0,547831,43.004,0.02759,1.728,20.005,15.997,20.002,605924,1615297,4642905,10000850,16864976,701394,161493,1000000,580466,0.9938365
4,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,943677.0,9445.0,658138,42.939,0.03226,1.723,20.021,16.0,19.995,604679,1621048,4646436,9997333,16869496,701972,161937,1000000,580818,0.99323165
5,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,949651.0,9667.0,131206,43.004,0.03431,1.724,20.001,16.0,20.004,606164,1612695,4645988,10001877,16866724,703076,161260,1000000,580739,0.9939593
6,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,954419.0,9677.0,177763,42.979,0.03632,1.723,20.001,16.006,19.999,605573,1612701,4644142,9999472,16861888,702781,161266,1000000,580311,0.9934774
7,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,947827.0,9480.0,291006,42.977,0.03359,1.725,20.007,15.995,19.997,605843,1616509,4645251,9998671,16866274,702500,161593,1000000,580852,0.99354243
8,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,962664.0,9515.0,481313,42.952,0.04039,1.726,19.984,16.001,20.001,607268,1613937,4646983,10000483,16868671,703852,161520,1000000,580841,0.9929341
9,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,944260.0,9453.0,720752,42.983,0.03251,1.726,20.009,16.007,20.005,605334,1608672,4650685,10002598,16867289,701264,160791,1000000,581083,0.9933794
10,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,930093.0,9336.0,813979,43.016,0.0286,1.724,20.007,15.992,19.995,606150,1612526,4640818,9997513,16857007,703239,161199,1000000,580390,0.9938335
11,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,937862.0,9324.0,545756,43.008,0.03065,1.725,20.006,16.004,19.995,605588,1611515,4646845,9997686,16861634,702254,161105,1000000,580701,0.9939265
12,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,937581.0,9345.0,863660,42.995,0.03064,1.725,19.993,15.995,19.995,605748,1612324,4642104,9997572,16857748,702364,161291,1000000,580445,0.99377584
13,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,954512.0,9369.0,676278,42.941,0.03638,1.728,20.016,15.993,20.001,606779,1614929,4647641,10000396,16869745,702309,161363,1000000,581212,0.99321526
14,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,944926.0,9337.0,893666,43.003,0.03261,1.725,19.977,15.996,19.995,605524,1607296,4651396,9997679,16861895,702144,160916,1000000,581565,0.9938496
15,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,932705.0,9298.0,278522,42.965,0.02933,1.725,20.006,16.009,19.996,606084,1616714,4646905,9998172,16867875,702802,161624,1000000,580538,0.99334186
16,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,951597.0,9505.0,525702,42.957,0.0352,1.722,19.985,16.004,19.998,604134,1615392,4651650,9998786,16869962,701579,161661,1000000,581308,0.99316585
17,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,945432.0,9480.0,2979,42.992,0.03295,1.726,19.998,15.996,19.999,605981,1612750,4646654,9999561,16864946,702144,161292,1000000,580978,0.99364734
18,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,943438.0,9324.0,30096,42.965,0.0322,1.727,20.005,15.999,20.006,606944,1619923,4641620,10002880,16871367,702945,161954,1000000,580238,0.99303967
19,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,963555.0,9622.0,132562,42.938,0.0412,1.723,20.001,15.999,19.998,604238,1615599,4643813,9999074,16862724,701352,161548,1000000,580528,0.99312836
20,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,936199.0,9369.0,194341,42.999,0.03011,1.727,20.0,15.996,19.993,607170,1614606,4641884,9996503,16860163,703112,161459,1000000,580398,0.9934286
21,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,948976.0,9471.0,360340,42.993,0.03419,1.726,19.99,15.996,20.002,606536,1613519,4647410,10001191,16868656,702847,161436,1000000,581057,0.99348277
22,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,945029.0,9539.0,809811,42.953,0.03264,1.726,20.002,15.99,19.999,606100,1620219,4640057,9999735,16866111,702459,162007,1000000,580386,0.9932125
23,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,948002.0,9696.0,456888,42.977,0.03369,1.727,19.992,16.0,19.995,607097,1619450,4641806,9997384,16865737,702873,162007,1000000,580242,0.99355084
24,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,949315.0,9499.0,650088,42.979,0.0342,1.726,19.987,15.994,19.994,605973,1612326,4645112,9996914,16860325,702141,161337,1000000,580860,0.9937462
